CD79A	1
STAT6	1
STAT3	1
H3F3B	1
HOXA13	1
HOXA11	1
ECT2L	1
RUNDC2A	1
RABEP1	1
ERCC2	1
KDR	1
GOLGA5	1
TAL1	1
THRAP3	1
TAL2	1
SF3B1	1
MSH6	1
ATRX	1
WAS	1
RAD51B	1
TBL1XR1	1
KCNJ5	1
MSN	1
IL2	1
COL1A1	1
CDH11	1
PPP2R1A	1
ANTXR1	1
WT1	1
BIRC3	1
FOXO3	1
MAP2K2	1
FOXO1	1
RUNX1T1	1
TOP1	1
MAP2K4	1
NCKIPSD	1
MLLT4	1
SMARCA4	1
MLLT6	1
MLLT1	1
MLLT3	1
ZCCHC8	1
NUTM2B	1
HNRNPA2B1	1
NUTM2A	1
NRG1	1
TERT	1
PLAG1	1
NT5C2	1
MALT1	1
STRN	1
KMT2C	1
KMT2A	1
SMARCB1	1
DUX4L1	1
KMT2D	1
SPOP	1
MSI2	1
POU5F1	1
CASP8	1
BCL9	1
BCL6	1
BCL3	1
BCL2	1
SSX2	1
SSX1	1
CDX2	1
AKT1	1
AKT2	1
MDS2	1
MAFB	1
NKX2-1	1
PMS2	1
FSTL3	1
WHSC1L1	1
NTRK3	1
HSP90AB1	1
SLC34A2	1
FLII	1
ARHGAP26	1
MYB	1
DDIT3	1
KLF4	1
RET	1
PMS1	1
ATP2B3	1
UBR5	1
KRAS	1
SOCS1	1
ACSL3	1
FZR1	1
ACSL6	1
DDX5	1
DDX6	1
CD79B	1
FAT4	1
KDM5A	1
KDM5C	1
TAF15	1
TRIM33	1
PCM1	1
HLA-A	1
RPL5	1
NFKBIE	1
DEK	1
CLTC	1
DNM2	1
CHD4	1
ASXL1	1
AMER1	1
RAD21	1
FAT1	1
TFE3	1
PCBP1	1
MYD88	1
NACA	1
TFEB	1
STAG2	1
MN1	1
RNF43	1
RHOH	1
RHOA	1
LONP1	1
ETV1	1
KDSR	1
LRIG3	1
ETV4	1
ETV6	1
MPL	1
SDC4	1
HOXD13	1
TNFAIP3	1
HOXD11	1
AR	1
FNBP1	1
EBF1	1
JAZF1	1
POT1	1
MUTYH	1
RBM15	1
SS18L1	1
ABL1	1
ABL2	1
IKZF1	1
NCOR2	1
NCOR1	1
BTG1	1
KDM6A	1
NBN	1
PML	1
NFKB2	1
LYL1	1
ELL	1
HMGA2	1
HMGA1	1
FEV	1
CSF3R	1
GOPC	1
HEY1	1
ZNF521	1
DICER1	1
WWTR1	1
STAT5B	1
PRKACA	1
BCL7A	1
HSP90AA1	1
CIC	1
ACVR1	1
BCL11A	1
BCL11B	1
VHL	1
ELF4	1
RMI2	1
ZRSR2	1
TLX1	1
NRAS	1
MLH1	1
CREB3L1	1
VTI1A	1
SRSF2	1
BRAF	1
PDGFB	1
DNMT3A	1
TRAF7	1
HOOK3	1
TMPRSS2	1
BCOR	1
GPC3	1
SSX4B	1
KAT6B	1
CLTCL1	1
NPM1	1
BCL10	1
NFIB	1
CLP1	1
PTPRK	1
EZR	1
CREB3L2	1
GRIN2A	1
PTPRC	1
PTPRB	1
GNA11	1
SDHA	1
SDHC	1
SDHB	1
ATF1	1
SDHD	1
SH2B3	1
