cluster_number	score	genes
721	1.0	TAGLN,RNF14,TNFAIP3
1110	1.0	ADAMTS5,TIMP3
1364	1.0	SSTR2,SSTR3
1305	0.768245431105	CDK5R1,LMTK2
1136	0.725502913802	LZTS1,CDC25C
1359	0.725005246913	GSTA1,GSTA2
1004	0.720010369387	MMP14,MMP13
680	0.666666666667	PRTN3,F2R,F2RL1
690	0.666666666667	SOX9,SCX,CREB3L4
719	0.666666666667	AGER,RHOA,GMIP
