rank	biomarkers	candidates	cluster
364	-	NTRK3	BAG2,FBXO18,TRIM17,ASB17,FBXO10,HSPA8,ARAF,RCBTB2,HIPK4,G2E3,TYK2,ZNF74,MS4A1,ASB2,ASB3,MAP3K9,DLG4,GAN,GRK7,GRK4,STYK1,CAMK4,NTRK2,PARK2,HSP90AB1,IRAK3,ERBB3,NPR2,TBX22,FNTB,VRK2,CAMK2D,HLA-DRB3,CAMK2G,TRIM74,KRT27,HLA-DRB5,KLHL6,SEC24D,BAMBI,KLHL1,MDM4,KSR2,TESK2,FBXL8,NR3C2,EIF4G1,FBXL2,GSK3A,KAT5,NR1I3,NR1I2,FBXO3,KRT7,ZBTB20,INSRR,ZNF215,ALPK1,MYO3B,ACVR1C,ACVR1B,KCNG1,NUAK2,GAB2,TRIM36,AURKC,DCLK2,KCNA6,STIP1,NEK11,PIM3,IARS2,KBTBD4,TADA2A,CORO1C,FBXL13,FBXL14,WSB2,ANXA11,FBXL18,BMX,CHEK1,KLHL36,KLHL34,KLHL32,CDK11A,KLHL38,IBTK,RAG1,HERC4,HERC6,RHOC,SPRR2A,PAK6,VPS41,TNK2,RPS6KA2,FBXW11,RPS6KA5,MOS,PPARD,FBXO34,TRIM8,CAMKK1,STK33,PRDM1,UTP20,AXL,CLK3,FBXO38,TRIM7,KLHL25,FOXP2,ISX,EPHA4,KLHL29,EPHA1,XRCC4,DYRK2,FBXO4,DYRK4,SPSB3,FBXO9,SPSB1,GPKOW,CDC7,CEP164,ECD,STAT2,BTG1,SKP1,RPS6KB1,MAPK4,FBXO27,FBXO25,TCF25,AREL1,FBXW7,KLHL10,ACVR2B,KLHL13,SH3RF2,FBXO40,RPS6KL1,DLX6,GSG2,MYLK4,TNK1,CAMKV,FER,FES,BBX,DET1,NFRKB,SRPK3,CAMKMT,FLT4,SGK3,SGK2,RGS11,EIF2AK1,RPS6KC1,PREB,RNF149,CXXC1,SREBF1,AATF,STK32B,C18orf8,DMRTA1,GTF2IRD2,MAP4K2,TRIM73,MAP4K4,PTK6,LIMK2,SH3RF1,KCTD8,IRS4,RAP2A,MAP2K4,KLHL14,PRKY,PRKX,TSSK3,MINK1,CDK18,AMHR2,CDK15,FASTK,VPS33B,RGS6,RGS7,SYNJ1,KCNS3,HOMER3,RGS9,MAP3K15,ICK,PRKCH,PIM2,ZC3H7B,PIM1,PRKCA,REST,FOXD4L6,C20orf194,ARMC5,SHANK1,POGK,TIE1,THAP4,ZBED4,TFDP3,BTRC,TRIM49,RAPSN,PDK1,MAP3K12,BRAF,SIM2,ZBTB49,PSKH2
365	SERPINE1	-	PF4V1,SLA2,AGA,NLRC4,MYL4,APOC2,ST13,CLCA2,CHKB,PTPN23,TTPAL,SLC9A8,GRAP2,SPATA31A7,OR3A2,CST3,SETX,CFB,ZIM2,CDCP1,FAM71E2,MYLK3,QTRT2,SCAF1,OR8D2,NPHS1,OR2T6,LMNA,PLA2G4F,GJC2,ALB,PDE4B,IGDCC4,ZNF292
368	-	FKBP1B	TGFBR1,ACVRL1,IGSF1,BMPR1A,BMPR1B,LRG1
376	-	MT1X	MCPH1,RECQL4,GAMT,XAGE2,HDAC7,FAM122A,CRYGS,IDO1,HAAO,PCP4,GNMT,AKR1B10,HMGN4,ZNF146,HAGH,MT3,GAGE5,NAIF1,C1orf174,TSSC4,ZNF414,VGLL4,IFNG,ANXA8L1,PCNP,CRYBB1,TERF2IP,NUDT14,ADA,SCRN2,NUDT18,AKR7A3,RBBP9,OCM2,CALML3,AK1,LGALSL,PGLS,CPNE3,MEF2A,AKR1A1,PNMT,RNF8,NXNL1,WDR70,YRDC,IFNGR1
377	-	CUL7,PLCG1,DLGAP1,MYLK	ASB16,TGDS,RAPGEF1,NCK1,DAB2,EPX,ADAMTS2,KIFC2,CACNA1F,DLGAP2,DLGAP3,PYGB,DLGAP4,WDR61,PRX,ARHGEF11,WNK2,TDRD1,EXTL3,LRRC3,SEMA7A,OSBPL5,AKAP6,HCN2,NFS1,CDON,DKKL1,SNX3,ISG20L2,DOCK3,GAB3,POLR1B,BAZ2A,NCKAP5,CCKBR,LRRK1,GSX2,TULP1,AFF2,TULP4,PIK3R1,PRKG2,DLX4,CSDC2,OXT,DNASE1L2,EFS,GTF2IRD1,NFASC,PAX3,DTNBP1,GLMN,GCFC2,ABCG5,CDC27,TMEM74B,SEPN1,SLC22A3,NXPH3,MYO1C,CSMD2,SHROOM2,CD300LB,SOS2,ABL1,ABL2,GABRA3,SNX17,FAM110A,SNX12,CDKL5,NPVF,CAST,FANCA,C6,RIMS2,PHACTR2,CELSR3,IL3RA,SH2B3,LRBA,TPSB2,SCARF2,GSTZ1,SLC23A1,CHRD,PREP,ASAP2,MAP4K1,MKI67,MAP4K5,MSH5,CNTNAP1,GABBR1,P2RX7,EPS15,MEPE,PPFIA3,FYN,UHMK1,BRPF3,APOL5,VPS13A,SUV39H2,GLTSCR1,SLC24A1,ABR,PRICKLE3,DUSP15,GPR45,SHANK3,ZC4H2,PCDHA7,KIF13A,ARHGAP33,CKAP5
379	-	CDC42BPA	DPP10,DROSHA,SEMA6A,GFM2,CCDC25,SENP2,SMAD2,MCF2L,MKS1,SRSF11,TCEAL6,CHGB,SMAD3,KIAA1109,RANBP3,SURF6
385	BMP6	CDKN3,CHRNA2	AGL,HSF4,MGARP,CTRL,ELOF1,ISL2,AGXT2,ANP32D,GDF5,GGPS1,CCDC94,GSDMB,CYP4F11,BCLAF1,COX20,CGREF1,FOXF2,CYP51A1,CDH3,DMTF1,METTL7B,IFITM2,HK1,AHI1,PER2,GUK1,ABLIM2,ABHD2,GSTA3,RAB40A,UBE4B,H2AFV,CXCL9,C22orf46,C1QB,CSF3,ZCWPW1,GNG5,PID1,DMRT1,CD1E,DIRAS3,C9orf3,C1orf21,C1GALT1,MIIP,CYSLTR1,CHD1,COPZ2,BMF,EGR2,AMER1,ADAR,EGR1,MKL1,EN1,GBA2,HMMR,EPHB1,PRKCSH,CPNE6,MLLT11,PAX6,BLK,ING1,KRTAP12-1,KDSR,ETV5,ERLIN1,HLX,CAMSAP1,GLYCTK,ITM2C,MELK,KRT14,IL11RA,EMC2,EFCAB6,CLK4,GADD45B,ALKBH1,MUT,MOAP1,HTN3,GOLPH3L,IDS,ATP5H,SMPD1,IL1A,STAT1,SLC8A1,CLPS,CITED4,ASH1L,ART4,PDSS1,CRYGA,ADK,IL6ST,IL15,IRS2,HOXA2,LPAR3,ARL4A,KIF20A,COLGALT2,MAP4,CAMK1G,CDH16,CMYA5,MYADM,SF3B1,MAP7,BAALC,BMPER,BCL9L,ELF2,LRRC29,DYDC2,KLF11,CAMLG,DDX10,BLZF1,GCLC,KCNK2,KCNK3,CDCA2,LINC01587,FAH,COPG2,KLF2,HSD17B2,APOL4,FOLH1,KISS1R,DPY19L2,TTLL3,BCL2L14,VCL,CRYM,SLN,ANKRD7,ABCC12,NFIC,E2F5,KDM3A,C1QTNF2,RNF122,FUT1,NFIX
388	-	KHDRBS3	TM2D2,FAM168B,PPP4R4,ERC1,CD58,MYO1D,ZNF321P,STAC,HABP2,CT55,TPK1,NLRX1,TMEM159,ZNF747,PRICKLE2,CCDC107,HAUS6,VPS37C,OR4D6,CDCA7,ANKS6,TMEM59,FAM160B1,IFNA16,NDUFA4,PCCA,COL4A3BP,SYNJ2,CHRDL1,DFFB,FAM69A,PARP2,GRAMD1C,SERPINB5,ZHX2,CACFD1,PRSS21,KDELR2,TUFM
390	-	IL1R1	LAPTM4A,PXK,B4GALT1,TFRC,MARCH1,SPPL2A,KCNA5,MARCH8
397	PENK	-	AUP1,GJA4,WLS,VAPA,OPRM1,KCNF1,DOK4,DOK5,OPRK1
401	-	KCNN2	ZRANB2,EPB41L4A,SFMBT1,SRSF12,EPHA7,ARHGAP26,ZNF444,MBNL3,METTL14,LARP1,NSRP1,STAU1,SPAG11B,KCNAB1,KIAA1841,SETD3,FBXO15,CAB39L,FAM76B,WDR55,H2AFY,DDX47,MRPL43,ARHGAP12,SERF1B,HMGN3,NOVA1,C16orf78,SLAIN2,MAPKAPK5,LUC7L,SRSF4,DUS1L,YPEL3,YPEL2,TULP2,SRSF8,C11orf52,CHEK2,ZNF514,SPANXN4,C6orf201,TFEB,SERPINB10,POLR2E,ARGLU1,FGF1,DNAJC8,RBM23,SERBP1,CLK1,C11orf63,MKNK2,EPHA3,TNFRSF10C,ADPRH,NOL4L,YTHDC1,TNPO3,C18orf25,DAW1,SEC23B,PELI2,LCE3D,CDKL3,RIMS4,FGF12,DUSP6,SPATS2,ARL6IP4,EFNA2,FERMT1,C11orf87,SRPK1,TRIM65,TAF1B,EMILIN1,TAAR8,NXT2,PRKACA,MYO16,CRHR1,CSAG1,OCEL1,CLIC5,ZMYND11,P2RX6,ZRSR2,NSMCE4A,OR6B3,TRA2B,RSRP1,HNRNPA1,SCAF11,CDC42EP3,SRSF7,SNF8,PHF7,HOXA3,ALKBH3,LINC00312
406	-	FXYD1	GIGYF1,ADCK2,CBLL1,SAMSN1,LARS2,PANK1,WASF2,WWC2,YWHAQ,CDK16,ARHGAP23,ANKRD18A,SLC8A2,RNASE2,KCNK15,ARFGEF1,SIPA1L3,EIF4E2,ZNRF1,MFF,ZNRF2,MPL,PTPN14,ATP1A2,KANK1,ABCE1
412	AZGP1	-	MT-CO2,APOO,RRAS2,CKS1B,DHRS1,SEMG1,CCNG1,CDK2,KPRP,FBXW4,CCNJ,ATP5D
416	-	ELK4	RRP1,UTP4,ADNP,NUP133,NUMA1,RRP8,RRP9,PNPT1,SYMPK,PRPF4B,NUP85,MSH6,ZNF593,POLR1C,REXO4,MPHOSPH10,LTA4H,NES,ZBTB11,AQR,NUP98,NUP43,NUP188,NSA2,TIMM10,ZNF512,URB1,UTP18,TCF20,SEC13,DIDO1,RCL1,SIRT7,NUP107,RRS1,RFC1,NOLC1,SENP3,GLTSCR2,RRP7A,SUPT16H,TBL3,PHGDH,PWP2,LCP1,PCDHA2,DDX27,DIEXF,NOC3L,CCDC86,NUP37,SSRP1,POLE4,DEK,RECQL,ATAD2B,WDR18,PHF3
423	-	HIST1H1T	ZCCHC12,MTBP,SUMO1,CASP8AP2,RBM15B,MAFG,ZNF141,RPF2,H3F3C,PIR,SUMO3,C5orf42,ZNF362,OTUD6B,ZNF675,GFAP,STAB2,FAM179B,PLAGL2,PAK1,VPS72,ELAVL4,MRPL27,ELAVL3,MX1,NOX5,SETBP1,ZFP91,RBAK,MTDH,RCN2,UROC1,PPM1J,SOBP,ZNF281,ZNF224,PRSS50,TSHZ2,HERC2,BLVRA,BCAM,SMCHD1,ZFHX2,POLN,LGALS13,NANOG,FZD8,BIRC8,SMC5,SMC6,ZNF431,RBM15,ZNF107,BEND3,PAF1,SYDE2,SALL4,FOXL2,IGF2BP1,UHRF2,LRP4,ADARB2,AGPAT5,NSMCE1,NSMCE2,GPSM2,KCTD1,KTN1,KCNC3,SOX3,GNAT2,HIST1H2AC,MZF1,TFAP2C,TFAP2B,KCNK1,KLF7,PFKM,MAP3K14,POTEE,ZCCHC7,PLAG1,ASF1B,ANXA5,RABL2A,ANLN,PRKCZ,TRIP12,RCC2,AIRE,RNF168,NKTR,MBD1,ZNF91,MYLK2,KAT6A
426	-	PAH	BCAN,DIP2C,ATG14,SSX3,LRPAP1,MIS18BP1,SEPHS1,PCBD1,ZNF263,HNF1B,LRP1B,SOWAHC,CHMP2A,ZNF23,QDPR,ATP1A3,PAPOLG,FAM135A
427	ERG	COPS5	TAP1,ZCCHC11,SART1,STK10,BUD31,CCDC146,SRSF10,TKT,FAM114A1,ZC3H10,METTL18,FAM114A2,MEI1,ZC3H18,ZMYM2,ARHGEF12,OSGEP,SF3A2,PPP2R2D,SRP14,STK4,RAB40B,PTRH2,STRBP,HNRNPDL,TUBB4B,AKAP8,EIF2A,POP1,ENC1,EIF5A2,NYAP1,STK38L,TUBE1,YBX2,PABPN1,CAPZB,TNFSF10,RPS27L,RRP1B,RIT1,UROS,GTF3C1,GPRASP2,IFIT2,IFIT1,CCT8,RPL7A,XPO5,PANK4,CCT2,CCT4,CCT5,BCDIN3D,TIMM13,FBXL17,ARIH2OS,KIF1BP,HNRNPCL1,MAP3K8,FAM199X,PYM1,GARS,MCCC1,RPS6KA1,SNRPB2,PSMD13,KRT16,FBXO30,KRT10,GFPT2,DCD,EIF4A3,RRP15,KLHL26,KLHL21,KLHL22,KLHL28,AKAP11,PSMD9,CCDC184,NEDD8,STRIP1,RPS4Y1,PHAX,PRAME,TPRKB,ARF4,S100A9,HIST1H2BJ,DDB2,RBM19,S100A6,LARS,CPOX,PRND,MOB2,RNF20,MOB4,RIOK2,BDKRB2,SPIN2A,ATP1A4,CUL2,MARS,CMTR1,RBM7,IGSF8,PSMD8,RPL23A,EEF1A1,ARL15,TTC7B,EIF2S3,CAD,DYNC1I2,DDX18,POTEJ,ILVBL,ATP6V1B2,DYNLRB1,TRA2A,RNMT,FBXO46,APPBP2,HEATR1,ATG4C,DCAF4L1,SFSWAP,LRRC2,COPS7A,RPL14,HAP1,ACTR3,FN3KRP,RBMX,RPS29,RPL27,EEF2,SLC1A3,TRMT112,ORAOV1,PCK1,NUDCD3,RPGR,MAN1B1,PRPF8,LRRC42,RCBTB1,TRNAU1AP,USP25,PRPF6,GNL3,LBP,EIF3K,ASB4,EIF3A,EIF3B,EIF3D,EIF3E,DYNLT3,STRAP,RARS,MTMR9,CIRBP,KNDC1,RAB5B,FAM69B,REV3L,TPR,SEC24C,NTPCR,ZNF846,EFL1,HNRNPH1,UQCRC2,DBT,ZNF699,RPL37A,COPS3,RPL27A,TENM4,COPS6,TEFM,PINK1,MNX1,LAMB4,CBWD2,DDX50,FTSJ3,DDX55,STK25,CDC42BPB,SF3A3,C10orf55,BUB3,FIGN,NUDT7,DLAT,BOP1,EIF4H,AGMAT,CCDC9,EIF4B,DNAH2,FAM103A1,RPL7L1,SNX22,DMWD,SPATA5L1,KRT75,EPHX1,KRT76,KRT71,TMC1,RPLP2,RPLP1,RPLP0,KRT78,RFC3,STXBP1,OXSR1,ZBTB10,CDT1,SNRPA1,RPS6KB2,CYB5D1,ZNF346,HNRNPL,FBXW2,KLHL12,DPAGT1,KLHL15,KLHL17,KLHL18,HNRNPA3,HNRNPA0,SND1,IGF2BP2,CNNM4,RTCB,GDPD3,RPL10A,RAD52,LPAR2,RPL10L,XAB2,POLA1,SF3B5,PRDX6,SF3B3,SF3B2,MRPS15,H1F0,C20orf196,NOP58,SCARA5,IFIT3,NOP56,ARHGDIB,FEM1B,FEM1C,OGFR,SRSF5,VASN,ATAD3B,CASC3,KBTBD13,PM20D2,DDX23,TOE1,DDX21,DDX24,SSR1,BCKDHB,NCDN,DEFB127,DCAF8,NDUFB9,ZFR,FBXO17,RBM4B,USP43,UQCRH,NAALADL2,SNRNP200,NACA2,TMOD3,PPP1R3A,TFB2M,ZNF570,IFIT1B,FAM110B,CUL5,TAGLN2,KLHDC10,CUL1,LUC7L3,CUL3,IARS,VRK1,SLC25A5,SLC25A22,RPL15,RPL10,RPL11,RPL12,RPL18,RPL19,GPATCH1,DNAJA2,RBM42,DNAJA1,SNRPD3,SNRPD1,KPNA6,KPNA4,KPNA3,KPNA1,GAR1,KDELC1,ENAH,ACSBG2,NOP16,ATP6V0A2,EIF5B,PPM1G,DCAF12L2,SRSF6,HSPH1,USP45,USP44,SRSF9,NARS,PDPR,TRPM8,RPS3A,PJA2,SURF4,LIN28B,ATG10,RPP25L,RSL1D1,CDK9,C19orf70,ABCA10,RWDD4,UBE2M,GALK1,GINS4,MRPS26,MRPS23,MRPS21,PRPF19,STRN,ASPRV1,PHF5A,MSMO1,FARS2,BAG1,RPS12,RPL18A,KRT3,KRT2,C12orf10,RPS3,RPS2,KRT5,HP1BP3,TP53RK,RPS9,RPS8,FLG2,CD81,DHX57,KRT84,MCCC2,PSMA2,AKAP8L,KRT6B,ICAM1,SF3B4,UGGT1,RPS26,RPS27,ZNF326,RPS23,THRAP3,RPS21,RGSL1,WBP11,QPCT,PRKAA1,NT5DC4,QARS,NUP50,RPSA,DCAF12,PBDC1,RPL3L,SEPT10,PPP1R15A,FARSB,TMTC2,PPIH,PPIE,CALR3,PPIA,MYO10,CLCC1,CEMIP,UFM1,SPATA21,USP9Y,FAM83B,MICU2,PDCD2L,CLPB,RPL29,RPL24,NAP1L2,RPL26,RPL21,RPL23,RPL22,ZCCHC8,TTC37,COL19A1,SUCLG2,IK,GTPBP1,RHOBTB1,SAMHD1,UTP14A,SRRM2,PURB,PON2,EPB41L1,PLOD2,PRUNE2,SNU13,ASB13,ZRANB3,TMOD2,DARS,LSM12,ATP9A,ZNF76,BORA,NOSIP,C19orf43,GRK2,GRK3,CSNK1E,FLII,KLHL8,APEH,MAGOH,EIF3CL,KCTD12,VWA7,RANGAP1,KRT24,RPS16,SERPINB3,PA2G4,CWC15,KLHL9,KCTD13,RPS7,KCTD10,BRSK1,EEF1G,FBXL3,KCTD18,RPS5,SRPX,RHOT2,RPL8,SLC7A9,RPL6,RPL7,CCDC39,CCDC68,KLHDC2,KLHDC3,KRT8,KBTBD2,TUBA1C,NKAPL,KBTBD8,PDHA2,LANCL1,CTNNBL1,UBXN7,TTC5,DCHS2,FAF1,DCUN1D1,DCUN1D2,DCUN1D3,DYNC1LI1,HIST1H2BM,MTFR2,HIST1H2BH,PBK,KRT6A,SLC25A43,LRIG3,LRRC14,TNFAIP1,RBM25,RBM22,BTBD8,NUP155,IPO9,POLRMT,AGO4,AIFM1,BTBD1,BTBD2,NUP88,POF1B,HIST1H2BN,RBM3,RPL35A,STOM,PDXK,ATP5O,EFCC1,HNRNPH2,SHKBP1,RPL13A,MRPS34,RPL9,PCBP1,TRMT6,POLD1,DCUN1D5,FASN,HNRNPM,PPP1R12B,SNRNP70,RPL4,NIFK,NDUFA5,STOX2,EEF1B2,COPS4,HIST1H1D,NAP1L4,C7orf50,HNRNPUL2,YTHDC2,PRPF39,SMU1,TSR1,FBL,RPS13,KCTD2,RPS11,RPS10,RPS17,KCTD6,RPS15,RPS14,AAR2,RPS18,DHX30,DCAF11,RPS25,HIST1H2AJ,HIST1H2AD,YAE1D1,CAND1,UBQLN2,PLOD3,CPNE7,CRY2,ZNF554,GNA15,TRMT10C,LDHD,DCAF7,KCTD20,KCTD21,ADAMTS17,DPY19L4,PRPS1L1,TMEM165,CLTCL1,SNRPA,SNRPG,SNRPE,PTCH1,RPL26L1,CFAP58,RPL38,RPL36,RPL35,RPL32,RPL30,SNRPC,HADHB,EMG1
432	-	GSTA4,ABAT	HSPA2,ZCCHC14,MIA,GLRX2,NQO1,LAPTM5,GCM1,TMEM174,DUSP23,S100A14,TMED10,CCDC88C,URB2,IL36B,SPIN1,FAM84A,SSH2,MACROD1,GLRX3,PSMC3,PRRG2,SNN,GPR119,NETO1,STARD7,HSPB6,ALG1,SLC7A1,EDC3,YTHDF1,GSKIP,CDK17,EIF5A,ZNF451,VPS37B,TRIAP1,AHSA1,ANXA10,DPCD,RCN1,TMEM92,PGM2,OR8D4,C21orf59,OR5T1,ATG4B,AAMDC,APOPT1,EIF4EBP2,RTFDC1,ZNF428,SOAT2,BAG3,SH3YL1,OR10G3,LAP3,WBSCR28,DOHH,AKR1C4,ANKRD39,CCDC186,ADI1,COASY,DNAJB3,DNAJB4,TMEM207,OR2T35,S100A1,PBLD,LYZL4,GALE,ENO2,NDP,ANKS1A,CAPZA1,TSTA3,GSTM3,PAIP2,AGPAT1,LPAR4,EFHD2,TMEM252,PCP2,RAB2B,OVOL2,S100G,TTC32,PLOD1,NAP1L5,CDCA3,CDCA4,NANP,SLC35E3,ANXA1,ALDH3B1,PSME1,NR2C2AP,PIGV,ST6GALNAC4,MDP1,OR8H2,CA3,FAM118A,C1QTNF7,CMTM1
433	-	EHHADH	TSG101,PHPT1,SH2D3A,DCTN2,VPS37D,ABCB6,DSG1,VRK3,ASZ1,ORC1,PIGQ,KCNN4,ARRDC1,MVB12B,MVB12A,NT5DC2,RAB11FIP3,FDPS,NELFCD,RAB11FIP4,SMARCC2,IMMT
435	-	CES1,SHMT2	FXYD6,DOLK,LMBR1L,FXYD3,PTDSS1,FAM3A,P4HA2,SLC29A2,SLC29A1,BTN2A2,PSENEN,ZNF599,TMEM115,SLC50A1,S100B,TIMM17B,APH1B,APH1A,SCGB1A1,TMEM14C,TMEM14A,RPRM,CYB561,TMEM19,VKORC1,TM4SF4,GAD1,ICAM4,LPCAT2,SACM1L,ALG3,CREBRF,CNPY3,UNC50,SLC30A2,PLLP,RIMS3,PLPP1,PNLIPRP1,C17orf62,AQP5,TRIM32,CLCN7,ACSF2,DNAJC30,LILRB5,ARL6IP1,CGRRF1,PTPN9,TSPAN4,TMEM140,SEC61G,CREB3,TMEM100,SLC41A3,CTSW,STK32C,ZDHHC21,RAB23,ADTRP,ORMDL1,SYNGR1,SLC35C2,SLC19A3,ACSL5,KRTCAP2,SCLY,C16orf58,CREB3L1,AGPAT3,USE1,SPOCK3,TMEM234,CELA3A,TMEM51,TIMM23,TMEM230,CMTM5
