rank	biomarkers	candidates	cluster
377	PIK3R1	EPS15,PAX3,PLCG1,SH2B3,FANCA,ABL1,ABL2	ASB16,TGDS,RAPGEF1,NCK1,DAB2,EPX,ADAMTS2,KIFC2,CACNA1F,DLGAP2,DLGAP3,PYGB,DLGAP1,DLGAP4,CUL7,PRX,ARHGEF11,WNK2,TDRD1,EXTL3,LRRC3,SEMA7A,OSBPL5,AKAP6,HCN2,MYLK,NFS1,CDON,DKKL1,SNX3,ISG20L2,DOCK3,GAB3,POLR1B,BAZ2A,NCKAP5,CCKBR,LRRK1,GSX2,TULP1,AFF2,TULP4,PRKG2,DLX4,CSDC2,OXT,DNASE1L2,EFS,GTF2IRD1,NFASC,DTNBP1,GLMN,GCFC2,ABCG5,CDC27,TMEM74B,SEPN1,SLC22A3,NXPH3,MYO1C,CSMD2,SHROOM2,CD300LB,SOS2,GABRA3,SNX17,FAM110A,SNX12,CDKL5,NPVF,CAST,C6,RIMS2,PHACTR2,CELSR3,IL3RA,LRBA,TPSB2,WDR61,SCARF2,GSTZ1,SLC23A1,CHRD,PREP,ASAP2,MAP4K1,MKI67,MAP4K5,MSH5,CNTNAP1,GABBR1,P2RX7,MEPE,PPFIA3,FYN,UHMK1,BRPF3,APOL5,VPS13A,SUV39H2,GLTSCR1,SLC24A1,ABR,PRICKLE3,DUSP15,GPR45,SHANK3,ZC4H2,PCDHA7,KIF13A,ARHGAP33,CKAP5
379	SMAD3	SMAD2	DPP10,DROSHA,GFM2,CCDC25,SENP2,CHGB,MCF2L,MKS1,SRSF11,CDC42BPA,TCEAL6,SURF6,KIAA1109,RANBP3,SEMA6A
382	-	CHIC2	ELAVL1,HNRNPD,CD83,IL13,ATF3,DUSP1,ILF3
385	ETV5	KDSR,DDX10,AMER1,SF3B1,MKL1,IL6ST,MLLT11	AGL,HSF4,MGARP,CTRL,ELOF1,ISL2,AGXT2,ANP32D,GDF5,GGPS1,CCDC94,GSDMB,CYP4F11,BCLAF1,COX20,CGREF1,FOXF2,CYP51A1,CDH3,DMTF1,METTL7B,IFITM2,UBE4B,HK1,AHI1,PER2,GUK1,ABLIM2,ABHD2,GSTA3,RAB40A,BMP6,H2AFV,CXCL9,C22orf46,C1QB,CSF3,ZCWPW1,GNG5,PID1,DMRT1,CD1E,DIRAS3,C9orf3,C1orf21,C1GALT1,MIIP,CYSLTR1,CHD1,COPZ2,BMF,EGR2,ADAR,EGR1,EN1,GBA2,HMMR,EPHB1,CPNE6,PAX6,BLK,ING1,KRTAP12-1,ERLIN1,HLX,CAMSAP1,GLYCTK,ITM2C,MELK,KRT14,IL11RA,EMC2,EFCAB6,CLK4,GADD45B,ATP5H,ALKBH1,MUT,MOAP1,HTN3,GOLPH3L,IDS,PRKCSH,SMPD1,IL1A,STAT1,SLC8A1,CLPS,CITED4,ASH1L,ART4,PDSS1,CHRNA2,CRYGA,ADK,IL15,IRS2,HOXA2,LPAR3,ARL4A,KIF20A,COLGALT2,MAP4,CAMK1G,CDH16,CMYA5,MYADM,MAP7,BAALC,BMPER,BCL9L,ELF2,LRRC29,DYDC2,KLF11,CAMLG,CDKN3,BLZF1,GCLC,KCNK2,KCNK3,CDCA2,LINC01587,FAH,COPG2,KLF2,HSD17B2,APOL4,FOLH1,KISS1R,DPY19L2,TTLL3,BCL2L14,VCL,CRYM,SLN,ANKRD7,ABCC12,NFIC,E2F5,KDM3A,C1QTNF2,RNF122,FUT1,NFIX
387	-	KCNJ5	KCNJ3,IDH3A,ETFB,TMUB1,HTR4,GNG12,RAB18,ADRB2
388	-	ERC1	TM2D2,FAM168B,PPP4R4,CD58,MYO1D,KHDRBS3,ZNF321P,STAC,HABP2,CT55,TPK1,NLRX1,TMEM159,ZNF747,PRICKLE2,CCDC107,HAUS6,VPS37C,OR4D6,CDCA7,ANKS6,TMEM59,FAM160B1,IFNA16,NDUFA4,PCCA,COL4A3BP,SYNJ2,CHRDL1,DFFB,FAM69A,PARP2,GRAMD1C,SERPINB5,ZHX2,CACFD1,PRSS21,KDELR2,TUFM
389	-	SSX1	LHX1,LHX4,TCEB3,FUBP3,REXO1,ISL1,RLIM,SSBP4
390	-	TFRC	LAPTM4A,PXK,B4GALT1,MARCH1,SPPL2A,KCNA5,MARCH8,IL1R1
392	-	SDHAF2	IGBP1,HEXA,UBE2R2,THADA,NUBP2,TIPRL,RNF214,SNRPF,C9orf78
395	PTPRK	PTPRC,PTPRB,KIT	PTPN22,TEK,PTPRZ1,PTPRG,PTPRO,PTPRJ
399	-	DCTN1	GANAB,MACF1,FBXO8,MAGEA6,ECT2,CCNA1,ARF6,PCBP3,SAP18,DDX19B,GTF2I,ARMT1,PLS1,ATXN2L,HDLBP,MAPK8IP3,RAB21,RGS10,MTHFD1,KIF23,ACLY,ATXN2
400	-	ATIC,ATP2B3,PAFAH1B2,YWHAE	GSS,CAPNS1,RAB11FIP5,HMGB3,MYO1E,EIF5,TBCB,PLEKHO2,PAPSS1,ASB6,KCNK9,PPP1R2,TRAT1,CFAP43,PAPOLA,SCPEP1,YWHAH,PIK3R4,CAPN2,REEP1,APAF1,ARHGAP45,NOS3,MCTS1,PDIA4,ZFP36L2,TPH2,ATP2B1,OGFOD1,ATP2B2,CBY1,ATP2B4,RAB11FIP2,ISOC1,PTMA,AGXT,RARRES3,CALCA,PROSC
401	PRKACA,CHEK2	ZRSR2,ARHGAP26,TFEB	ZRANB2,EPB41L4A,SFMBT1,SRSF12,EPHA7,MBNL3,METTL14,LARP1,NSRP1,STAU1,SPAG11B,KCNAB1,KCNN2,KIAA1841,SETD3,FBXO15,ZNF444,FAM76B,WDR55,H2AFY,DDX47,MRPL43,ARHGAP12,SERF1B,HMGN3,NOVA1,C16orf78,SLAIN2,MAPKAPK5,LUC7L,SRSF4,DUS1L,YPEL3,YPEL2,TULP2,SRSF8,C11orf52,ZNF514,SPANXN4,C6orf201,SERPINB10,POLR2E,ARGLU1,FGF1,DNAJC8,RBM23,SERBP1,CLK1,C11orf63,MKNK2,EPHA3,TNFRSF10C,ADPRH,NOL4L,YTHDC1,TNPO3,C18orf25,DAW1,SEC23B,PELI2,LCE3D,CDKL3,RIMS4,FGF12,DUSP6,SPATS2,ARL6IP4,EFNA2,FERMT1,C11orf87,SRPK1,TRIM65,TAF1B,EMILIN1,TAAR8,NXT2,HOXA3,MYO16,CRHR1,CSAG1,OCEL1,CLIC5,ZMYND11,CAB39L,P2RX6,NSMCE4A,OR6B3,TRA2B,RSRP1,HNRNPA1,SCAF11,CDC42EP3,SRSF7,SNF8,PHF7,ALKBH3,LINC00312
402	EGFR	PRCC,DNAJB1,ROS1,RAP1GDS1	SEPP1,ANKRD13B,CUTA,SLC6A4,KCTD9,TMCO3,DOCK4,DOPEY2,SLC5A1,OLFM1,MDH1,GPM6B,UROD,SORBS2,PHLDA1,DNAAF5,THEM6,ITIH2,FCER1A,AHNAK,ARHGEF5,SH3D21,KRT86,PNPLA2,NDFIP1,PLCH1,ODF3L2,DNAJC13,GOT1,VAC14,DUSP3,CCDC50,COG8,HEATR3,CHRAC1,COG7,COG1,HSPA4L,COL9A3,KIAA1524,PUF60,OTUD7B,DDX60,C11orf84,PLAA,MTAP,ROR1,SOCS5,SNAP25,CA9,TOR4A,LRIG1,DNAJC4,NABP2,GEMIN6,TPI1,PDK3,CSRP1,VPS51,SOCS7,NBEAL2
405	-	LMO1	LIN7A,KCNJ10,FABP1,GNAT3,ADAMTS6,GNG13,GUCY1A2,HTR2C,DAPK2,SNTA1,GABPB1,KCNJ16,KCNJ15,MAS1,KCNJ2,NMU,ADH5,KCNJ4,SLC2A3,SLC16A7,SSTR1,MLC1,SCTR,SLC1A7,PSKH1,IL9
406	-	MPL	GIGYF1,FXYD1,ADCK2,CBLL1,SAMSN1,LARS2,PANK1,WASF2,WWC2,YWHAQ,CDK16,ARHGAP23,ANKRD18A,SLC8A2,RNASE2,KCNK15,ARFGEF1,SIPA1L3,EIF4E2,ZNRF1,MFF,ZNRF2,PTPN14,ATP1A2,KANK1,ABCE1
407	-	DNM2	PGAP1,NCAPG2,IPO11,GIGYF2,DCLK1,ATP6V1H,UST,SORBS1,DHX37,NCOA3,CHD5,SCD,NOC2L,ICA1,SMARCAD1,MYC,SIRT6,SIRT5,NCAPD3,KLHL5,NOL9,GIPC1,BTAF1,EXOC3,GLUD2
411	RUNX1	RAD21	DIP2B,MSRB2,RPL22L1,GNL1,THSD7A,HSD17B8,FOCAD,MEA1,RNASE3,ZNF80,EVX1,NCAPD2,OR1E2,CCDC7,SERPINB1,ALDOC,CCDC170,ARG1,CSF2,STX10,PPP1R15B,MPO,NCAPG
416	-	LCP1,DEK,ELK4,MSH6,NUP98	RRP1,UTP4,ADNP,NUP133,NUMA1,RRP8,RRP9,PNPT1,SYMPK,PRPF4B,NUP85,ZNF593,POLR1C,REXO4,MPHOSPH10,LTA4H,NES,ZBTB11,AQR,NUP43,NUP188,NSA2,TIMM10,ZNF512,URB1,UTP18,TCF20,SEC13,DIDO1,RCL1,SIRT7,NUP107,RRS1,RFC1,NOLC1,SENP3,GLTSCR2,RRP7A,SUPT16H,TBL3,PHGDH,PWP2,PCDHA2,DDX27,DIEXF,NOC3L,CCDC86,NUP37,SSRP1,POLE4,RECQL,ATAD2B,WDR18,PHF3
417	-	GAS7	DHX34,BECN1,EXOC4,TRABD,PTOV1,EXOC8,KIAA0226L,AFG3L2,TRMT2A,TNRC18,SLC27A4,GLIPR2,RALB
421	-	XPC,FANCE,ERCC4	PCNA,RAD17,TIMELESS,CSTF1,SPAG1,FAN1,POLR1A,BAZ1B,KIN,CSTF2,POLK,IL17RB,FANCI,DCLRE1A
422	MED12	AFF4,ELL,MLLT1,AFF1	MED28,MED21,MED20,MED25,MED26,ICE1,MED1,MED6,MED7,MED4,MED9,PPARGC1A,MED10,MED11,EAF2,MED13,MED14,MED16,MED17,MED18,ELL2,MED30,MED31,POLR2F,POLR2L,POLR2K,USPL1,MED13L,OBFC1,CDK8
423	-	PLAG1,FOXL2,SETBP1,RBM15,KTN1	ZCCHC12,MTBP,SUMO1,CASP8AP2,RBM15B,MAFG,ZNF141,RPF2,H3F3C,PIR,SUMO3,C5orf42,ZNF362,OTUD6B,ZNF675,GFAP,STAB2,FAM179B,PLAGL2,PAK1,VPS72,ELAVL4,MRPL27,ELAVL3,MX1,NOX5,ZFP91,RBAK,MTDH,RCN2,UROC1,PPM1J,SOBP,ZNF281,ZNF224,PRSS50,TSHZ2,HERC2,BLVRA,BCAM,SMCHD1,ZFHX2,POLN,LGALS13,NANOG,FZD8,BIRC8,SMC5,SMC6,ZNF431,ZNF107,BEND3,HIST1H1T,PAF1,SYDE2,SALL4,IGF2BP1,UHRF2,LRP4,ADARB2,AGPAT5,NSMCE1,NSMCE2,GPSM2,KCTD1,KCNC3,SOX3,GNAT2,HIST1H2AC,MZF1,TFAP2C,TFAP2B,KCNK1,KLF7,PFKM,MAP3K14,POTEE,ZCCHC7,ASF1B,ANXA5,RABL2A,ANLN,PRKCZ,TRIP12,RCC2,AIRE,RNF168,NKTR,MBD1,ZNF91,MYLK2,KAT6A
