"SUID","__mclCluster","MAA","name","score","selected","shared name"
"4534","15","0.022759693384874134","PGRMC2",,"false","PGRMC2"
"4535","780","0.15000349794186832","STEAP3",,"false","STEAP3"
"4536","99","0.1398810281648446","TCEAL9",,"false","TCEAL9"
"4537","1046","0.5","SCYL3",,"false","SCYL3"
"4538","790","0.0","ACTR3B",,"false","ACTR3B"
"4539","66","0.10526315789473685","ADM","0.272714418721","false","ADM"
"4540","37","0.033334110653884315","ARHGAP17",,"false","ARHGAP17"
"4541","848","0.0","NPTXR",,"false","NPTXR"
"4542","848","0.0","NPTX2",,"false","NPTX2"
"4543","108","0.04391126699557182","IL6","0.155678063502","false","IL6"
"4544","93","0.0","SH3BP5L",,"false","SH3BP5L"
"4545","400","0.0","BDP1",,"false","BDP1"
"4546","595","0.0","NF2",,"false","NF2"
"4547","23","0.05811943029880153","CDH18",,"false","CDH18"
"4548","210","0.0","RMI1",,"false","RMI1"
"4549","54","0.021000765359507814","MYF5",,"false","MYF5"
"4550","167","0.0","TTBK1",,"false","TTBK1"
"4551","167","0.0","TTBK2",,"false","TTBK2"
"4552","227","0.0","TEKT4",,"false","TEKT4"
"4553","1241","0.0","KIR2DS3",,"false","KIR2DS3"
"4554","1241","0.0","TYROBP",,"false","TYROBP"
"4555","652","0.3600051846935583","ASXL1",,"false","ASXL1"
"4556","69","0.0","ATP6V1B1",,"false","ATP6V1B1"
"4557","526","0.0","VMA21",,"false","VMA21"
"4558","1196","0.44436050194132415","JAZF1","0.122367031979","false","JAZF1"
"4559","2","0.05016395268088782","ZC3H7B",,"false","ZC3H7B"
"4560","18","0.030021168178117997","RNF8",,"false","RNF8"
"4561","53","0.045454545454545456","SYNPO2",,"false","SYNPO2"
"4562","17","0.0853850142071968","FXR1",,"false","FXR1"
"4563","26","0.1282051282051282","ADAM19",,"false","ADAM19"
"4564","4","0.060065908503173275","TULP4",,"false","TULP4"
"4565","131","0.09090909090909091","ELP2",,"false","ELP2"
"4566","1242","0.0","PNO1",,"false","PNO1"
"4567","88","0.0","KIF7",,"false","KIF7"
"4568","991","0.0","LSM7",,"false","LSM7"
"4569","301","0.0","LTN1",,"false","LTN1"
"4570","152","0.08870088139801492","PDS5B",,"false","PDS5B"
"4571","74","0.02588357286907254","CSTF1",,"false","CSTF1"
"4572","919","0.0","GNPTAB",,"false","GNPTAB"
"4573","919","0.0","GNPTG",,"false","GNPTG"
"4574","368","0.0","TBX2",,"false","TBX2"
"4575","1243","0.0","LMO2",,"false","LMO2"
"4576","73","0.053822788916670736","AJAP1",,"false","AJAP1"
"4577","1","0.017462756568235437","DARS",,"false","DARS"
"4578","429","0.0","NUAK1",,"false","NUAK1"
"4579","429","0.0","KRT77",,"false","KRT77"
"4580","17","0.0853850142071968","SIK2",,"false","SIK2"
"4581","17","0.0853850142071968","CETN3",,"false","CETN3"
"4582","920","0.14667357959141109","MT1A",,"false","MT1A"
"4583","920","0.14667357959141109","GPR50",,"false","GPR50"
"4584","216","0.0","CCDC47",,"false","CCDC47"
"4585","307","0.0","HNRNPAB",,"false","HNRNPAB"
"4586","1244","0.0","GRM1",,"false","GRM1"
"4587","7","0.02392177194876699","TRA2B",,"false","TRA2B"
"4588","7","0.02392177194876699","TNPO3",,"false","TNPO3"
