interaction_id	a_alias	b_alias	a_id	b_id
617150	Q9Y6K1-3	Q13547	3901963	3908752
617261	Q12967-2	A8KAH9	776494	3766206
617269	E9PC49	Q12778	2166278	3348102
617341	Q96PU5	O00141	2271964	2613246
617346	P37198	Q96QU8	4484668	4772972
617419	O14641	Q96BN8	400924	4219691
617688	XP_005274065	Q92878	1886948	5118809
617749	Q8TAT6	XP_005261333	2138435	4177373
617755	Q9Y6D9	P61244-4	930558	2334209
617842	B1APZ0	Q9HAV0	2659709	2831214
617853	Q9Y6K9	Q15653	961525	2976835
617970	P17542	Q13547	2572200	3908752
617998	XP_005257673	XP_005274205	3027803	4629164
618062	Q92905	Q13485	2080390	3087482
618080	O94813	Q9Y6N7	340330	2899331
618098	P84022-4	Q13950-3	506434	1128724
618166	A8K147	P21802-8	2654427	4935615
618170	P40933	Q13261	2231624	2956356
618198	F1D8P8	Q13573	781714	1636265
618209	O60934	P49959	1458824	1886948
618271	P62877	XP_005248398	3594045	4492196
618321	P41220	P07858	808478	4181226
618412	P00747	P04156	1850984	3335469
618464	O43184	P17936	1314172	5156786
618535	P42229	G4XH65	2791829	4157895
618539	P01344	NP_000867	292123	788005
618627	B3KQY7	Q99759	505462	5255272
618717	Q92888	Q14344	4867422	5278141
618757	Q9BXS5	Q14872	1180512	5175611
618857	Q9UEW8	Q16539-4	506520	3378486
618909	P10636-8	P49841	1026809	1562406
618922	Q16611	P04637-7	1828022	1885413
619094	P12004	P24941	618017	5081339
619108	Q9NVP2	Q13112	2047592	4601076
619117	Q9Y4X5	P68036-3	512356	1146862
619147	P02649	P98164	4560000	5343346
619175	P49715	P49716	4398609	5013173
619200	Q13387-4	O14733	467320	1874372
619256	P12755	P12757	513299	10724543
619294	E2GIM6	Q92985-3	2265349	4704365
619423	Q15543	P20226	799419	4197396
619512	A4D0U5	Q9Y490	262668	1349134
619592	P06730	P60842	913032	1655367
619596	P55854	Q9HC62	4577585	5279588
619604	P00533	K7ENL3	2135848	3027803
619610	NP_001030127	P22681	3811847	4739027
619795	Q15393	P61981	2085035	4303895
619809	O75146	O00291	1426594	4270364
619919	P48023	P27986	414846	3503650
619978	P13236	P32246	1714665	3001692
620037	P15927	A4D105	69516	2221221
620039	P42684-10	P00519	1454619	4154210
620107	Q9Y6W6	Q16539-4	1158706	3378486
620179	O43278-2	Q04756	1874037	4762975
620341	Q96T23	O60264	2421122	4882386
620372	O95163	Q9H9T3	2238434	2804475
620507	NP_001191189	B7Z1I1	532535	635742
620511	Q8TBK4	P49407-2	2271250	4397910
620522	Q92889	P07992	1007298	4688857
620577	P60880-2	XP_005274254	163867	2979306
620634	A8K2I7	P98164	457052	5343346
620642	Q14164	K9JA46	3062679	3691852
620721	P16104	NM_000051	4577390	16816000
620765	P29353	P05067	1871880	2186087
620811	Q16594	Q00403	1611110	3116361
620912	P27986	P16410-5	3503650	3522491
620935	Q13547	P11388	3908752	4684870
620959	P49593	Q13153	1997896	4004555
621010	A4D1C5	P49023	218817	2178303
621035	Q13002	Q92796	186242	3077142
621040	O14908	P49795	457052	2875903
621307	P63167	Q9UBX3	1279185	5149198
621431	P28074-3	P25788-2	749684	936905
621495	Q13416	Q9Y5N6	4231106	4680436
621597	Q15256-5	Q9BWJ1	889770	3536546
621804	P19438	Q13546	1020765	3479525
621811	P13489	P07998	321521	3577550
621821	P55957-2	Q07817	2668400	2857551
622068	A4D196	Q9Y3C5	3384826	4372825
622196	P27986	XP_005272234	3503650	4154210
622245	B4DG79	O95988	2269842	3959476
622307	P83436	Q9UP83-2	2156980	2638768
622523	B4DG79	G4XH65	2269842	4157895
622850	P25208	P08047	2602138	3095898
622946	P11142	NP_004314	201818	9214020
622975	NP_001186776	O43541-2	4687717	4777149
622978	P38398	P52701	4280011	5066750
623043	P46527	P30281	4358568	4984842
623118	Q16594	Q9Y6J9	1611110	5165533
623148	P45974-2	Q9Y3C5	982552	4372825
623294	P30304	P24941	1390823	5081339
623367	P63241	O14980	146918	4692488
623368	P84022-4	O95405-2	506434	4473831
623488	Q9Y297	P49427	910608	2423457
623537	P06239	P07900-2	1065781	3691852
623585	Q9UBK2	Q16656	2806644	3777351
623807	P19388	P19387	1235005	4446425
623839	P50570	Q14247	1193583	4456964
623991	B3KY17	P26678	434488	1815070
624032	Q8IW76	XP_005269173	384850	385840
624327	O95163	P25963	2238434	2963834
624342	P07858	P01034	4181226	4376640
624454	O60941-7	Q9NP66	161507	2878965
624567	O00221	Q04864	642705	3513892
624580	P10244	P78396-3	374782	842303
624601	P18754	P43487	116262	3452597
624603	Q08211	P11388	1165658	4684870
624617	B0LPE5	Q12778	929751	3348102
624663	F1D8T1	Q12778	2946713	3348102
624774	B0LPF3	O43609	4056103	4170340
624833	P63096	O43566	491337	2698076
624850	P10244	Q92793	374782	4774660
625055	Q13573	XP_005253707	1636265	10013539
625095	P23396	Q04206-4	1945943	4629164
625129	O75182	NP_001207701	3197479	3877317
625155	Q96CW1-2	P16410-3	1150330	3522491
625378	Q05397	P04637-8	882993	1885413
625431	P22607	P12034	656326	1108016
625501	XP_005258274	Q13424	943142	5176374
625623	P17275	P53539-2	3482397	3495997
625690	P10515	P11177-2	3451590	4559607
625736	P54756-2	P52803	2451596	2898495
625780	P05160	NP_000120	4012899	5316100
625888	Q9Y244	E9KL30	2974551	4651885
625928	Q96EZ8	Q9Y3C0	1180921	2586207
625992	P15172	Q02535	483984	1762735
626033	Q9Y2J2	Q9NS73	4443022	5344929
626061	NP_001191189	P48552	532535	4563998
626148	P00533	O43639	2135848	4765909
626151	Q09472	Q9Y6B2	820620	4572794
626213	P06239	Q86WV1-2	1065781	5203777
626275	I3L2C9	P84077	4412742	5240249
626475	Q99873	Q07666	245135	3573425
626533	Q9UBU9-2	P35658	1020140	1470775
626558	P18847	P05412	548010	5155720
626962	F1D8R5	Q15788	1253203	3390649
626970	P06493	P14635	857930	4670894
627216	B7Z3D6	P24385	857930	4865286
627272	Q68DB7	D3DPA4	1214633	3303645
627277	Q9NR55	Q16520	2186833	3961535
627425	P28074-3	E9KL30	749684	4651885
627478	P61073	P51681	107322	3747743
627733	P01137	P61812	4705467	5204010
627809	Q99962	Q96B97-2	3008487	4662323
627955	Q15139	P05412	2838090	5155720
627989	Q9Y4Y9	Q9UK45	1708118	4589935
628036	P19174	P42768	3550890	4531310
628128	Q86YB8	P07237	319690	3867063
628153	P06400	P51532-5	4863907	5253180
628155	P11474-2	NP_001230434	865149	1253203
628215	Q9NS28	P08754	475639	3252138
628269	Q00536	Q04917	3035554	4529117
628311	P13861	P15311	948625	4258047
628390	P68431	Q13111	3410334	10012887
628398	P46100	Q9UER7	477007	2903058
628596	Q14686	P61964	222284	3076419
628644	Q15648	Q9NVC6	1007949	3481359
628656	F1D8P8	Q15596	781714	1653461
628698	P09488	Q99683	106166	150325
628733	P15408	P17275	38360	3482397
628811	P42224-2	P15260	1004542	2861341
629029	P78346	Q99575	3590131	4872336
629063	Q9NYJ8-2	Q12933	2248140	2547906
629066	A8K401	Q56A76	1066643	1586754
629279	Q9NZ94-2	P78352-3	3467017	5309542
629438	P38936	P30281	941370	4984842
629557	P61968	Q86U70-2	1013002	3777633
629600	O00213	Q9UI08	482626	5276056
629662	P27348	P42345	448835	5142994
629749	P20823	XP_005255181	4133962	4774660
629864	P17676	Q92922	3962824	4434473
629903	Q03135	P35354	40293	4690032
629981	P42574	P14317	3329408	16820919
630033	P37275-4	P56545-2	389033	722955
630189	A4D2P1	P52565	886779	3211116
630244	P51665	Q15008	2229312	4386137
630431	O75530	P25490	2392011	3404979
630451	P35968	P98077	3242633	5397690
630455	P48023	P06241-3	414846	2079075
630464	P98155-2	P02649	546944	4560000
630487	P15172	Q09472	483984	820620
630558	P43034	Q14203-4	1389515	3553333
630564	P26374	P20336	364304	3016069
630567	Q96PU5	A5X2V1	2271964	4969520
630569	Q9NSC5	P21817	5330805	5395245
630700	P60900	Q9UNM6	1821380	2423255
630721	P09619	O43639	2494710	4765909
630792	P59780	O14617	723975	4605542
630809	Q8IW76	A8K5I0	384850	3202052
631060	O15105	Q9Y3F4	73857	121585
631110	O00499-9	Q05193-3	90222	4370876
631140	Q9BUZ4	P08138	928592	4896685
631194	P42261	Q12959	193246	1143071
631252	P08620	P22607-3	466161	656326
631347	Q9NRD5	P17252	3758086	16822233
631379	K7PPA8	O75925	1885413	4042785
631475	Q96J02	O15350-8	2639679	2791218
631816	Q9GZM8-2	P43034	1124639	1389515
631892	P21796	P19367	856204	1467798
631921	Q92466	Q16531	2237342	3699097
632037	P68036	B7Z2P9	1146862	2271964
632168	Q13485	Q2M1K9	3087482	3115915
632231	Q99567	P35658	520964	1470775
632291	P63165	NM_002111	3034498	14006660
632358	Q14449	P06213	1173557	9769294
632443	Q5W009	P21673	4532088	4925944
632456	Q06609-4	P54132	1183784	1933837
632489	P49770	Q14232	1414212	2186036
632588	XP_005267239	XP_005253508	1285724	1785064
632638	P09629	XP_005255181	536232	4774660
632828	P15172	P11802	483984	3621324
632923	P16234	Q9NRA1	3059970	3654654
632925	Q969T4	O95628-8	327933	2095083
632997	Q13485	P17275	3087482	3482397
633008	P08559	Q15120	3487095	3634163
633074	P15531	O15160-2	4424305	4916471
633113	Q15645-2	Q9GZT8-3	2204433	4604599
633126	P36873	Q12972	4122724	4602573
633345	Q15797	Q2M1K9	1373290	3115915
633383	NP_000035	P11308	508037	4100622
633384	Q16543	Q9Y572	2348958	4360511
633473	P06241-3	NP_057447	2079075	16820629
633660	O75676	Q16539	1337826	3378486
633785	P23327	XP_005266851	212573	9378428
633797	P68036	P46934-4	1146862	14007162
633879	NP_001191189	Q04206-4	532535	4629164
633898	O95352-3	Q658J6	3132597	5091618
634022	P50542	Q92968	1785064	2319229
634049	O15511	P61160-2	2706833	4417202
634081	P43487	P62826	3452597	4251325
634107	Q92558	P00519-2	2693738	4154210
634119	Q15672	Q92831	249068	1991355
634177	B0YJ88	Q92574	751872	1942456
634179	Q14678-2	P62136	67127	2413104
634280	Q13547	Q15910-3	3908752	5202298
634430	P10301	P16333	1619606	4456845
634483	Q96PU8-9	P61978	765978	5118416
634501	Q13309	Q9H211	4492196	9378317
634605	Q9Y2X7	Q15052	964752	2322933
634654	P27348	B4DIG0	448835	3389965
634657	P49427	Q13309-2	2423457	4492196
634682	P06493-2	P33552	857930	3527425
