a_alias	b_alias
NEDD4L	SGK1
NUP62	XPO6
DVL2	OTULIN
IKBKG	NFKBIB
TAL1	HDAC1
COPS5	SMAD4
SLIT2	ROBO1
IL15	IL15RA
NBN	MRE11A
RGS2	CTSB
ADAM12	IGFBP3
ARHGEF1	GNA13
AP1M1	MTF1
PCNA	CDK2
ASF1B	CHAF1B
APOE	LRP2
CEBPA	CEBPD
SKI	SKIL
TAF13	TBP
EIF4E	EIF4A1
SUMO3	SENP2
SF3B3	YWHAG
HIP1R	HIP1
FASLG	PIK3R1
CCL4	CCR1
RSF1	SMARCA5
IKBKAP	ELP3
ERCC4	ERCC1
H2AFX	ATM
SHC1	APP
TAF9	GTF2B
HDAC1	TOP2A
PPM1F	PAK1
GRIK2	DLG3
GIPC1	RGS19
DYNLL1	SLC25A10
ORC2	ORC6
TNFRSF1A	RIPK1
RNH1	RNASE1
NFYB	SP1
BRCA1	MSH6
CDKN1B	CCND3
TAF9	TAF6L
CDC25A	CDK2
EIF5A	XPO1
BTRC	CDC34
PPARGC1A	NRF1
POLR2E	POLR2C
DNM2	CTTN
IKBKAP	NFKBIA
CTSB	CST3
NFKBIE	REL
RCC1	RANBP1
DHX9	TOP2A
GNAI1	RGS14
MYBL2	CREBBP
FGFR3	FGF5
MCRS1	CCDC53
MYOD1	ID3
EPB41L3	MBIP
EGFR	NCK2
EP300	EID1
PRMT1	KHDRBS1
ATF3	JUN
CDK1	CCNB1
BATF3	BATF
CXCR4	CCR5
TGFB1	TGFB2
PRKD1	JUN
LSM5	LSM7
PLCG1	WAS
ERO1B	P4HB
RGS18	GNAI3
CDK16	YWHAH
PRKAR2A	EZR
HIST1H3J	CHAF1A
ATRX	DAXX
NCOA6	WDR5
MED1	MED17
GSTM1	MAP3K5
FOSL2	JUNB
RPP30	POP1
CDKN1A	CCND3
APBB1	EVL
YWHAQ	MTOR
CEBPB	SMARCC1
CAV1	PTGS2
CASP3	HCLS1
PSMD7	PSMD6
EED	YY1
KDR	SHC2
MYOD1	EP300
CHML	RAB3A
HOMER3	RYR1
PSMA6	PSMD13
PDGFRB	NCK2
AP3S2	AP3D1
SMAD7	STRAP
TRAF4	NGFR
GRIA1	DLG1
PICK1	PRKCA
VDAC1	HK1
DDB2	DDB1
SMAD4	ZNF423
NUP88	NUP214
SUMO1	HTT
GRB14	INSR
EIF2B2	EIF2B1
MYOD1	CDK4
PDGFRA	PDGFC
SMAD4	JUNB
PDHA1	PDK3
PPP1CC	PPP1R8
SMAD1	ZNF423
CDC37	RIPK3
RPS6KA4	MAPK14
PEX5	PEX13
RANBP1	RAN
TWIST1	KAT2B
RRAS	NCK1
SKP2	CDT1
GIT1	ARHGEF6
IGFBP3	TF
SMAD3	SMAD1
EIF4A3	MAGOH
GABARAP	NBR1
PSMC3	PAAF1
FMR1	FXR2
CDKN1B	YWHAH
CD28	CD86
RNF123	UBAC1
PSMD7	PSMC1
CDK1	MYT1
COL17A1	ITGB4
PSMA3	PSMA2
TFDP1	RB1
ALK	PTN
KNTC1	ZW10
CHMP4B	STAMBP
RBBP9	RB1
GABARAPL2	ATG4B
DHX9	KHDRBS1
PSMC5	TNNT1
SIAH2	UBE2I
TSG101	HGS
EGFR	GRB10
SMAD7	RNF111
