interaction_id	a_alias	b_alias	a_id	b_id
617150	Q9Y6K1-3	Q13547	3901963	3908752
617156	Q9C0F1	Q8NA61	2035801	4830777
617165	Q9BX70	K7PPA8	114725	1885413
617185	Q01844	P11597	799425	3751636
617261	Q12967-2	A8KAH9	776494	3766206
617269	E9PC49	Q12778	2166278	3348102
617280	O00203	P59780	2733	723975
617341	Q96PU5	O00141	2271964	2613246
617346	P37198	Q96QU8	4484668	4772972
617370	Q99816	NP_579883	2256074	9129635
617371	O14604	Q01844-6	495484	799425
617419	O14641	Q96BN8	400924	4219691
617423	Q9H082	Q08379	1031778	9644677
617431	Q9UHD2	Q16543	1382021	2348958
617435	P42575-3	E9PE50	485355	4222606
617459	O75554	XP_005274357	463371	1218043
617468	Q8IW41	O15264	329232	1780397
617478	XP_005266460	Q14669	3236710	4790412
617480	O60925	Q9P2H0	3854928	9644680
617489	B3KWV4	Q14790-9	4374234	4874921
617491	XP_005271593	XP_005262325	201818	10724593
617531	Q8NFZ0	P40429	2054115	3513543
617545	A8K571	D3DPA4	3030371	3303645
617567	Q9H6F5	P36957	1610215	2972109
617571	B2R6F3	Q99590	1201603	1437454
617619	Q9P287	Q96IP4	3051068	3908522
617651	O75909-2	Q9NP66	2132292	2878965
617668	Q9BY27	Q7Z6G3	2709649	3414094
617688	XP_005274065	Q92878	1886948	5118809
617693	O75051	Q8N3X1	4754488	9441999
617733	Q8IZL8	P06400	2449309	4863907
617749	Q8TAT6	XP_005261333	2138435	4177373
617755	Q9Y6D9	P61244-4	930558	2334209
617842	B1APZ0	Q9HAV0	2659709	2831214
617853	Q9Y6K9	Q15653	961525	2976835
617854	P36406	Q8NFF5-3	4049758	4865099
617870	Q9UKT9	Q9H2S9	373133	5334182
617946	Q92993-2	Q49AJ0	2623348	5316097
617954	Q15796	P62263	1160340	1706607
617966	Q13443	Q9Y5X1	1388712	3767375
617970	P17542	Q13547	2572200	3908752
617978	P27986-2	P06400	3503650	4863907
617998	XP_005257673	XP_005274205	3027803	4629164
618022	Q15834	Q96GM5	1627438	9650725
618029	Q15650	P10276	1873263	2304613
618031	Q9Y5U8	O95166	2277126	3589204
618062	Q92905	Q13485	2080390	3087482
618080	O94813	Q9Y6N7	340330	2899331
618095	Q8TDR0-2	Q9NRI5	2821449	5309392
618098	P84022-4	Q13950-3	506434	1128724
618138	O15105	Q9ULH7-4	73857	5347546
618166	A8K147	P21802-8	2654427	4935615
618170	P40933	Q13261	2231624	2956356
618186	P17097	P18124	3013056	3051557
