a_alias	b_alias
O95897	A3KME0
O00221	Q04864
Q9Y2I6	Q9BRK4
P10244	P78396-3
P18754	P43487
Q08211	P11388
B0LPE5	Q12778
F1D8T1	Q12778
P05556	P15529
Q9Y3Q8	P21673
B0LPF3	O43609
P11142	Q8IZP0
P63096	O43566
P10244	Q92793
Q12967	P32121
Q15796-2	XP_005254510
Q13129	Q92963
Q13573	XP_005253707
P26641	P39748
O15105	O43541
Q9NYH9	Q9BQY4
P23396	Q04206-4
O75182	NP_001207701
Q96CW1-2	P16410-3
Q96CU9	Q01780-2
P35613	Q9NR12
Q15424	P61978
O60232	Q8N5R6-6
Q05397	P04637-8
Q09472	Q13569
P22607	P12034
Q14194	P51114
XP_005258274	Q13424
P14373-2	Q9GZU1
XP_005251639	O95251-2
P17275	P53539-2
P06400	P03070
Q15669	Q9BVJ6
P10515	P11177-2
Q9ULB1-2	O43166
P54756-2	P52803
Q08211	Q00403
P05160	NP_000120
Q13432	Q02363
Q9Y244	E9KL30
Q9UGJ1-2	Q9H668
Q92831	Q9UBC0
Q96EZ8	Q9Y3C0
Q96KM6	O60784
Q8IUQ4	Q9H422
P15172	Q02535
Q9Y2J2	Q9NS73
NP_001191189	P48552
Q92993-2	Q15013-3
P00533	O43639
Q09472	Q9Y6B2
Q12933	P24278
P49674	O00327-9
P06239	Q86WV1-2
Q15038-2	Q13137
I3L2C9	P84077
O00273	Q9UHD4
Q96SN8	P21246
Q16557	P12757-3
B1AK66	O14641
Q99873	Q07666
O95999	P61088
Q96IP4	Q6UWI1
Q9UBU9-2	P35658
P18847	P05412
Q15029-2	O15145
NP_001239004	Q9GZV5
O75947-2	Q7L5D6
XP_005263086	P58546
F8VYA6	Q13838
P12931	A7KAX9-2
Q14194	O60318
Q00653	Q93008
O14530	Q9P2H0
P13497	P49750
F1D8R5	Q15788
P06493	P14635
P61218	P19387
O95257	XP_005249251
Q6FII3	Q15102
P53671-2	Q9H422
Q8IY31-3	A6NLR5
Q9NX47	O95140
Q14749	P36575
Q96S59	P05107
P84090	Q13432-2
Q96FJ2	O14576-3
B7Z3D6	P24385
O43298	Q8TAU3
Q68DB7	D3DPA4
Q9NR55	Q16520
A2RU94	Q9P2H0
P28074-3	E9KL30
Q9UDY2-4	XP_005274553
P61073	P51681
P35968	P08758
P54274-2	Q9NSC2-2
P57738	Q13485
P62136	Q8NI77
Q99748	P07949
P01137	P61812
L7RXH5	P05412
Q99962	Q96B97-2
Q15139	P05412
Q9Y4Y9	Q9UK45
P19174	P42768
Q9Y5J3-2	Q13571
P05109	Q13432
Q14683	Q13315
Q86YB8	P07237
P06400	P51532-5
P11474-2	NP_001230434
Q9NS28	P08754
P11047	Q14112
Q00536	Q04917
P27694	Q9DH70
P49023	Q8TBK5
P13861	P15311
Q07912	P51690
P09848	P27824
P07948-2	Q13432-2
P68431	Q13111
P46100	Q9UER7
Q96MT8	Q8N6Y0
D0PNI1	P55916
O75381	Q96G25-3
Q14686	P61964
XP_005255181	P51812
P12273	B4DT49
Q15648	Q9NVC6
Q9UHF0	O95163
F1D8P8	Q15596
P09488	Q99683
P15408	P17275
A8K031	Q8N6Y0
P36897-3	Q93034
P42224-2	P15260
Q13114	Q15628
P17509	P21673
Q15013-3	Q9P2H0
P78346	Q99575
Q9NYJ8-2	Q12933
A8K401	Q56A76
G5E962	Q05516
Q15561	Q99990
Q969Q1	Q92995
D2JYI1	P14635
Q9P289-2	Q08379
Q9NZ94-2	P78352-3
Q9UKS6	Q9ULH1
Q9UHI6	P62318
Q96CW1-2	P51116
P38936	P30281
O60674	P07948-2
P61968	Q86U70-2
O00213	Q9UI08
Q99653	Q14940
O43809	Q9NZC7-5
P27348	P42345
Q13571	Q92995
Q03135	P51813
P20823	XP_005255181
Q13526	Q12933
Q96GD4	P20936
P17676	Q92922
Q9UHD2	P16333
Q03135	P35354
Q5VSY0	O14964
P42574	P14317
Q96JB5-3	Q549N5
Q15834	O75909-2
P37275-4	P56545-2
Q12923-3	P98172
B1AK66	Q15797
P47736	P55196
Q9Y2I6	Q9BVJ6
XP_005260130	Q6ZVK8
P19525-2	P58753
F2YGU2	P41235-7
A4D2P1	P52565
P51665	Q15008
NP_001120983	Q13363-2
O75530	P25490
Q14669	A5YM72
P35968	P98077
P48023	P06241-3
P98155-2	P02649
P15172	Q09472
P38936	XP_005257673
XP_005275091	P61006
P43034	Q14203-4
Q01844-6	O15162
P26374	P20336
Q96PU5	A5X2V1
Q9NSC5	P21817
O60383	P04183
P08709	P00742
Q92569	P06400
P60900	Q9UNM6
P09619	O43639
Q07960	P27986
Q08170	Q13247
P60953	P23443
P49247	Q8TBB1-2
P38936	N0E4C7
P59780	O14617
Q8IW76	A8K5I0
O43281	B7TZ90
XP_003846672	P63279
P41220	Q9Y2I6
P17612	P16455
Q9BXS5-2	Q96BR9
Q9ULV0	Q9HCM3-4
O15105	Q9Y3F4
Q9H082	Q15276
O00499-9	Q05193-3
Q9BUZ4	P08138
P42261	Q12959
Q09019	P02775
P08620	P22607-3
Q9NRD5	P17252
K7PPA8	O75925
O60861	Q8IZP0
Q9Y3C7	Q9BTY7
P05109	Q14690
Q96J02	O15350-8
XP_005264838	Q59GD5
Q8ND90	O43347
Q7L5D6	Q8NBM4-2
P26641	Q8IYL3
Q13569	P10827
Q9GZM8-2	P43034
P17081	Q9HD26
P21796	P19367
P02462	Q02388
Q92466	Q16531
Q08881	P36897-3
P57735	D3DPA4
P31314-2	B3KUN1
P68036	B7Z2P9
P13612	O60711
O75888-3	Q92956
Q13485	Q2M1K9
P11388	P06400
Q53QZ3	P36897-3
Q99567	P35658
P51572	P10415
P63165	NM_002111
Q15758	Q9HA65
Q14449	P06213
P21796	P51808
Q8ND90	Q96BZ8
Q5W009	P21673
Q06609-4	P54132
D3DQW7	Q8TDM6
P49770	Q14232
Q15654	Q9H5Z6
P98170	Q9Y5V3
XP_005267239	XP_005253508
O95985	NP_057427
P09629	XP_005255181
A4D0Y8	P10909
Q5T5Y3	P12757-5
P13236	A0N0R1
B4DRA0	P05412
Q8TAQ2	P32121
Q13480	Q99759
P05060	Q13724
P15172	P11802
Q92831	Q06330-7
P16234	Q9NRA1
Q969T4	O95628-8
P27986	P06127
O75554	O43172
Q13485	P17275
P08559	Q15120
P29350	P42702
P15531	O15160-2
Q15645-2	Q9GZT8-3
P36873	Q12972
Q13191	O43639
Q12933	O95201
NP_003832	P02647
Q8TCX5-2	A8K0V9
Q15797	Q2M1K9
P84022	O60318
Q9BQ52-4	XP_005250210
NP_000035	P11308
Q16543	Q9Y572
Q12873-2	Q9BXP5-2
O43281	Q8N5H7
P06241-3	NP_057447
O15259-3	O75369
B4DUR3	O75925
P49768-6	P35221
O75676	Q16539
Q8TAP4-4	XP_005270319
Q15654	Q8N2X6
P23327	XP_005266851
P68036	P46934-4
Q9H094	Q01844-6
NP_001191189	Q04206-4
O95352-3	Q658J6
Q99708	P48059
P50542	Q92968
O15511	P61160-2
P43487	P62826
P10809	P05091
Q92558	P00519-2
Q15672	Q92831
B0YJ88	Q92574
Q14678-2	P62136
B2R5T5	XP_005266307
Q13227	Q08379
A8MZ54	Q9BV40
XP_005245305	Q99871
Q14789	P12757-5
Q13547	Q15910-3
P13569	P15311
P10301	P16333
Q96PU8-9	P61978
Q13309	Q9H211
Q9NYS0	P36897
Q12889	O43374-2
Q96HE7	P30101
Q9Y2X7	Q15052
O14732	Q15011-4
P27348	B4DIG0
P49427	Q13309-2
P06493-2	P33552
Q13472	O94762-2
Q58WW2-2	D3DPA4
XP_005274818	P08238
P32927	P07948-2
P04745	O43823
Q03112	XP_005255181
NP_945321	O95166
P17936	P02787
P84022	Q15797
O95793-2	P05388
Q8IYF3-3	Q6ZU52
F1T0H3	Q92793
Q9P1W9	Q9NTM9
Q15596	F1D8T0
O95999	A0M8W4
P60033	Q05516
B7Z240	L7RT18
F1D8P8	Q15648
P25705	P61981
P46109	Q8WV28
P28290	Q9Y383
P38919	P61326
A8K401	Q01094
P18206	E9KL35
O95166	Q14596
XP_005248050	NP_002728
P17980	Q9BRP4
Q9BU20	Q9BT04
Q06787	P51116
E9KL35	Q14644
P98160	P25391
Q9NUQ8	Q9BW71
Q9BYW2	NM_002111
Q9Y2I6	Q6UWE0
Q96Q15	P41743
P46527	Q04917
P10747	P42081
P08651	Q9H0I9
P26641	P29074
Q7Z6G3	B4E0X6
Q9UQB8-5	P40425
Q12933	XP_005256067
A4D214	O43889
