a_alias	b_alias
P62999	P27986
D3GC14	Q16594
P60880-2	Q05193-3
B2R4R0	Q99759
P62330	O60763
Q74YH2	P13591
P26368-2	P46821
P01100	Q96L91
P68133	Q9UNW1
Q9Y3S1	P63279
O96019-2	Q8WUZ0
P05783	P55210-2
Q9UL03-2	Q96HW7
P12532	Q14164
L7RXH5	P23467
Q8IYB5-2	Q9Y5J5
Q00987-11	NP_000517
Q9ULD8	P04578
Q03113	Q8N1W1-3
Q5W0Q7	P52209
O60674	Q12913
Q9BY77	Q09161
Q13093	Q6KNA9
P13598	rogid:muUersNfvI2J4c+zfftpgKm7hr89606
Q9P0W2	Q8CWI1
Q99593	Q08369
Q14164	P30084
Q7L5N1	NP_001156981
O00182	rogid:leZo2uCBsw2Sp2PsYFRs94zrUn89606
Q00987	Q86T65
P29372	rogid:I0Ro3HSRiCuSTSbbiEfjCCZAk/o9606
NP_066289	Q9BRJ6
Q08117	Q81TT4
Q12866	Q13873
Q96FW1	Q9BUQ8
Q9HC29	Q9C000
P39687	P12544
Q15262	P49023
Q9H8N7	Q13547
D9IAI1	P30480
Q99741	Q13535
O75882	Q81LA9
Q6PI48	Q13155
Q8N2S1	Q8Z9U2
Q71DI3	Q8NEZ4
Q13283	P21605
Q13064	B4DIZ2
Q9Y4A5	P03255
Q9BUJ2-3	NP_001157206
Q9HBH9	Q8CZY7
Q8IXJ6-2	P68431
Q14680	Q9NWV8
Q9HAW0	P24390
P01106	O95782
Q9Y4K3	Q01220
Q99683	Q8TDY2-2
P34932	Q9UBS4
P29350-3	XP_005277101
Q15669	P52565
Q9H5J0	Q9UJU2-4
P25963	P62837
Q8GH87	P13688
P63032	Q13485
Q13393	P51812
O43741	P13807-2
Q92830	P03255
Q6PID8	Q9Y371-2
P01100	P07197
Q6FI81	Q12181
Q96RU3	Q9BXW4
H6UYS5	Q9MD68
Q96BK8	Q12789
P11836	P19784
Q86YJ5	P31016
P07225	P20851-2
P01106	P35222
NP_066289	Q9Y6Q9-5
P38159	Q8IYB3
P68431	Q8WXI9
P16591	P12830
O43255	Q9Y6X2
P40818	Q96FZ7
P00734	rogid:C915XL2Ljo1/oGipGwDXbC+471E9606
XP_005267280	Q9BUE0
Q5JY77	P55085
P63173	P30480
Q9P2R6	Q8N653
Q9HC52	P49450
Q02790	Q81K97
NP_066289	B4DK08
P37231-3	Q9UBE8
P26022	NP_000177
Q02539	Q15022
Q8TF42	O60674
Q9GZN1	Q15365
Q1K9I7	Q14258
O60739	P61923
Q14134	Q16533
P26641	Q8CZP1
P19838	Q8ZCV9
P62826	P03255
A2ABF8	Q6R327
complex:+A+3TRU6cwsb8Wc98SIW3prXIQo	Q8VGC3
complex:+A+3TRU6cwsb8Wc98SIW3prXIQo	Q13936
P06748-2	P27986
Q9HD26	P05412
Q03173	Q9P2A4
O43670	Q8ZII0
P01375	XP_005273549
Q96KB5	P02686
NP_001272915	F1D8P4
P61024	O00233
Q9BQA1	P83369
P49841	P23150
P34903	P27986
P39023	O00141
B1ANK7	Q9Y478
P01106	Q14203
O43516	Q5TZC3
Q8TDR0	Q9UNH7
P09429	B2R4P9
Q9P0W5	P05455
A8K0U5	P49913
P84022-4	XP_005246062
P13984	Q9Y5B0-2
P02511	P24385
Q9UK53-5	B0QZ35
Q9BYQ3	Q9NYV4
Q9NP74	Q81KT8
P27348	Q51451
P27986	Q9Y5X2
Q96PU8-6	Q9UHV7
P0C762	Q12933
P78329	P16333
P50616	P22626
O43752	Q15836
P26583	Q03052
Q4FJL1	P36897
P00558	XP_005246706
Q92922	Q969G3
Q13451	O60346
O00483	Q15714
P06730	O08605
Q14155	P41227
Q96S94-2	P21127-5
P15498	P17947
Q15796-2	Q9DC04-6
Q9ULU8-2	P14416-2
Q9UFF9	P25655
Q04637	P11171
Q15554-3	Q15365
L7RT34	E9KL36
Q9GZM7	Q0WEG0
P51480-2	P06748-2
Q92945	O75815
