a_alias	b_alias
VDAC1	HK1
COL4A1	COL7A1
DDB2	DDB1
ITGA4	LPXN
SMAD4	ZNF423
TOP2A	RB1
NUP88	NUP214
BCAP31	BCL2
SUMO1	HTT
SLC1A5	TBC1D17
GRB14	INSR
VDAC1	DYNLT3
PNMA1	LENG1
EIF2B2	EIF2B1
TRIP6	FAM124B
XIAP	MAGED1
SMARCC2	ARRB2
GAB1	MAP3K3
CHGB	MOGS
MYOD1	CDK4
PDGFRA	PDGFC
PIK3R1	CD5
WBP4	PRPF4
SMAD4	JUNB
PDHA1	PDK3
PTPN6	LIFR
PPP1CC	PPP1R8
CBLB	NCK2
TRAF2	ZNF205
SMAD1	ZNF423
SMAD3	MCM3AP
CDC37	RIPK3
EFS	SH2D3C
RPS6KA4	MAPK14
TRIP6	EXOC3-AS1
RBBP8	LIMS1
PEX5	PEX13
RANBP1	RAN
HSPD1	ALDH2
TWIST1	KAT2B
GPS2	GOLGA2
CFTR	EZR
RRAS	NCK1
SKP2	CDT1
NKIRAS1	TGFBR1
ERO1A	PDIA3
GIT1	ARHGEF6
AMY1C	AKAP8
IGFBP3	TF
SMAD3	SMAD1
PIM2	CUTC
CD81	ZBTB16
ATP5A1	YWHAG
CRKL	BLNK
SSFA2	LUC7L2
EIF4A3	MAGOH
GABARAP	NBR1
PSMC3	PAAF1
RSG1	FUZ
FMR1	FXR2
HSPG2	LAMA1
ABCF3	HIRIP3
SETD2	HTT
NINL	LRSAM1
SMG1	PRKCI
CDKN1B	YWHAH
CD28	CD86
NFIC	TKTL2
EEF1G	PTPN4
RNF123	UBAC1
BMPR1B	RAB6B
PSMD7	PSMC1
CDK1	MYT1
CHFR	GABBR1
ZDHHC6	GOT2
TRAF4	ZNF512B
FEN1	ARHGDIA
COL17A1	ITGB4
MITF	PAX6
TNFRSF21	TRADD
PSMA3	PSMA2
IL10RB	IL10RA
SRSF4	HAP1
NPDC1	HNRNPK
RBM23	POLA2
DPPA2	SETD5
CCDC85B	LNX1
HMGB1	NCAN
SET	HIST3H3
COPS6	EDN1
TFDP1	RB1
CCT3	HNRNPA0
ALK	PTN
KNTC1	ZW10
EIF3J	EIF3K
LASP1	PLSCR1
SERF2	RHOXF2
CHMP4B	STAMBP
ZFYVE9	ANKLE2
AGR2	CCDC90B
RBBP9	RB1
BATF3	CEBPB
RPA2	ORC2
GABARAPL2	ATG4B
KRT19	HGS
EFEMP2	LINGO1
SRC	BMX
CCDC85B	TCEANC
MYF5	ID2
DHX9	KHDRBS1
PXN	MVP
STAT1	GTF2I
PSMC5	TNNT1
SIAH2	UBE2I
PSEN1	GFAP
CALCOCO2	CCDC33
TSG101	HGS
CDH5	PTPN11
PLEKHM2	SLC39A1
EGFR	GRB10
CD38	FCGR3A
PLEKHF1	TNNT1
SMAD7	RNF111
SMAD4	PLK4
ERBB2	EGFR
MAP3K8	REL
RUVBL2	DPCD
PAFAH1B1	KARS
MED20	MED29
MYCBP2	MYC
CBL	SLA2
SOS1	EPS8
CCDC53	PTN
IGFBP5	IGFALS
PSMC6	PSMC5
KCTD13	LNX1
CDKN1B	UBB
NDUFB9	HAP1
RUSC2	DLST
VTI1B	GOLGB1
DTX1	ITCH
FOSL1	DDIT3
BMPR1B	LZTR1
EFNA4	EPHA4
FADD	XPO5
TOMM20	APOA1
PDE6D	RHEB
AQP1	KCTD17
MSH4	MLH1
HSPE1	SAT1
ARPC1A	ARPC2
RBM8A	MAGOHB
MATN1	ITGA1
CBX8	RNF2
MRPS6	CEP126
NAP1L5	CEP126
FKBP5	MAP3K7
ICAM1	EZR
COPS6	SMN2
PFN2	WDR33
ZKSCAN7	ZSCAN32
HMGA1	RNF4
SMAD4	PIAS1
IRAK1	IRF7
PSMC2	PSMC1
PTPN6	SYK
NFKB1	NFKBIA
TAF9	TAF6
CNOT7	TOB2
PLK1	CCNB1
BLOC1S6	EXOC8
GORASP1	TGFA
TLE1	HES1
MCM7	NFKBIA
SH3GL2	ATXN2
ABCB8	SAT1
YWHAB	MPRIP
DUSP1	MAPK1
ZNF594	GOLGA2
EXOC8	KRT20
CD2AP	CBL
PLRG1	CDC5L
CALCOCO2	FAM107A
SH3GL3	DPYSL4
USP11	RELB
ABCD1	PEX19
RINT1	ZW10
IKBKG	TNIP2
DPPA2	DPPA4
ITGB7	ITGAE
EMD	YTHDC1
RASD2	TGFBR1
VTA1	SSSCA1
COL7A1	THBS1
DVL2	ZBTB8A
WDR33	KAT7
SIAH2	SYP
USHBP1	IL16
TP73	CHD3
EP300	CREBBP
MAP2K7	MAP3K12
COPG1	COPG2
TAF4	HTT
FOSB	DDIT3
COL8A1	KLHL12
KIF3B	KIF3A
TOM1L1	PWP2
MYBL2	EP300
PHYH	TOM1L1
COL14A1	CD44
ADRB2	SLC9A3R1
HNRNPA1	RPL21
PPIA	PRSS23
KLF11	MAPK1
HSPB3	FAM127B
KISS1R	KISS1
IGF1R	IRS1
PTPN6	BCR
RGR	KIF1BP
ZFYVE9	CTNNB1
EGFR	CTNNB1
VPS37A	TSG101
KRT19	KRT15
ABL1	RFX1
NIFK	MKI67
LCK	CD48
CDK4	VTA1
PPP2R1B	PPP2R5E
DR1	TBP
PRUNE1	NME1
SMAD2	PAPOLA
TIRAP	BTK
CHUK	MYH14
CBX4	RB1
BATF	CEBPB
SMAD2	SMAD9
PRSS23	RECQL4
RELA	NOTCH1
CDC25A	CCNB1
ATF2	HMGA1
RNF11	UBB
GIPC2	PTN
EED	AEBP2
KATNB1	TGFBR1
RB1	BAG1
CPSF7	NCK2
SSTR2	SHANK1
FGFR3	FGF1
MVD	HSPA9
BEGAIN	HGS
FADD	CASP8AP2
APOD	APOA2
PSMF1	RHOXF2
HOXA9	PBX2
PCNA	CDC6
NCOR1	HDAC3
OGDH	DLST
CNTFR	CNTF
PXN	DBT
CHMP4B	UBE2I
PMP22	PEX19
FLT4	SHC1
CRKL	KIT
GLG1	SELE
PBK	ARAF
COX5A	COPS6
INVS	HIF1AN
HDAC1	BCL3
SMAD1	SMARCE1
RSRC1	UTP14A
E2F1	RB1
ADORA1	DRD1
NFKBIB	REL
IKBKAP	SDHAF2
BATF3	JUN
BCL2L1	RTN1
CDKN1A	PIM1
SMURF2	IRF3
IGSF21	CRCT1
SOCS3	PIN1
ASCC2	RPA1
STRN4	PBDC1
SND1	PIM1
MBD6	DUSP12
APLP1	ZNF24
BARD1	CSTF1
CGGBP1	SUV39H2
EIF4E	EIF4G3
MDFI	ZNF136
FGB	NID1
PPA1	HSPB1
EP300	CEBPB
CDKN1A	PARP1
LDLR	PCSK9
SMAD1	PIGQ
SMAD2	SMAD4
BAG6	CDK16
SKP1	FBXL2
EGFR	PAK1
DVL2	BAG3
DAZAP2	BAG3
CDC37	MAP3K7
KAT2B	KLF13
RALYL	FXR2
LDOC1	ZNF408
CNOT7	CDK1
PDCL	GRK2
ERCC6	XPA
FXYD6	CCDC90B
HDAC2	SP3
BGN	ELN
LUC7L2	CEP126
DTNB	CCDC85B
ZMIZ1	CACHD1
EXOSC10	TARDBP
PPP4C	PPP4R4
CCNK	NECAB2
SPARC	COL3A1
ATF4	CEBPB
MAP3K11	IKBKB
MAP3K14	RPS13
P4HB	FEZ1
YWHAE	HDAC5
SPG21	GGA2
IL21R	IL21
PARK2	FBXW7
HDAC4	MEF2D
RBBP4	SP3
SEPHS1	GBP2
UTP14A	PDZK1IP1
SRC	HNF1A
TOP2A	JUN
CLSPN	ATR
PHF10	SETDB1
PRKAR2A	AKAP5
AKAP11	PRKAR2B
SNAP25	VAMP7
POLE3	DR1
EME1	MUS81
PTH	PTH2R
FTL	GADD45A
LAMC1	NID1
UTP3	HAP1
DPPA2	DVL3
AKAP10	PDZK1
RBFOX2	RHOXF2
HDAC1	CTNNB1
CUL1	SKP2
LIN37	TEX11
