SUPT3H	TRRAP
H2AFX	RAD50
CCNH	ERCC2
STX4	STXBP3
HDAC2	ZMYM2
EIF4E	DDX3X
AURKB	CENPA
PSMA2	PSMA5
FZR1	ANAPC2
STAT6	NCOA1
NUTF2	NUP62
TCEB3	CUL5
COL5A3	COL1A2
MAPK13	MBP
SMURF1	TGFBR1
STK24	STRN
PSMB5	PSMC5
PSMA2	PSMB1
NXF1	RAN
UBE2N	STUB1
FHL5	CREM
POU2AF1	SLC22A1
CFH	CFI
ASPSCR1	VCP
WDTC1	DDB1
FAAP100	FANCA
RFX2	RFX1
IL1R1	IL1A
CUL2	NEDD8
VCP	ANKZF1
SNRPD3	CLNS1A
PIP5K1A	ARF1
PIAS2	MYC
SIN3A	RBBP7
DOK1	TEC
CD3E	CD247
HAND1	HAND2
USP14	PSMD13
PSMB4	PSMC5
NMUR2	NMU
SMC4	MYC
PSMA6	PSMB3
AKAP11	GSK3B
STAT3	TSLP
BTRC	SNAI1
ACTR8	RUVBL2
CSNK1E	MCC
MVB12A	CD2AP
VCPIP1	VCP
DCTN1	ACTR1A
SHOC2	NRAS
MED1	MED23
CD47	SIRPA
MYC	SMARCC1
TRRAP	DMAP1
HIST1H1A	CCNA1
CALCRL	RAMP2
UBE2L3	UBA1
ADRA2A	GNAO1
VPS4B	PDCD6IP
PSMA3	PSMB1
RASSF6	STK3
MED1	MED16
NCOR1	HDAC5
USP14	PSMC6
CDC37	STK11
TRAF6	PSMA1
MBD3	DNMT1
IL20	IL20RB
YWHAQ	HDAC4
LRR1	CUL2
EP300	HDAC6
PHC1	RNF2
RIN1	YWHAB
HIC1	CTBP2
FBXO31	CUL1
NUP107	SEC13
TUBA4A	MYC
PSMA3	PSMC3
DPP4	CXCL12
TCEB1	SPSB1
COPG2	COPB2
PSMA2	PSMC1
TCEB1	ASB8
PSMA6	PSMB2
UBE2N	RNF8
PSMA2	PSMD13
ACIN1	YWHAG
DTL	DDB1
DLL4	NOTCH1
VHL	RBX1
MYC	PRPF6
COPS7A	COPS2
ARHGEF7	SCRIB
TRIM25	UBE2D2
PEF1	ALG2
ACTR3	WASF2
BRCA1	NCOA2
WDR61	CTR9
RPS14	RPS3
FANCM	FAAP24
LSM4	LSM2
HHIP	DHH
GABARAP	SQSTM1
PCNA	POLA1
SMARCC1	SIN3A
GNG5	GNB2
HIST1H3A	SETD7
PAF1	CTR9
CAMKK2	CAMK4
LSM4	LSM6
GTF2H1	CDK7
CCNC	MED10
PML	UBE2I
PDS5B	SMC3
POLR3A	POLR2H
MMP9	PZP
ERCC6	POLR2A
PRPF8	PRPF6
CASP8	TNFSF10
MED10	MED6
KEAP1	CUL3
SMARCA2	SMARCC1
H2AFX	SSRP1
ARHGEF7	NCK1
MDM2	NCL
TCF3	HAND1
CDH1	CDC27
WWP1	SMAD1
PSMA3	PSMB4
SIAH1	BAG1
CLTC	OCRL
SMC4	NCAPD2
RPA1	ATRIP
ACTR2	WASF1
TRIM32	UBE2N
HLA-E	CALR
RPS20	RPS2
ERBB4	ERBB3
CDK8	MED16
CUL2	RBX1
EIF3H	EIF3M
TNFRSF8	TRAF5
AP3B1	AP3S1
UCHL5	PSMD2
PALB2	BRCA1
IARS	MARS
THOC1	THOC2
POLR3H	POLR3B
EIF2B5	EIF2B3
ACTC1	GC
GSK3A	AXIN1
MARCKS	PRKCB
NUP107	SEH1L
MED26	MED12
HIST3H3	SETD7
ATG12	ATG16L1
RBL2	CDK2
MED17	CDK8
HDAC1	SUDS3
ASB1	CUL5
PTPN6	PTPRC
NCAPH	NCAPG
SART1	SUMO1
BRCA1	H2AFX
USP14	PSMD4
PSMC1	PSMD14
ASAP2	ARF1
CAPZA1	CAPZB
SNAI1	KDM1A
RPS9	RPS3
UBE2D1	TRIM17
LCK	CD247
HDAC1	NRIP1
KCNJ4	CASK
RBL2	LIN54
EP300	SOX9
POLH	POLI
RPL23A	RPL19
GNAQ	PTGIR
CDK9	RB1
TNRC6A	AGO4
PARP1	SUMO1
SRC	CDH1
PSMB3	PSMA5
TRPC4AP	DDB1
FASLG	PSTPIP1
GNG10	GNB2
TCF4	TCF3
STAT1	MCM3
PSMB1	PSMA5
SNRNP200	PRPF6
ROCK1	LIMK1
TAF13	TAF9
PALB2	MORF4L1
GOSR2	STX5
EIF2B2	EIF2B3
APAF1	XIAP
CKS1B	CDKN1B
SPTAN1	PLEC
TAF6	TBP
PMAIP1	BCL2L1
FER	STAT3
ITGAM	FGG
INCENP	AURKA
CCT3	TCP1
RNF4	UBE2D3
MMP9	CXCL8
ITGB1BP2	ITGB1
STXBP2	STX2
NCOA1	FOS
FAF2	VCP
CSNK1E	PER2
MOB1B	LATS1
IRS2	PLCG1
LBR	SRPK1
PIGT	GPAA1
SSTR2	SHANK2
EPHB2	PICK1
PAAF1	PSMC5
BCL6	SIN3A
PSMB10	PSMA1
FYN	MAPT
BMI1	CBX4
TAF10	TAF3
SUMO1	SATB1
EIF3B	EIF3H
PARP1	XRCC5
PROC	PROS1
CDC42BPA	CDC42
LATS1	STK3
TEAD1	MEF2A
MYC	HDAC2
TNFRSF13B	TRAF5
POLR3A	POLR3H
PSMD12	PSMC5
CRKL	TGFB1I1
IKBKE	IKBKB
MYB	SUMO1
HDAC2	CHD3
CXCL11	DPP4
MDH2	CS
PROS1	F10
ALK	PLCG1
RXFP1	RLN3
PFN1	WASL
BMP4	NOG
RPS2	RPS5
NR0B2	RARA
SMC1A	STAG1
GNG3	GNB2
GSK3A	PRKCG
NFKB1	HMGA1
PIAS4	SMAD4
PSMB5	PSMC3
MARK3	YWHAB
RPS25	RPS17
PSMD11	PSMC6
PSMD4	UCHL5
RPL23A	RPLP0
VAMP3	STX3
RNF4	UBE2D2
THOC1	ALYREF
PSMB3	PSMA1
KAT5	ING3
PSMC2	PSMD14
USP22	TRRAP
RBBP4	CHAF1A
PSEN1	TRAF6
ZKSCAN7	TCEANC
SNX9	SNX33
PSMB2	PSMA4
MED18	MED31
HSPA8	HNRNPD
STX5	GOSR1
QARS	AIMP2
SRSF2	SREK1
SMARCA2	POLR2A
UBE2D3	TRAF6
AXIN2	GSK3B
SNRPD2	CLNS1A
CUL1	DCUN1D1
SIRT1	BRINP1
STAT5A	BTK
TRIM6	TRIM5
SMC3	STAG1
INO80E	UCHL5
KPNA2	RAG1
PTPRF	INSR
TUBA1A	HDAC6
SLC3A2	SLC7A11
LATS1	HTRA2
PRKDC	ILF3
BAD	SNCA
XIAP	UBE2D3
KLC1	KIF5A
ARPC5L	ARPC3
VBP1	PFDN5
MBD3	RBBP7
PPP4R3A	PPP4C
PSMD11	PSMD7
TOMM20	PINK1
NCOA1	PGR
BMPR1B	BMP6
IRS1	JAK2
SF3A2	SF3B3
RASSF5	STK3
MYC	CCNT1
CBL	ITSN1
RUVBL2	MYC
HDAC1	PHF21A
TCEB1	SPSB2
SUZ12	EZH1
EP300	MEF2D
FBXW5	CUL4A
PTPN6	KDR
ARID1A	SMARCA2
ING3	DMAP1
KCNJ8	ABCC9
VPS35	VPS26A
IFNAR1	MAPK1
CCT3	VHL
PARK2	DNAJA1
NCOA1	KAT2B
RALA	PLD1
AR	MYBBP1A
OS9	SEL1L
PSMD12	PSMD11
SFPQ	TCERG1
PSMD4	PSMD7
HDAC4	SFN
TOPBP1	BRCA1
VHL	PRKCZ
ERCC3	CDK7
PKN2	MAP3K2
USP9X	MCL1
SKAP2	FYN
CCNK	CDK2
PSMD10	PSMD14
BRCC3	UIMC1
PSMB6	PSMA7
PIK3R2	PIK3CA
FASLG	CASP8
FADD	RIPK3
CCT7	CCT6A
BYSL	PNO1
ACTN2	ACTN4
PSMD14	PSMC5
PLCG2	BTK
RNF2	UBE2D2
RPA1	TP53BP1
PSMB2	PSMA5
TJP1	CTTN
RING1	PCGF2
AFF4	MLLT3
NAPA	VAMP2
RPL35	RPL23A
STX3	STXBP1
COL2A1	FN1
SF3B1	SF3A2
STAT5B	JAK2
TRAF6	MAP3K11
ARAF	YWHAE
MID1	UBE2D2
PSMD12	USP14
EIF3F	EIF3K
BRCA2	KAT2B
RPS11	RPL23A
TNF	TRAF2
ARHGAP32	CDC42
POLR3C	POLR3F
NPR3	NPPB
GNB2	GNG12
SART3	PRPF3
PSMD11	PSMA2
HDAC7	MEF2C
CKMT1A	VDAC1
SERPINB13	CTSL
CAMK2G	STAT1
HIST1H3A	RBBP7
NTRK3	MAPK1
PPP4C	TIPRL
FEM1B	CUL2
PSMB4	PSMA1
RPS2	RPS15
PCNA	KIAA0101
PLAT	FGA
PSMB6	PSMB3
SMARCA2	SMARCB1
CBX2	BMI1
MAPK8IP1	MAP3K11
NCK1	NCKAP1
RND3	PLXNB1
BORA	PLK1
CDC73	WDR61
BECN1	ZWINT
TLN1	ITGB2
POU2AF1	SIAH1
FYN	DLG4
AURKB	CDCA8
NFE2L2	CREBBP
PSMB5	PSMA6
CDT1	CDK2
TMED10	TMED9
NPM1	HIST1H3A
VHL	HNRNPA2B1
PAFAH1B1	NUDC
KDR	NRP1
PCNA	POLI
TRAF1	TICAM1
PRDX1	EGFR
CSNK1A1	CTNNB1
LSM3	LSM4
CDC42EP5	CDC42
KPNB1	PTHLH
RUVBL1	IKBKE
PSMD8	PSMC1
RUVBL2	YY1
ATF1	CREB1
PSMD4	PSMD1
MED6	MED25
KDR	CBL
GNAI1	RGS19
CHRNB4	CHRNA3
AP1M1	AP1M2
ARHGEF7	CBL
CYTH1	ARF1
RARA	TRIM24
ITGB1	CD81
IL2RG	IL15RA
PSMC6	PSMD14
KPNB1	RANBP2
CCT3	CCT2
RIPK1	HSP90AB1
NCAPG	SMC2
UBE2D3	RNF2
RPS20	RPS3
CTSB	CST7
PSMB6	PSMB5
CD19	LYN
FYN	GRIN2A
CTSS	CST3
PSMA3	PSMA5
MED10	CDK8
MNAT1	ERCC2
JAK3	CD40
NUMB	LNX2
DRD1	FLNA
PSMA6	PSMB4
ABCA1	SNTA1
LYN	RASA1
RAD18	HLTF
USP7	RNF2
TAF11	TAF12
SUMO1	HSP90AB1
PSMD8	PSMC2
PRMT5	HIST1H3A
PPP6C	PPP6R1
SUMO2	PELP1
ITGA4	FN1
TRAF6	MAP3K3
PSMA5	PSMA1
RPS15	RPS29
VAV1	CBLB
KLF11	SIN3A
NEDD4	POLR2A
RAD23A	PSMC5
THOC1	THOC5
XRCC5	TERT
CCND2	RB1
CD81	CD19
PSMD2	PSMC5
CRKL	EGFR
CTNNA1	CDH3
CCND2	CDK2
NCOA1	JUN
RHOT1	TRAK1
SLX4	ERCC1
PSMB5	PSMA5
KLF16	SIN3A
PRLHR	PRLH
NPPC	NPR2
EIF3B	EIF3K
HSPA4	STUB1
GNG5	GNB1
COPA	COPB1
AIMP1	MARS
TRIM25	DDX58
PSMD12	PSMC2
KLK3	IGFBP3
ROM1	PRPH2
PSMD4	PSMD14
A2M	IL1B
MSH6	MLH1
AP1M1	AP1G1
MAP1LC3A	ATG3
ARPC5	ARPC2
TAF9	TAF4
YWHAQ	KRT18
DNMT3A	CBX5
RAB7A	RAB5A
PRKD1	HDAC5
PSMB5	PSMC2
DDB1	DCAF1
PNN	YWHAG
BMP8B	BMP4
PSMB6	PSMA1
VCP	UBXN4
MCM4	MCM3
USP14	PSMD14
FBXW7	RBX1
NAPA	GOSR1
XIAP	BIRC2
PSMD8	PSMC3
IRF3	DDX58
BIRC3	UBE2D2
KEL	XK
CASQ2	TRDN
TAF9	TAF7
PSMA2	PSMC3
PSMA3	PSMB2
MED14	MED21
RNF40	RNF20
PSMD3	PSMD4
MNAT1	CDK7
MDM2	GNL3
NRIP1	KAT2B
FBXW11	NFKB2
MYBL2	CDK2
PSMC6	PSMC2
NCAPG	NCAPD2
PSMA6	PSMA1
IGBP1	MID2
GNG7	GNB2
SRC	CBLC
NPLOC4	VCP
CDK5RAP3	CDK5R1
PIN1	CDC25C
GNG10	GNB1
NHP2	DKC1
RPS11	RPS2
CREBBP	CDX2
PSMD7	PSMA1
CCT2	CCT6A
FZR1	CDK2
UHRF1	DNMT3A
PSMB10	PSMA2
MSH2	MLH1
POLR2E	POLR1A
MID1	UBE2D3
LCK	FCGR3A
TGFBRAP1	TGFBR1
CD48	CD244
H2AFX	RNF8
RUVBL2	EP400
TCP1	CCT2
EP400	KAT5
EIF3D	EIF3E
ICAM3	CD209
EIF3F	EIF3D
DIABLO	BIRC7
SNRPE	SNRPB
NCOA6	RBBP5
TAF10	TAF7
MED6	CDK8
APP	CTSD
TAF13	TAF5
PSMD4	STUB1
POLR1E	POLR1B
RPS12	RPS5
TNFRSF4	TNFSF4
TERF2IP	RAD50
PROC	F8
HLA-E	KLRC2
RPLP2	RPLP1
CCNE1	E2F1
ARHGAP21	ARF1
CDC27	CDC26
SUPT3H	TAF12
TUBA1A	MYC
SMARCD1	SMARCE1
CRHR2	UCN
NCOR2	SIN3A
VIM	CASP3
BTK	ABL1
PSMB10	PSMB3
COPS7A	COPS4
C5	C2
NCOA6	SRC
CD8B	CD8A
RPS2	RPS14
FYN	VAV1
PRKDC	HIST1H3A
FYN	NPHS1
LPL	APOC2
TCF4	TAL1
PRPF19	PLRG1
BMPR1A	GDF9
F9	F8
RBBP4	HIST1H3A
ADRB2	AKAP12
ADRB2	AKAP12
RPS11	RPS3
GLP1R	GCG
UBE2D1	TRIM25
PSMD8	PSMD11
PSEN2	PSEN1
EIF3E	EIF3K
EXOC3	EXOC4
RHO	GRK1
PSMD8	PSMC5
CAPZA1	CD2AP
CRAT	PEX5
SMAD1	MAPK1
KDM4A	HIST1H3A
DCAF11	DDB1
HMG20B	HDAC1
YWHAQ	YWHAE
DARS	MARS
AP1M1	AP1B1
IFNGR1	JAK2
GEMIN6	SMN1
EIF2B5	EIF2B1
DCTN1	CASP3
SRPK1	YWHAG
CDK3	E2F1
APAF1	BCL2L1
FYN	PDGFRB
CAMK2G	CABP2
ARRB1	MAPK10
ITGB3	ITGA5
PSMD7	PSMC2
UNC13B	DOC2B
LAS1L	PELP1
TRAF3	TNFRSF4
AP2M1	AP1B1
LMNB1	CASP6
PEX14	HDAC1
UBE2W	RNF4
ASAP2	ARF6
TAF9	TBP
ALK	JAK3
CSNK1A1	TNFRSF1B
PLCG1	VIL1
YWHAQ	MPRIP
SLC9A3R2	SGK1
NCOA1	THRA
MSN	ICAM1
TCEB3	TCEB1
GABARAPL2	ATG13
RPA2	CDK1
GRIN2B	FYN
CHFR	UBE2D2
PSMD4	PSMD2
IL7R	JAK3
POLR2B	POLR2A
POLR2A	POLR2B
PRIM2	POLA1
VIM	CASP9
PSMD7	PSMC6
NOD2	ERBIN
TNFRSF13B	TRAF2
PSMD11	PSMC2
PSMA6	PSMC1
CUL1	COPS6
DPP4	CCL11
XRCC6	HIST1H3A
TCEB1	SOCS2
TOPORS	SUMO1
HDAC1	CCND1
RPS20	RPS26
CSE1L	KPNA2
FNBP1	WAS
EIF3C	EIF3F
HDAC3	RB1
PSMA6	PSMD14
PIH1D1	RPAP3
MORF4L1	TRRAP
VAMP7	STX7
BAP1	FOXK1
PSMA2	PSMD7
PIN1	PML
RNF168	UBE2N
DCN	THBS1
CDK9	HSP90AB1
EDA2R	EDA
POLA1	PRIM1
RPA1	ATR
HDAC2	IKZF1
CDK8	MED21
COL8A1	ITGA1
UBA3	NEDD8
IKBKG	MALT1
GTF2A1L	GTF2A2
IKBKE	MYL12A
BRCA1	MRE11A
PSMB6	PSMB1
PSMB5	PSMA7
PSMA7	PSMD6
PSMB6	PSMA3
CASP8	TRADD
WDR5	HIST1H3A
PSMB6	PSMB2
CYBB	NCF2
MED1	MED12
ERBB2	ACPP
TFDP2	E2F2
MED15	CDK8
CCL2	ACKR2
CDC25A	CUL1
PSMB3	PSMB4
SPOP	CUL3
RPS6KA1	ETV1
CDKN1A	SKP2
MYC	ACTL6A
ING2	SIN3A
FYN	SNCA
RNF111	UBE2D3
MED10	MED29
PLAU	PLG
COPZ1	COPA
PSMB4	PSMA4
PSMB9	POMP
ERBB3	PTPN11
GNG3	GNB1
DCN	COL1A1
MET	PTPRJ
NFKBIA	IKBKE
TJP1	GJC1
POLE2	POLE
FYN	TUBA3C
POLR3C	POLR3G
RCN2	TRAF6
CSTB	CTSB
DCAF5	DDB1
STX5	USO1
WDR48	USP1
CTCF	POLR2A
ZBTB32	FANCC
MYBL2	LIN54
MED28	MED9
SKP1	NEDD8
BIRC3	RIPK2
TRIM28	ZNF350
COPB1	COPB2
UBA2	SUMO3
GRIK2	GRIK4
RPS20	RPS23
RPS23	RPS5
PLA2G10	PLA2R1
TNFRSF13B	TRAF6
TAF10	TRRAP
MBD3	GATAD2A
PSMD1	PSMD13
MED9	CDK8
TBL1XR1	HDAC3
COPS7A	GPS1
RPS23	RPS3
S100A4	MYH9
IPO4	ASF1B
MS4A2	LYN
UCHL5	TFPT
PSMB1	PSMB4
ATP6V0A1	ATP6V1B1
MED1	MED24
UBE2N	ZNRF1
C3	ITGAM
DCAF6	DDB1
SRC	IKBKB
GNG11	GNB1
ERBB2	STAT3
RPS5	RPS3
NME2	NME1
NPAT	CDK2
KAT2B	RARA
SUPT3H	TAF9
CCT3	CCT7
MDM2	CSNK1D
CD47	RHAG
HLA-G	CD8A
MED24	CDK8
PAN2	PABPC1
POLR1A	POLR2H
STX1A	STXBP2
RFC3	CHTF18
EPB42	STX12
RNF25	UBE2D2
TRIM17	UBE2D2
SIAH1	UBE2D3
UBE2L3	SMURF2
MBD2	MTA2
USP14	PSMD7
AURKB	HIST1H3A
SRC	FYN
AKT2	HSP90AB1
MYC	KAT5
PROC	F5
CACNA1S	RYR1
UBE2D1	RNF4
SLC2A1	UBE2I
ELP2	ELP3
CDC25C	YWHAB
PSMD12	PSMC1
GOSR2	USO1
ECI2	PEX5
EP300	MYC
NAA15	HYPK
TNR	CNTN1
CLTA	CLTC
TAF9	KAT2A
EP300	CDKN1A
CCNB1	CKS2
MUSK	RAPSN
PARP1	H2AFX
VCP	UBXN1
CELA1	SERPINA3
ZAP70	CBLB
KDR	FLT4
MED15	MED1
PCNA	CDC25C
TAF10	TAF4
HDAC4	YWHAB
CREBBP	KMT2A
SMARCC1	SMARCD1
POLR2I	POLR2A
POLR2A	POLR2I
MED1	RARA
AMFR	HERPUD1
KAT5	TRRAP
DTNA	SNTB1
STAT3	NCOA1
HSPA5	PPIB
APC	CSNK1E
GHRL	GHSR
MED26	MED1
PSMB1	PSMA6
PSMB6	PSMB4
ICAM3	ITGB2
FKBP4	GLMN
PSMA5	PSMB4
GRIN2B	SRC
PSMA2	PSMB4
NOP58	NOP56
ASB2	CUL5
POLR3H	POLR1D
GCLC	GCLM
PSMD12	PSMC6
PSMD7	PSMA7
PPARG	NRIP1
PPARG	NCOA2
NFKBIA	TUBA3C
ALK	IRS1
SF3A2	SNRPA1
GEMIN6	GEMIN2
THOC2	ALYREF
ARHGEF7	YWHAG
GNGT2	GNB1
PIAS1	DNMT3A
RNF4	UBE2D4
MDM2	HNRNPK
EIF3C	EIF3H
SQSTM1	MAP1LC3A
SRC	MST1R
ACTR3	ARPC5
POLE3	POLE
FLT3LG	FLT3
F2	FGA
RPL12	RPS3
GTF2B	POLR2A
RUVBL2	DMAP1
CBL	SPRY1
EIF3L	EIF3H
CD79A	PIGR
DOK3	INPP5D
RBBP4	EED
KLHL12	CUL3
BCL3	RAB9A
LRP2	ALB
HDAC1	IKZF1
MDM2	RPL23
RALA	ARF1
CD93	F12
CELA1	A2M
YWHAG	MDM4
HNF1A	CTNNB1
RPS2	RPS3
CDC6	CDK2
MDM2	RPS7
SERPINA5	FGB
RNF8	UBE2E2
