SUPT3H	TRRAP
TAF1	TAF4
GTF2F2	POLR2A
POLR2A	GTF2F2
AP1B1	ARRB2
MYO7A	MYRIP
PSMG1	PSMG2
LCK	SH2D2A
HOXB6	PKNOX1
MLLT3	CBX8
YWHAG	MARK2
EIF4B	CASP3
VPS26A	VPS29
HDAC2	SAP30
YWHAQ	MARK3
GAB3	GRAP2
SMC3	STAG2
NCOA6	ASH2L
CLTC	CLTB
ITCH	SPG20
RAB5A	RBSN
TERF2	GTF2A2
ITGA4	MADCAM1
TONSL	ASF1B
RPS2	RPS23
SMAD2	TRIM33
UHRF1	DNMT1
RNF2	PCGF1
MYC	GTF2I
FYN	PTPN11
DPP4	CXCL9
SUPT3H	TAF10
EME1	SLX4
F2RL2	JAM2
NOS3	BDKRB2
MAP1A	MAP1B
NCOA1	PPARGC1A
HDAC4	SUMO1
PSMD12	PSMD14
EIF3F	EIF3H
DCAF8	DDB1
MYC	SMARCB1
SPOP	DAXX
FKBP8	PPP3CA
PSMD7	PSMD14
NCAPH	CAPG
CDC42	WASF1
PSMB1	PSMA1
PSMB6	PSMA2
EIF3H	EIF3E
PSMA2	PSMC2
PPP6R2	PPP6C
CBX2	RNF2
NCOR2	PGR
AMOT	NF2
MUC1	GALNT1
CUL1	UBE2M
TRAT1	PIK3R1
NPM1	CENPA
PSMA1	PSMC5
NCOA1	SMARCE1
CDK3	E2F3
CR1	C4A
C4B	CR1
PSMC3	PSMD14
RANBP2	SUMO1
THOC1	THOC3
HSPG2	NID1
CUL1	CCND1
MMP9	CD44
RGS16	GNAO1
PSMA2	PSMB9
EIF2B5	EIF2S2
FANCM	TOP3A
AP2A2	AMPH
COPA	COPG2
STK4	RASSF4
POLR2E	POLR2B
GPS1	COPS6
PSMD6	PSMD1
MLLT1	DOT1L
EXOSC4	EXOSC5
WASL	CTTN
PHC2	CBX8
ITGB3	NID1
PPP2R5A	PPP2R1B
KNL1	BUB1
PSMD11	PSMD14
GTF3C2	GTF3C4
RPL24	RPL23A
PTPN13	NGFR
WDR5	HCFC1
CDC27	ANAPC10
EYA3	SIX4
CPSF6	CSTF2
KCNJ3	KCNJ6
E2F1	CDK2
SF3A2	SF3A3
RMI2	RMI1
GNAI2	GNB1
ADCY5	PRKCA
TOP3A	FANCA
MED1	MED13
EGFR	ZPR1
MYBBP1A	MYB
RPS5	RPS14
HCK	SOS1
PSMA6	PSMB8
SUMO1	JUN
MMP9	TIMP1
HIP1	CLTB
IL1R1	IRAK1
PLSCR1	SHC1
SUMO2	EEF1G
RNF19A	SOD1
NCOR1	SIN3A
COPS5	COPS7B
RIPK1	BIRC3
SELPLG	SELE
GGA2	CLTC
CBLB	PIK3R1
AGO2	TNRC6A
SMARCB1	POLR2A
KMT5A	PCNA
DCN	COL1A2
PARK2	PINK1
PSMC3	PSMC2
SMARCC2	SMARCD1
EP300	SP1
MED26	MED9
PSMD14	PSMA1
FOS	MAPK1
IL12B	IL12RB1
ACTR2	CTTN
CDK8	MED23
PRKCD	IRS1
PSMD3	PSMD13
NEDD4	RPAP3
EP300	GATA2
PSMB2	PSMB8
KARS	MARS
UBE2D1	OTUB1
UBE2D1	TOPORS
PSMC3	PSMC1
PAF1	LEO1
MED9	MED16
PSMD8	PSMD14
SMC6	SMC5
SMAD2	SMARCC1
HIST1H3A	CBX5
TRAF6	NUMBL
PPM1D	H2AFX
SNRPD1	CLNS1A
STK24	STRN4
STXBP2	STX3
COPS6	CUL5
PSMD8	PSMA2
MYC	EP400
PSMC2	PSMA1
ITGA2	COL8A1
CHFR	UBE2D1
ACTR2	ARPC3
RXFP2	RLN2
TNFRSF4	TRAF5
SGO1	PPP2R5D
MCM2	MCM4
PSMB1	PSMA4
OSGEP	TPRKB
MYC	TP73
PSMD3	PSMD6
EIF3F	EIF3E
PSMB6	PSMA6
STK24	SLMAP
EP300	NFYB
PDCD10	STK26
MYOD1	MEF2A
CTSL	CST7
KPNB1	RANBP1
FZD8	LRP6
KNG1	CAPN1
STK4	RASSF2
MED15	SREBF1
GTF3C5	GTF3C2
UPF1	PABPC1
CBL	RAPGEF1
MYC	GSK3B
KAT2A	ATXN7
MYC	HDAC3
RECQL5	POLR2A
IKBKG	SUMO1
TNF	IKBKG
SYK	CD79B
PLCG1	EPOR
CUL1	GPS1
ATF2	JDP2
HDAC2	CIITA
PALB2	RAD51
MAPK8	H2AFX
MYC	HDAC1
PAF1	POLR2A
PAF1	POLR2A
ACIN1	SAP18
DAXX	DNMT1
RNF168	TP53BP1
DCTN4	ACTR1A
UBE4B	UBE2D3
BUB1B	MAD2L1
STRA13	APITD1
DOK1	ABL1
PHC2	SIAH1
AURKA	PLK1
MDM2	RPL26
MAPK8IP1	KLC1
SNRNP70	SRPK2
PTTG1	CDC27
HIST1H3A	KDM1A
ASXL1	RARA
CSNK1E	FAM110A
NEDD4	ARRDC3
ADRB2	ARRDC3
ADRB2	ARRDC3
IKBKG	UBA52
PARK7	SUMO1
IRF3	ISG15
TONSL	MMS22L
PPP1CA	SH3RF2
PXMP2	PEX19
TRIM28	SUMO1
TOR1A	TOR1AIP1
PABPC1	HNRNPK
NSMCE1	NSMCE3
TNRC6C	CNOT1
BAX	XRCC6
EPHA2	CBL
LDHA	LDHB
PDGFRB	STAT1
SMAD3	NEDD4L
EGFR	PTPN2
EP300	FOS
COPS7B	COPS3
EP300	CXCL8
VCP	CUL2
HDAC3	KDM1A
EIF2S1	EIF2AK3
C4B	C4BPA
TRAF6	UBA52
PCGF6	RING1
CBX1	HIST3H3
ACTB	POLR2A
INSR	PTPN2
CDKN1A	CASP3
ODC1	OAZ1
BUB1B	KNL1
EGFR	HSP90AB1
SLC8A1	ANK2
LRRK2	DNM1L
GTF3C1	GTF3C2
SIAH1	PUF60
MDM2	UBE2D2
PPP1CA	PPP1R9A
PARK2	RHOT1
SYK	SLC4A1
ITGB1	FN1
UBXN7	CUL2
VCP	FAF1
HNRNPK	SUMO1
TERF2	H2AFX
SPC24	SPC25
PARP1	SUMO2
SKP1	MYC
NFE2L1	KEAP1
RRP1B	PPP1CA
NPM1	SUMO2
SHARPIN	RBCK1
ASGR1	ASGR2
HSPA8	SGTA
PRKCA	SDC4
BTRC	DEPTOR
BUB3	ZNF207
NAF1	DKC1
HNRNPA1	HNRNPH3
LRRK2	CDC37
HSPA8	HSPA4
RNF31	IKBKG
GGA3	ARF6
EIF3C	EIF3L
FOXP3	NFATC1
TNRC6A	AGO1
UBE2C	ANAPC11
EIF3D	EIF3M
BUB1B	MAD2L1BP
KLHL3	CUL3
HSPA8	LRRK2
SYK	BTK
TNRC6A	AGO3
HNRNPD	PTBP1
LRRK2	MAP2K3
SRSF1	EIF4A3
RAPGEF6	PTPN13
CCP110	NEURL4
BRCA1	SUMO2
TRAF6	UBE2V1
EIF3D	EIF3K
EIF3C	EIF3D
CNN1	TPM3
ITGA6	COL17A1
GTF2H2	GTF2H4
LRP6	GSK3B
GTF2H2	CDK7
IKBKE	TPM3
