SUPT3H	TRRAP
CCNC	MED10
SF3B1	HDAC3
ELAVL1	PRKCA
STAMBPL1	CDC37
EP300	GATA4
GLIS2	U2AF2
PRKDC	TRADD
SNRNP200	PABPC1
MYH9	TNFRSF1B
UBE2E3	RNF11
CAV1	ID1
APEX1	POLB
EN2	FOXA2
ITGB7	EPS8
CYFIP2	ABI3
NFKBIE	C1QBP
PML	UBE2I
LGALS3BP	TRADD
SPARC	TGM2
HDAC2	MBD3L2
CTGF	TGFB2
ITGB1	PDIA3
MYC	DDX20
PDCD6IP	ATN1
SHC1	FCGR1A
CCR6	DEFB103A
C1QBP	IKBKB
EIF3A	BBS1
NUBP1	NUBP2
HABP2	COL4A1
EPRS	IKBKB
DLAT	PDK2
HERC3	UBQLN2
PAWR	SLC5A7
MPP6	EIF3G
EPHA8	EFNA5
CCDC85B	PSMF1
BUB1B	ZWINT
SKI	TUBA1B
MAP3K1	UBE2D2
GRAP2	CSF1R
TRAF3IP1	TAB2
UGGT1	SUSD2
PDS5B	SMC3
ERBB2	SERPINA3
EPHB6	EFNB2
RWDD3	UBE2I
CDK5	MAST1
RYR2	ALB
SNAP25	UNC13B
ELF3	TARS
TNNC1	TNNT1
POLR3A	POLR2H
BRCA1	PIK3R1
CHD1	SSRP1
MED17	POLR2C
TGFB1	DAXX
VPS41	HOOK2
LATS2	MOB1A
RAB25	RAB11FIP5
C1QC	C1QA
KPNB1	IPO8
RPS3	RPS18
RNF126	TRAF6
MMP9	PZP
STRN4	JUN
SCP2	PEX5
SH3GLB1	HTT
IFIT3	LONP1
SGTB	PPIB
ATP6V1B2	ATP6V1D
LEF1	KPNA1
ING4	PPFIA1
KPNB1	TNFRSF1B
KCNJ12	LIN7B
SREBF2	NFYA
ERCC6	POLR2A
EGFR	NUMBL
TF	IGFBP6
IGFBP6	TF
CHRM4	GPRASP1
HIST1H1A	CRP
TRAF3	RRAS2
LGALS3BP	COL5A1
UBE2W	CADPS2
DBF4	MCM3
SH2B2	PDGFRB
PRPF8	PRPF6
ATAD3A	PTP4A3
AR	CTDSP2
TUBG1	TUBA3C
CASP8	TNFSF10
SRCAP	KAT2B
TRIM35	UBE2D3
CD2BP2	PUF60
APBA3	BCR
YY1	FKBP3
MAP3K14	ALPL
NFATC4	MAPK9
MED10	MED6
NUP98	IPO5
EPRS	IKBKE
SHC1	IQGAP1
GATA3	ETS1
AQP1	ADAMTSL4
PTPRH	DOK1
SMAD2	ARHGEF1
VAV1	ZNF655
TRAPPC3	TRAPPC5
TIMELESS	PER1
KEAP1	CUL3
FBL	CD40
FASLG	DMD
RUVBL2	TERT
ZFP36	DCP2
ITGA5	COL1A1
SMARCA2	SMARCC1
AVPR1A	AVP
TRIM21	APC
TRIM46	UBE2U
MEF2D	MAPK14
EIF4A2	RPS29
BOC	CDH2
GATA2	ZBTB16
CCNC	MED6
RPL23A	PINX1
MED14	MED7
SAE1	UBE2I
F2	F5
CSNK2A1	CARD9
USP8	RNF41
NGFR	FSCN1
APOE	LOXL4
SRC	CDH5
DDX20	PNKP
RNF138	UBE2D2
TANK	RARS
VCL	SELE
IVL	SPRR3
PDX1	SLC2A2
CSNK2A2	CSN3
H2AFX	SSRP1
CDK19	EIF3F
PELP1	KDM1A
RCVRN	GRK2
RPA1	DMC1
DHX9	STAU1
NLK	ASGR1
ARHGEF7	NCK1
WRAP73	PSMD2
COPS5	CUL5
CAV1	PDGFRA
GABARAPL1	KBTBD6
APBB1	DIAPH1
FTSJ3	DDX56
MDM2	NCL
PRKACA	APOBEC3G
ZBTB32	GATA2
COL2A1	TNFRSF10A
CPNE4	BCOR
PML	UBE2U
RIPK1	MAP3K8
CHMP4C	USP8
CPNE4	ACTB
TM7SF2	RAP2A
TRIM29	HINT1
TCF3	HAND1
EXOC1	NUF2
VASP	SPTA1
C1QC	C1QB
RIPK3	CCT2
RANBP2	IFT140
BRMS1L	SIN3A
EEF1A2	MAP3K3
SLC3A2	BRF2
UBE2D1	DTX1
PSMD4	KIAA0368
ZBTB32	ZBTB16
CDH1	CDC27
RIPK3	HNRNPH1
MORN2	MPP3
DDX21	RELA
COPS5	YWHAG
LRRC7	SSSCA1
WWP1	SMAD1
DYNLL1	VIM
FBXO32	EIF3F
ARRB2	DDX27
NOTCH2	MYOC
CRCP	POLR3B
HAUS1	MCM10
PSMA3	PSMB4
RPS20	RPS29
MYC	IPO4
HDAC3	EMD
SYNJ2BP	SYNJ2
EIF4EBP1	UBAC1
FUBP1	MYOC
RAB8B	CDH1
CEP63	SPTAN1
TNC	ITGA5
CAV1	PRKCDBP
PLEKHA5	DES
MAP3K14	RARS
TNIK	TRIM2
DNAJC7	DISC1
DBNL	NEURL4
MAP3K1	TUBA3C
DDX39A	CCL14
UBE2D1	TRIM2
NOS3	GCDH
CASP8	RIPK2
NFKB2	RPL11
NCK2	NPHS1
MYT1L	DISC1
SIAH1	BAG1
TNFRSF1A	SLC25A3
GNAI2	F2R
PYGM	PACSIN3
CLTC	OCRL
UBE2W	TRIM17
ICAM2	CD209
NKX2-3	SRF
SMC4	NCAPD2
RPS27	RIPK3
SMAD4	JUND
PCNA	PPIA
UBE2D3	RING1
WIPF1	CTTN
HLA-DQA1	CD74
CUL1	CDK9
NFKB2	RPS3
TOMM34	ATP6V1D
VCL	RAVER1
COPS7B	EIF3E
SIGLEC14	TYROBP
RPA1	ATRIP
GNAQ	HTR2B
SF3A2	HNRNPR
SLC9A3	MAST2
DCC	RPL28
CDC5L	DISC1
TAC3	TACR1
DRD3	EPB41L1
ATP2B4	CASK
NR0B2	GPS2
MAPK9	CASP3
CD2AP	CBLB
TNFRSF1B	CLTC
GNL1	PTP4A1
ACTR2	WASF1
MYO1D	MAP3K1
BOD1L1	VAV2
CSNK2A1	GCH1
DDIT4	CUL4A
PML	THRA
BLMH	MAST1
UBE2I	RNF4
UBE2L6	PJA2
COPS5	MAP3K7
GNG3	GNB4
TRIM32	UBE2N
TRADD	CNTRL
NOS3	EFEMP2
NFKB1	TNFSF11
MAGEA1	SGK1
TLR8	BTK
EFTUD2	CD2BP2
SKP2	CCNT1
RAB3GAP2	PTP4A3
HLA-E	CALR
RPS20	RPS2
PNN	ZCCHC17
ERBB4	ERBB3
CDK8	MED16
OSM	COL4A1
KPNB1	FGFR1
STX1A	TXLNA
CUL2	RBX1
EIF3H	EIF3M
KHK	SNRPB
TNFRSF8	TRAF5
EPHA2	EFNA2
CUL1	ZC3HC1
STAT5A	BRCA2
EIF1B	EIF2S3
NEDD4	GABARAPL1
RPL14	MAP3K14
GTF2I	ZBTB17
PSMB2	RAD23A
MAP3K14	RPL35
TMEM230	TMEM9
MYOC	COL1A2
ATP2A1	IRS1
RPL31	PSTPIP1
CXCL13	FGF2
GAL	GALR2
MAPK14	SRSF5
GAB3	FYN
UBE2E3	RNF150
AP3B1	AP3S1
FASLG	DOCK4
MMP9	COL4A6
CSNK1A1	OCLN
MYSM1	EEF1A1
MKRN3	UBE2D3
POLR2C	DHX15
DST	NFYC
KRT18	MCC
POP7	RPP38
CUTA	NR4A1
SMAD7	COPS5
FUBP1	SNCG
LARS	RARS
TBXA2R	GRK6
TNK2	CSPG4
CCAR2	TRADD
EXOC8	EXOC3
UCHL5	PSMD2
FAT1	HOMER3
CHMP1B	USP54
ZER1	MLH1
POLR3A	POLR3B
SUPT5H	IK
RBL2	TFDP1
PALB2	BRCA1
BIRC3	GSPT1
IARS	MARS
PRMT5	DNMT3A
APOB	LDLR
SFN	KLHDC2
CASP4	NOD2
NR1H4	SMARCD1
C20orf24	TNPO3
HSPA4	TRAF6
MDM2	S100A6
ARHGAP4	MAP3K1
UBE2L3	RBCK1
TNFRSF1B	TUFM
UBE2L6	TRIM27
MAP3K7	RPS3
PTP4A1	ZNF212
APOF	APOA1
RPL7L1	ARRB1
TJP2	SCRIB
FBN1	MFAP5
NPM1	PTBP1
BPIFB3	STAT1
THOC1	THOC2
CHMP1B	USP8
PDS5B	STAG2
TXNL4B	PRPF6
ACIN1	KLHL26
ACIN1	KLHL26
ERCC3	POLR2C
GPR50	MTNR1B
HSPA4	HDAC3
AURKB	DES
EGR1	NFATC1
OGDH	DLAT
POLR3H	POLR3B
MAP3K1	MARS
RPS7	TNPO1
LPP	SHPRH
EIF2B5	EIF2B3
CCT3	COPA
RPS14	RIPK2
SRSF2	SNRNP70
SFN	ARHGAP32
PRPF4	LSM7
RIBC2	ATRIP
FCGR3A	FCGR1A
ACTC1	GC
TUBA1A	NCK1
KCNV2	KCNC1
ACHE	COL4A1
TAB2	CAD
TMED2	GORASP1
RBBP8	TGIF2
NMT1	CABP2
GSK3A	AXIN1
MTNR1A	CALR
RPS20	RPL9
WNK1	YWHAE
SLC9A3R2	ACTN4
E2F6	REEP5
BGN	COL1A2
GABARAPL1	NSMAF
RAD21	AIRE
DDX5	VHL
NFKB2	CAD
RAB11A	PPP2R1B
RUVBL1	DPCD
MARCKS	PRKCB
TRAF2	BEX3
TFEC	TFEB
GRM5	RGS12
NPM1	CTCF
EEF1A1	RRAS
MAGI2	TGFA
NPDC1	CCND3
NTRK3	BEX3
SFN	KLC2
VPS18	HOOK1
VCP	PPM1B
SRC	GUCY2C
NUP107	SEH1L
TRAF4	TRAF6
SLX4	SLX4IP
MED26	MED12
TNFRSF1A	RPL23
TKT	MYOC
RPL8	SUPT5H
PLEKHJ1	PINX1
EYA1	SIX3
HIST3H3	SETD7
GHR	PTPRB
TANK	TUBA3C
CLNK	ERBB2
YWHAQ	CDC25A
PTPN6	IRS4
ZNF148	HDAC3
PTPN6	GHR
CSNK1D	TGFBR1
TRAF2	HSPA5
EPRS	NFKB2
FBL	PASK
ETS1	FOS
WNT1	LRP6
BMPR1B	MAP2K3
SNUPN	KIAA1107
DLG1	DLG3
PDXDC1	PHLDA3
MAP1LC3C	ATG13
RPS27	MAP3K1
IGHG1	IKBKG
ATG12	ATG16L1
NOP56	PPAN
DYNLL1	CA2
CD44	FGF2
MDFI	PTPMT1
LSM5	SMN1
TNFRSF1B	XPO5
RNF4	TBP
SYT4	SYT1
SNRNP70	HNRNPA2B1
PPP1CB	CDC34
HESX1	TLE1
HDAC1	BUB3
RELB	CPSF6
TOMM20	CDC73
RRAD	TPM2
LGALS1	SNRPB
FCGR2B	PTPN11
RBM5	SF3A2
EIF3B	RPS6KB1
IKBKG	XPO7
VCL	ARFGEF1
PPP2R1B	MAP3K3
SCN1B	ANK3
NUP205	PHB2
PHYH	COPS3
BTK	EEF1A2
HBEGF	BAG1
FBL	COPS5
XBP1	CREBZF
TRIM74	TSG101
CREBBP	MTDH
MAGEB2	RPS14
USP7	BMI1
PKD1	PXN
SDCBP	TGFA
AP4E1	ARF1
RBL2	CDK2
MED1	CCNC
HNRNPA2B1	ZMAT3
FHL2	MAPK1
ATP6V1B1	ACTN4
PCED1A	UBE2M
EXOC8	EXOC4
PAFAH1B1	DAB1
AMY1A	CDK2AP1
TIMP3	MMP14
EXOC6	MYO5A
F2RL2	CTSG
PUF60	MOV10
ELF3	ATIC
NUDC	MAP3K3
MED17	CDK8
UPF1	ATM
ERC2	BSN
RAB7A	RABAC1
HDAC1	SUDS3
DLG1	DLG2
DLG1	BEGAIN
ZAP70	PRLR
PCGF6	E2F6
IPO8	AGO3
MAPK10	MCL1
CFTR	BCAP31
PPP2R1B	PARK7
FCGR2B	SHC1
EVPL	KRT10
EVPL	KRT10
COL4A2	FN1
RAB7A	SLC2A4
RAB11FIP4	RAB11A
ASB1	CUL5
TOMM34	DMAP1
SH3D19	CDC42
SNRPF	UQCRC1
COL18A1	THBS1
PSMB6	PSMC1
RBM4B	APC
FHIT	HSPD1
C1QBP	MAP3K3
STYXL1	RPS29
LMO4	NFYC
SFN	ARHGEF5
SETD2	TGFBR1
GRIK2	CTNNB1
BRD7	BRD2
SOS1	EPS8L2
TAF4	SP1
WWP2	CLCN5
ARRB1	MAPK14
PSMD7	RAB1A
BTRC	AURKA
EPB42	SPTAN1
EIF4A2	P4HB
RPL4	TRIM9
PTPN6	PTPRC
RIPK3	SCIN
NCAPH	NCAPG
ILK	GEMIN4
SART1	SUMO1
TUBA4A	TCP1
NEDD4	AMOTL1
TNFSF14	LTB
CSN1S1	STK4
RPL18	RPS16
BLOC1S3	SNAPIN
AP3S2	AP3S1
STK4	RASSF3
BRCA1	H2AFX
ARIH2	UBE2D2
PTPRT	PTPRN
APBB1	SF3B2
CYBA	NOX1
CFD	SERPINF2
TRIM16	E2F1
USP14	PSMD4
SMARCC1	FANCA
ALK	MAP3K3
LRMP	YWHAE
TRAF2	NAP1L1
SF3A2	DHX15
CUL4B	DCUN1D3
PSMC1	PSMD14
IL17RB	TRAF6
LDOC1	SETD5
SNRNP200	SNRPB
TXLNG	MAX
ITGB7	TNS2
ASAP2	ARF1
KHK	CDK5RAP3
SH3GL3	DNM1
LGALS3BP	CD14
MAPK8	APP
DCTN2	DISC1
PEX5	PEX2
ARL5A	TGFBR1
NUP205	MAGED1
SMURF2	TRAF2
PIN1	AP2A1
NCL	MAP3K1
SRSF2	SCAF11
CAPZA1	CAPZB
VPS35	MCC
APBB1	SF3A2
SNAI1	KDM1A
TCN2	PAXIP1
EPS15	ABL1
YWHAQ	PPFIBP1
RUVBL1	RELA
STK24	G3BP2
HSPA8	TRAF1
CROT	PEX5
RPS9	RPS3
UBE2D1	TRIM17
SLC2A4	FAR1
LCK	CD247
IKBKE	CALCOCO2
PSMA1	SH3BP4
MTCH1	PSEN1
OS9	SREBF2
SCN2A	ARHGEF10L
ITGAL	ITGB2
NLRP4	CHUK
RPL8	RPL10
VWF	MAP3K3
PAK4	SFN
RHOBTB3	PLIN3
RPS16	MAGEB2
SSR4	C20orf24
UBE2G2	TRIM3
FLNA	TAB2
HDAC1	NRIP1
CASP4	SMC3
TOR1A	CNIH4
KCNJ4	CASK
CDC5L	PDE4DIP
SMAD2	AXIN1
PCNA	PPP1CC
XIAP	UBE2E2
CTTNBP2NL	STRN
FBL	RELA
SNAP29	STX3
ACTN2	ERBIN
RBL2	LIN54
RAB25	MED31
TRIM68	UBE2U
APOD	LEPR
EP300	SOX9
ZNF212	HBP1
POLH	POLI
CHP1	STK17B
MAP3K7	DNAJA1
CADPS2	UBE2D2
GABARAP	GPHN
SF3B1	SNRPD1
PSMB6	PSMC6
BRCA1	UBE2J1
RNF2	UBE2E2
PTPN11	PAG1
SLC22A4	PDZK1
TFE3	EIF3A
RPL23A	RPL19
GNAQ	PTGIR
AP3B1	ARF6
BRINP1	SMPDL3A
CDK16	YWHAE
CDK9	RB1
BCL3	CREBBP
TNRC6A	AGO4
TYRO3	PROS1
CTNND2	ABL1
PARP1	SUMO1
SIN3A	HBP1
EEF1A1	RAP2A
SRC	CDH1
ASH2L	CDC73
PF4	CXCR3
NXT1	XPO1
PSMB3	PSMA5
BIRC8	UBE2D4
RPL23	TNFRSF1B
CREB1	TOX4
NFKBIA	POM121
SART3	SNRPB
TUBB	CHUK
RGS16	GNAI2
PRKAB1	CBR1
TRPC4AP	DDB1
NFYA	JUN
FASLG	PSTPIP1
PARP2	BUB3
VTI1A	STX16
NR0B2	PPARG
MYD88	IL1RAP
PRKACA	SIK3
GNG10	GNB2
PLEKHA5	MAX
PML	ZMYM2
IPO8	TNFRSF1B
FLNA	TNFRSF1B
TCF4	TCF3
POLR2C	INTS12
CD79B	BLK
FASLG	BAIAP2L1
ASB12	CUL5
SF3A2	BUB3
YWHAQ	CBWD2
KLF6	HDAC3
DERA	PAAF1
PACS1	CLCN7
STAT1	MCM3
RAD18	TSG101
BRDT	VAV2
SOS2	SNX9
PDIA3	LAMB1
XRCC5	COIL
DAZAP2	FAM46B
PSMB1	PSMA5
VCP	SGK1
GRIA1	PRKACA
TNFRSF1B	XPO1
TGM2	RELA
GTF2H1	KIF13A
OLFM1	DISC1
HSPG2	FBLN1
MAST2	TRAF6
HNRNPM	TBK1
PARP9	DTX3L
NOS3	ELAVL3
SNRNP200	PRPF6
MKRN3	UBE2D1
CALR	EPB41
MLH1	NDRG1
RPA2	TUBB2A
ROCK1	LIMK1
RNF186	UBE2D2
PSMB3	PSMD7
UBE2A	RNF20
TAF13	TAF9
SLC25A5	RIPK3
ADRB2	SRC
SRC	ADRB2
DNAAF5	ILK
IRF7	TGFBR1
PALB2	MORF4L1
SPTAN1	SHANK1
MBD5	APC
RAPGEF2	RAP2B
TRIM27	UBE2T
ICAM2	ITGB2
RANBP3	BSG
GOSR2	STX5
LYAR	RPL18A
DYNLL1	ZNF354A
TLR4	CD14
AR	ACTB
SHROOM3	SFN
EIF2B1	STK11
SNRPF	SF3A2
LMNB1	AIRE
RPL3	MAP3K1
PDIA3	PLXNA1
TGOLN2	PPP1R9B
FYN	GRB10
EIF2B2	EIF2B3
TOPORS	SATB1
DGKE	PAICS
GCDH	APOE
ZDHHC17	GAD2
MMP9	COL4A4
PPP1R9B	RIPK3
APAF1	XIAP
MBD2	MBD3L2
APBB1	DDX46
UBE2E3	DZIP3
RNF8	UBE2E1
UBE2W	MARCH3
PSMC1	PSMA1
TEP1	PRKCA
GUCA1B	GUCY2F
TOMM34	PRKAA1
CKS1B	CDKN1B
PTCH2	DHH
TMED10	PSENEN
DST	DISC1
STAT5A	CBL
CASP7	COPS6
CNTN1	L1CAM
GPRASP1	LAMTOR5
KDR	RASA1
F7	F9
SPTAN1	PLEC
KHK	CD2BP2
SP1	NFYC
MAP3K14	RPS24
RUVBL1	YY1
PARP1	NFKB2
AP1M1	AP1S2
PRRC2A	JUN
MGRN1	UBE2I
CHMP2A	NOL4
TRAF3IP1	FRMD4A
SAP18	KIF1BP
SAP18	KIF1BP
TAF6	TBP
CASP4	GSN
MAP3K14	TIMM50
SLC9A3R2	SLC26A3
PMAIP1	BCL2L1
FER	STAT3
PTPN6	DOK1
RHOH	GDI1
ITGAM	FGG
IRF4	PRDM1
SYMPK	CPSF2
GNAZ	DRD5
STK16	SNRK
WWP1	TP53BP2
WIPI2	STRN4
TNFRSF11A	TNFSF11
IKBKG	GCN1
PIK3R1	CD4
U2AF2	GEMIN2
MTHFD1	TRAF6
ITCH	SF1
PKD2L1	TNNI3
RNF111	UBE2I
RHOQ	WASL
ABCD3	MEST
TUBA1A	SNCA
RGS20	GLRX3
INCENP	AURKA
GTF2B	GTF2E1
PRKAR2A	GCH1
RUVBL2	RIPK3
SRSF9	SAFB
RNF43	UBE2D4
WRAP73	EBLN2
PIN1	DDB1
DNM2	FNBP1
PTP4A3	MCM3
STX1A	SLC6A5
CCT3	TCP1
RNF4	UBE2D3
GABARAP	GBAS
TJP1	GJD3
CTGF	ERBB4
CSNK2A1	RNF2
MMP9	CXCL8
GRM7	TUBA3C
SNX17	LRP1
RNF152	UBE2N
IKBKG	SET
RAD51	PFN1
TNFRSF1A	BAG2
KRT18	DSP
CAP1	CFL1
NCOA6	DPY30
ARPC5L	ACTR2
ERBB2	SOS1
GRIN2D	ABL1
MRPL3	MRPL13
USP14	COPS5
MED28	NF2
HSPA6	RIPK2
SSPN	SGCG
NEDD4	CBLB
ITGB1BP2	ITGB1
ARL15	TUBB2A
NCOR2	SIRT1
UTP20	PPP1R26
ARHGEF10L	DRAP1
STXBP2	STX2
BFAR	UBE2D2
DYNLL1	MTA1
RPL27	RELA
SGK1	CD40
CDK1	EEF2K
C3	C2
CTSD	SLC2A4
BGN	COL1A1
RGS2	SCN5A
PYY	NPY1R
JDP2	JUN
NCOA1	FOS
NAXE	APOA1
NMI	RRN3
SIN3A	ARID4B
CEBPA	CDK2
KDELR1	SERINC3
BCR	PTPN11
EXOSC1	EXOC6
CALR	F8
TRIM25	UBE2D4
SF3A2	SF1
XRCC6	PIN1
DLG1	KCNJ6
KAT6A	UBE2U
TRIM65	UBE2U
FAF2	VCP
WBP4	DDX3X
CSNK1E	PER2
RABEPK	PIKFYVE
TRAK2	KCNJ2
EP300	PKM
YWHAH	JUN
MOB1B	LATS1
BARD1	UBE2U
IRS2	PLCG1
UBE2W	BIRC8
CABIN1	AMPH
EED	DDB1
RALBP1	CCNB1
GSK3A	MAP3K11
DDX21	SMNDC1
NME2	HERC5
NCOA3	PSMB9
APP	GFAP
RUVBL1	NEDD4
CCND2	NPDC1
NOS3	IMMT
SDC3	MDK
TANK	PLK1
MAP3K7	IARS
DNMT1	SETD7
LYAR	NPM1
XRCC6	ATP23
APC	LAMA3
PSEN2	DNAJB1
MTNR1A	TMEM33
UBE2E1	LRSAM1
GIPC1	TAGLN
TNFRSF1A	EPPK1
VCL	FXR1
RNF26	UBE2D3
CD93	MSN
LBR	SRPK1
CDC42BPB	CDC42
CD93	COL4A5
FSHR	TOP1
HK2	SLC2A4
PIGT	GPAA1
BNC1	HRK
CALR	ELF3
EBI3	CANX
FAM65B	YWHAG
RUVBL1	CREBBP
GNAI1	IGF1R
CRYBB2	CRYBA1
SEC61B	BCAP31
TBK1	HSPA9
BIN1	AP2A1
HIST2H2AB	HNF1A
HSPA2	TAB2
VIM	AKT2
WRN	H2AFX
GCN1	TNFRSF1B
VCP	MCC
RBM8A	IPO13
CREB1	GTF2F2
SSTR2	SHANK2
EPHB2	PICK1
ITGA4	VCAN
CSNK1E	MCCC1
PAAF1	PSMC5
SIAH1	UBE2N
CCNG2	PTPA
GTF2H1	GTF2H4
BCL6	SIN3A
HCFC1	SETD1A
UBE2D1	RNF103
EIF4G1	EIF5
SOS2	ABL1
PSMB5	PSMD7
BAIAP2	LIN7B
PSMB10	PSMA1
AR	HDAC4
COL1A2	COL1A1
DYNLL1	ACTC1
LARS	NARS
DENND4A	YWHAB
EEF1D	ATG7
SH3BP5	EXOC1
FYN	MAPT
SOX3	PAX6
EEF1D	RIPK3
PSEN2	ECSIT
CTNNB1	PKP2
BMI1	CBX4
MLX	ID3
AURKA	RAB10
IPO7	RPS7
HSF1	DNAJB1
TAF10	TAF3
PRKDC	TNFRSF1B
A2M	CDC42
TRAF2	PFKL
IRF4	SPIB
CBX8	PCGF5
SSR3	C20orf24
RBBP5	CUL4A
NFKB2	TUBB4A
PSMD11	KIAA0368
GARS	NARS
RUVBL2	MAP3K3
ACTR3B	ARPC5
ACTN2	DLG4
RAB3D	CEP55
CASP9	CASP7
POLA1	POLE
NCS1	GRK2
AGR2	MLH1
CPSF3	CDC73
ITGA5	COL18A1
SUMO1	SATB1
IKZF4	SIN3B
PELO	MYO1D
GAS2	CAPN2
ZHX3	ZHX1
PSEN1	EFHD1
SCD	CYB5A
EIF3B	EIF3H
SFN	TSC2
SPTAN1	EXOC1
AFG3L2	TNFRSF1A
MAP2K3	DCTN1
LDOC1	IKZF5
STK16	NAGK
CBX6	PCGF6
AMOT	ARHGAP17
TAB2	TUBA3C
UBE2D1	RNF150
NOLC1	ARRB1
HIST3H3	NAP1L4
CENPF	NDEL1
FKBP10	SLC2A4
SYT4	TFAP2B
PARP1	XRCC5
PROC	PROS1
COL4A2	TGFBI
PSMB3	PSMC5
PIAS2	TOPBP1
MAX	DYNC1H1
CAV1	ERBB2
CDC42BPA	CDC42
RAC2	NOS2
ACTB	PFDN1
SLC25A5	SIRT4
TRIM28	MYC
CASP7	GORASP1
NFE2L1	JUNB
MRC2	NDEL1
CASP8AP2	UBE2I
CPSF1	CDC73
SUV39H1	RBBP7
SRSF2	ZRANB2
MAP3K5	ARRB1
UBE2G2	ZNRF4
SREK1	SNRPD1
RPS16	RPL23A
GNAQ	HTR2A
CDK9	CDC34
MED9	MED13
PRR14	SH3BP4
PAK1	ZBTB18
BYSL	RIOK2
SHARPIN	SHANK1
RAD51	HID1
RIPK1	HSPA9
TLR4	BTK
LATS1	STK3
MYC	MYCBP
ACTN2	KCNA4
TNFRSF1A	ATP2A2
SF3A2	CD2BP2
IKZF4	CTBP1
SMN1	MYBBP1A
TEAD1	MEF2A
FANCL	TGFBR1
SIRT6	RELA
NCKAP5	VAV2
RNF139	UBE2Z
MYC	HDAC2
TNFRSF13B	TRAF5
ATF2	UTF1
KHDRBS1	YTHDC1
POLR3A	POLR3H
PSMD12	PSMC5
TDP2	TNFRSF8
PHLDA3	ZW10
DLG1	SEMA4C
HIST2H3A	GTF3C4
CRKL	TGFB1I1
UPF3B	UPF3A
DDX56	RPL26
IKBKE	IKBKB
SYNJ2	SFN
SRPK3	SREK1
EGLN2	EGLN3
TNFRSF1A	TUBB
HNRNPUL1	NEDD4
DYNLL1	DNMT1
MYB	SUMO1
ARNTL2	EPAS1
CAPZA1	MPG
HNF1A	YWHAB
SNRPD2	LSM1
HDAC2	CHD3
FYN	PTPRA
TUBB2B	RELA
DTX3L	UBE2E2
TUBB	TNFRSF1B
HADHB	NFKB2
S100A9	USF2
GLIS2	GPSM2
MDM2	RYR2
XPO4	RAN
LYAR	RPS3A
RPL23	CDC42
NCOA6	FHOD1
IGF2BP1	GSK3B
WDR5	PASK
SMAD1	RAPSN
ADD2	ADD1
RPS18	CAMK2D
UBE2D3	MARCH3
KCNIP1	KCND1
EXT2	CNTF
EGLN2	EPAS1
CDKN1C	CDK4
TNFRSF1A	ATAD3A
MEGF10	CADPS2
MORF4L2	PITPNA
POLR2E	POLR3A
CTBP1	ELK3
ERBB2	APBB3
GEMIN4	RIPK2
ARRB1	FGR
CXCL11	DPP4
SAP30BP	ZNF408
GZMM	DFFA
IKBKG	FASN
FYN	TRPV4
NAA20	BMPR1B
MDH2	CS
PROS1	F10
LXN	THRAP3
MAD2L2	CDH1
SKP2	YWHAB
NCAN	NCAM1
PRAM1	RNF32
PXN	COL5A2
SDHB	GEM
RPL31	LYAR
AURKB	NSUN2
NMT1	CAPN2
CNKSR2	MOB3B
GTF2H3	ERCC2
KAT2B	NOTCH3
PHC1	RING1
FKBP1A	BMPR1B
ALK	PLCG1
ACOT2	ZNF277
CEBPA	RB1
RPS3	RPS15
LSM4	PRPF4
DVL2	SIRT1
BIRC2	MAP3K14
RPS20	RPL35
MRPL3	RPS15
RXFP1	RLN3
LNX2	UBE2T
PFN1	WASL
RNF115	SSSCA1
TNKS	TNKS2
S100A8	LRRK1
TRAF1	PPIB
ARPC1A	ARPC5L
PAK1	ZNF83
PELP1	HGS
BCL10	TRAF6
NFU1	SH3BP4
TNFRSF1A	TUBB2B
IL2RG	STAT1
RNF165	UBE2D2
RPS16	RPL3
TAF1	CCNA2
PSMD13	KIAA0368
RPL19	RPL9
N6AMT1	TRMT112
ERBB2	SUPT6H
EPAS1	MEF2C
NCOA4	PPARG
PRKCD	YWHAG
SREK1	HNRNPH1
CKS1B	CCND1
DISC1	PCNX4
NDUFS3	NDUFA5
POGZ	VAV2
XIAP	UBE2N
NCOA6	UTY
ARAF	MLH1
MTNR1A	GNB4
CAPZA1	MAP3K3
BIRC8	UBE2N
MAP3K4	FLNB
TERF2	TOP3A
USP8	NBR1
BMP4	NOG
TNFRSF1A	CLTCL1
NCF1	MSN
DDX27	YWHAG
MAP4K3	ITSN2
MAPK6	HSP90B1
EIF1B	RPS9
RPS2	RPS5
TCEA1	LEO1
NR0B2	RARA
PCNT	TUBG1
SMC1A	STAG1
ATF7	CREB5
S100A8	TUBA4A
MON2	TNFRSF1B
ATG2A	GABARAPL1
STX4	TXLNA
BBS1	EPAS1
HSPA4	NR3C2
VCP	IKBKE
PSMA6	PSMC5
GNG3	GNB2
CTSB	USP29
GSK3A	PRKCG
FHL2	ID3
BCR	MAP4K5
CSNK1E	TUFM
STRAP	GSK3B
MYC	HELLS
KRT78	SIRT2
CREB1	ATR
RUVBL2	TAF9
MRPS15	PTCD3
IRS4	PIK3R1
MAP3K5	MAP3K3
CTGF	LRP1
ITGAV	ADAM9
PABPC1	UBA1
PSMC6	TRAF6
HNRNPAB	CNBP
MST1R	EPOR
NFKB1	HMGA1
ARRB2	TCOF1
ABCA1	LIN7B
PIAS4	SMAD4
TFRC	RAB5B
PSMB5	PSMC3
