SUPT3H	TRRAP
SAE1	FKBP4
SNRNP70	NUDT21
URI1	GTF2F2
CREB5	CREB3
TRIP6	SON
FBXW7	NOTCH4
RNF111	AXIN1
TAC4	TACR1
EIF6	OS9
NEK2	CDC27
EIF2AK4	TGFBR1
PSMC3	PSMB1
KIF3C	CDC5L
ITGB1	ACTN4
SLC25A1	TNFRSF1B
BAIAP2	SHANK2
VCL	DIS3L2
NCOA2	CCND3
TBK1	CALCOCO2
PSMD12	PSMD7
MS4A2	FCER1A
GET4	ASNA1
ELOF1	CHMP6
RHOG	VAV2
SYNJ2BP	LRP1
CYP2C8	APOE
NCKAP5	NCK1
CORT	MRGPRX2
PSMA3	PSMB3
RNF26	UBE2D2
GEMIN4	MAP3K1
NFKBIA	RPS6KA1
RPS10	RELB
VEGFA	SEMA3F
RPS6KA1	MXD1
PREX2	TGFBR1
SMN1	POLR2A
SMAD2	GLI3
TSR1	MAP3K14
RBM10	SF3A2
COL12A1	PXN
MYH9	MAP3K3
VHL	NEDD8
SFN	SRSF10
DAZAP1	ITCH
HRAS	ERBIN
LRRC7	CAMK2G
ACTN2	ATXN2
GABARAPL2	EZR
RAC2	CDC42
FASN	MAP3K3
VHL	RPS9
BIN1	MAP4K3
TELO2	ATM
TELO2	ATM
MYD88	TNFRSF13B
CUL1	HNRNPU
AP3B1	SLC30A3
CDK1	PIN1
IGFBP5	SERPINE1
UGGT1	WISP1
MYOD1	CIB2
FASLG	NCKIPSD
RNF166	UBE2D4
KPNB1	IPO5
HABP2	COL4A4
SNTG2	SCN5A
IKBKE	HYOU1
CDAN1	ASF1B
TOM1L1	CLTC
RPS8	RPL12
TUBA1A	CNP
PTPN13	PLEKHA1
TMEM62	APEH
NKX3-1	TOP1
PRIM2	PRIM1
TRAF6	TRAF5
MMP9	BTC
EWSR1	SMNDC1
PF4	FGF2
ATP5A1	ATPAF2
LFNG	NOTCH1
AFF4	CDK9
UNC13B	TOE1
MYC	GEMIN4
APLF	XRCC4
MGRN1	UBE2T
DSP	PKP3
PSMA7	PSMC2
HSPA8	HSPH1
LYAR	RPL3
PSMA7	PSMC6
CYFIP2	TCERG1
STX4	SYT4
MTA1	RBBP7
SMAD4	MEF2A
CUL1	FBXO7
ZAP70	SLAMF6
APBB1	SF3A1
GNA12	S1PR4
PFDN5	PFDN4
TLE4	POU2F2
SOS1	ITSN2
CCNE1	REL
CARD11	CASP8
RALBP1	AP2A2
ARF6	PABPC4
GTF2H1	POLR2A
POLR2A	GTF2H1
DISC1	PDE4B
HNRNPA1	SF3A2
MED28	NEBL
UBE2D1	RNF185
EXOC2	EXOC4
SRSF1	PRPF4B
CAPRIN1	PINX1
PSMD8	PSMD7
UBE2D1	RING1
PSMC3	PSMA1
PARD3B	SFN
TCERG1	EVL
MYC	TAF12
MPP6	DYNLRB1
BRMS1L	SAP30
DISC1	UTRN
IKBKE	KIF11
ID3	ZNF3
TYK2	IRS2
FBXW5	NLK
ITCH	MLANA
RPS2	RPLP0
BMPR1A	SF3B4
LCK	WAS
ACTR3	JUND
GM2A	GPLD1
EIF6	CUL1
MAPKAPK5	MAPK1
RHOA	PDE6D
RB1CC1	CDK19
PRKCDBP	SDPR
ITGB2	ESM1
GSK3B	GYS1
VHL	CNTF
CCR10	CCL21
PIK3R1	LTK
BLMH	UBE2I
ATN1	RHOXF2
APC	LAMA4
ITCH	SMARCC1
RAB3A	CASK
ARRDC3	ITGB4
PLEKHO1	FLNB
ING1	SFN
HNRNPC	TNFRSF1B
CADPS2	UBE2E1
PIN1	TLE3
LARS	MARS
UBE2I	BMI1
OSMR	OSM
EGFR	SH2D1A
EPB41L2	DRD3
GEM	YBEY
CHMP5	GTF3A
LGALS1	CDC42
TUBB	HDAC6
MAP3K14	SSB
PRPF19	CDC5L
KRT34	PLEKHB2
GIGYF2	WBP11
SREK1	SRSF4
BIRC2	RIPK1
RNF115	UBE2D2
CD9	CD59
EIF3B	EIF3E
FBXL18	PLSCR1
WDR26	GID8
BARD1	CSTF2
TUBA4A	MAGED1
NCOR2	STAT5B
PURA	CNBP
UGGT1	TNFRSF14
MMP13	TIMP3
PRKD3	VAMP2
PSMD7	PSMC5
RUFY1	EPHA3
APBB1	ERBB2
CASP8AP2	SREBF2
ID3	ZNF408
ITGB3BP	ACTN2
MAP4K3	COPS5
TUBB4A	MAP3K3
HDLBP	MAGEA6
CYP1B1	SAE1
CA2	SLC4A4
EFTUD2	RELA
ASIC2	ASIC1
TRIM28	IKBKG
IGF1R	CBL
HSPA5	MAP3K3
PDGFRA	PIK3R1
MAP3K7	DARS
PSMA2	PSMD14
RBMX	CNBP
EDF1	TAF1
PTP4A3	KIAA0368
CCDC59	DEDD
IKBKB	IQGAP1
PRPF40A	SF3A3
USP38	VAV2
NCK1	EPHB2
CRKL	PLEKHA1
RGS12	ITGB3
HSPA8	TANK
BIRC6	VAV2
BIRC6	VAV2
FUS	TP63
HSPA1L	NFKB2
KANK2	NCOA1
EIF3L	EIF3F
CCDC33	RHOXF2
ARHGEF10L	NR4A1
EEF1A1	RAD23A
APC	ING5
TUBB	TBK1
LMO7	EMD
SIAH1	TBL1X
SLC25A3	TRADD
SNRNP200	MYC
SKP1	KDM2B
RRP12	CUL1
UBE2L6	RNF19B
ZNF212	RND1
MYC	NUP133
SUPT16H	CTR9
TRIM23	PSMA1
SYNCRIP	STK24
DAPK1	RIPK3
FDXR	FDX1
CASP10	RIPK1
NOMO1	NCLN
SUPT5H	PHYHIP
CTSG	PPBP
CCT2	PPP2R2B
SRRM2	SF3A2
EIF4G3	VAV2
CDH10	CDH6
FOLR1	LYN
SP1	ZBTB16
GRK2	AKAP12
LARS	RELA
PSEN1	APBA1
RAET1G	KLRK1
DST	PAK2
DHX9	MAP3K1
TNFRSF1A	DNAJB12
RPL22	CDC42
SMC4	NCAPH
CHEK2	RAD50
PSMD10	DOK2
PCNA	RECQL5
RNF165	UBE2D3
TMEM132A	HSPA5
ALDOA	MYOC
IKBKG	RPLP0P6
SFPQ	NFKB2
LRP12	NMRK2
BTRC	CASP3
GABARAPL2	NEK9
ID3	RND1
PML	TERT
ACTA1	CNN1
PSMD4	PSMA4
PTGDS	MLH1
MUC1	JUN
ITGB1	ITGA7
ZNF496	NSD1
COPS6	CASP3
PSMC1	PSMC5
TCEB2	CUL5
DBP	CEBPA
LAMP2	UCHL1
MED28	PSTPIP1
