HGNC ID	Approved Symbol	Status	Previous Symbols	Entrez Gene ID	RefSeq IDs
HGNC:23099	NANOGP1	Approved	-	404635.0	-
HGNC:23100	NANOGP2	Approved	-	414131.0	NG_004099
HGNC:23101	NANOGP3	Approved	-	340217.0	NG_004095
HGNC:23102	NANOGP4	Approved	-	414132.0	NG_004100
HGNC:23103	NANOGP5	Approved	-	414133.0	NG_004101
HGNC:23104	NANOGP6	Approved	-	414134.0	NG_004102
HGNC:23105	NANOGP7	Approved	-	414130.0	NG_004098
HGNC:23106	NANOGP8	Approved	-	388112.0	NG_004093
HGNC:23107	NANOGP9	Approved	-	349386.0	NG_004097
HGNC:23108	NANOGP10	Approved	-	349372.0	NG_004096
HGNC:32941	NANOGP11	Approved	-	414135.0	NG_004103
HGNC:23044	NANOS1	Approved	-	340719.0	-
HGNC:23292	NANOS2	Approved	-	339345.0	-
HGNC:22048	NANOS3	Approved	-	342977.0	XM_292819
HGNC:16140	NANP	Approved	C20orf147, HDHD4	140838.0	NM_152667
HGNC:19237	NANS	Approved	-	54187.0	NM_018946
HGNC:7637	NAP1L1	Approved	-	4673.0	NM_139207
HGNC:38004	NAP1L1P1	Approved	-	729561.0	-
HGNC:38005	NAP1L1P2	Approved	-	100128894.0	-
HGNC:38007	NAP1L1P3	Approved	-	100130335.0	-
HGNC:7638	NAP1L2	Approved	-	4674.0	NM_021963
HGNC:7639	NAP1L3	Approved	-	4675.0	NM_004538
HGNC:7640	NAP1L4	Approved	-	4676.0	NM_005969
HGNC:39740	NAP1L4P1	Approved	-	728589.0	-
HGNC:39739	NAP1L4P2	Approved	-	-	-
HGNC:39738	NAP1L4P3	Approved	-	730174.0	-
HGNC:19968	NAP1L5	Approved	-	266812.0	NM_153757
HGNC:31706	NAP1L6	Approved	-	645996.0	NR_027291
HGNC:7641	NAPA	Approved	-	8775.0	NM_003827
HGNC:44118	NAPA-AS1	Approved	-	100505681.0	NR_038452
HGNC:15751	NAPB	Approved	-	63908.0	NM_022080
HGNC:21683	NAPEPLD	Approved	-	222236.0	NM_198990
HGNC:7642	NAPG	Approved	-	8774.0	NM_003826
HGNC:45165	NAPGP1	Approved	-	100288843.0	NG_022185
HGNC:45166	NAPGP2	Approved	-	100422429.0	NG_025807
HGNC:30450	NAPRT	Approved	NAPRT1	93100.0	NM_145201
HGNC:13395	NAPSA	Approved	-	9476.0	NM_004851
HGNC:13396	NAPSB	Approved	-	256236.0	XR_000169
HGNC:29916	NARF	Approved	-	26502.0	NM_031968
HGNC:43651	NARF-IT1	Approved	NARF-OT1	100506001.0	-
HGNC:14179	NARFL	Approved	-	64428.0	NM_022493
HGNC:7643	NARS	Approved	-	4677.0	NM_004539
HGNC:26274	NARS2	Approved	DFNB94	79731.0	NM_024678
HGNC:19933	NARSP1	Approved	NARSP	319127.0	NG_002505
HGNC:50481	NARSP2	Approved	-	100287895.0	-
HGNC:7644	NASP	Approved	-	4678.0	NM_002482
HGNC:29910	NASPP1	Approved	-	282694.0	NG_002431
HGNC:7645	NAT1	Approved	AAC1	9.0	NM_000662
HGNC:7646	NAT2	Approved	AAC2	10.0	NM_000015
HGNC:30252	NAT6	Approved	-	24142.0	NM_012191
HGNC:18069	NAT8	Approved	-	9027.0	NM_003960
HGNC:30235	NAT8B	Approved	-	51471.0	NM_016347
HGNC:26742	NAT8L	Approved	-	339983.0	NM_178557
HGNC:23133	NAT9	Approved	-	26151.0	NM_015654
HGNC:29830	NAT10	Approved	-	55226.0	NM_024662
HGNC:28918	NAT14	Approved	-	57106.0	NM_020378
HGNC:22030	NAT16	Approved	C7orf52	375607.0	NM_198571
HGNC:30770	NATD1	Approved	C17orf103	256302.0	NM_152914
HGNC:15	NATP	Approved	AACP	11.0	-
HGNC:15989	NAV1	Approved	-	89796.0	NM_020443
HGNC:15997	NAV2	Approved	-	89797.0	NM_145117
HGNC:40744	NAV2-AS1	Approved	-	-	-
HGNC:40743	NAV2-AS2	Approved	-	-	-
HGNC:40742	NAV2-AS3	Approved	-	-	-
