rank	cluster	candidates
221	78	FHOD1,BHLHE41,APOBEC3G,IL18BP
222	103	RPS4Y1,HIST1H2BJ,HIST1H2BN,HIST1H2BH,RNF20,TUBE1,YBX2
223	27	TNFRSF17,TARSL2,PELI2,CTAGE5,PSMA3,MEDAG,HIST2H2AA4,PRPSAP1,DUPD1,GCN1,TMEM109,NUDT11,OR10J1,SEC11A,MPG,BPNT1,NAA50,RNF122,GXYLT1
224	28	INSC,AMMECR1L,ARHGAP6,TMEM14C,GPR142,GAS2L2,CTSO,EPHB3,NKD2,RASL11B,ARHGEF16,LNX1,GJD4,MRPS24,ZADH2,CAMK2N2
225	98	CCDC89,C4BPA,FRS3,FOXL1
226	97	TIE1
227	104	GLIPR2,DZIP3,TRABD,TNRC18,GSE1,RALB
228	106	PTBP2,SFI1,C1orf35,GOLGA2,ITPKB,SCEL,ATP6V1C2,FBXO28,UBE2U
229	91	HSD17B11,PCID2,UNC45A,MTFP1,RNF219,BRF2,TTC27,PDXDC2P
230	96	SCG2,PDIK1L,NT5DC3,SEC16A,LIN54,ERICH2
231	82	RAD17,CSTF1,CSTF2,KIN,IL17RB,DCLRE1A
232	84	NEUROD6,PPP2R3A,HOXC6,RFX1
233	87	INTS1,INTS10,INTS5,C7orf26,INTS6L,ZNF687,INIP
234	89	LONP2,CNP,TUBB8,DHRS4,ATAD1,SLC27A2
235	72	SYF2,WNK3,ATG4D,GOLGA3,PANX1,PLA2G4B,TNS4
236	70	PCGF3,PCGF5,MYF5,EIF3M,FBRS,RPL36AL,EFCAB14,CFAP97,PIP4K2B
237	74	HNRNPC,DBNL,EXTL3,NSFL1C,MYL1,HTRA4,RNF10
238	17	FAM122A,XAGE2,ZNF146,GAGE5,NAIF1,C1orf174,TSSC4,ZNF414,VGLL4,LGALSL,ANXA8L1,PCNP,NUDT14,SCRN2,NUDT18,AKR7A3,RBBP9,OCM2,CALML3,HAGH,PNMT,NXNL1,WDR70,YRDC
239	62	TSPAN13,ATP13A1,MFSD5,SYNGR3,C18orf32,STMN3,TMEM147,CEND1
240	57	ATP12A,KBTBD3,PDIA5,FAM83F,DNAJB12,KEL,TM9SF1,POTEI,FAM234A
241	56	BCAN,SSX3,CHMP2A,ZNF263,SOWAHC,MAP7,MIS18BP1,ATG14,FAM135A
242	60	TXK,LRRK1,NELFCD,STAP2,ADGRE5,RHOQ,SH2D2A,RAPGEF1,NXPH3,ZNF658B
243	67	ILDR2,KIAA0930,SHROOM1,PDZD11,NBPF15,CDC42BPG,FAM117B,REEP4,PACS2
244	58	NACA2,APOO,CKS1B,MT-CO2,DHRS1,SEMG1,CDK3,KPRP,CCNJ
