rank	cluster	candidates
247	64	BCAN,MIS18BP1,SOWAHC,MAP7,FAM135A
248	77	SLC22A11,CAPN6,ARHGAP17
249	57	NUDT9,ZBTB1,CWC25,ZNF766,ZNF133,ERICH3,MGEA5,TMEM87A,PIM3
250	56	TSPAN13,ATP13A1,C18orf32,SYNGR3,MFSD5,CEND1
251	44	NCAPD3,NOL9,DHX37
252	38	TCF7,ERMN,AHCTF1,NEURL2,BCCIP,ZBTB33,RBM39,RPL41
253	10	HCN2,ASB16,PCDHA7,SNX12,KIFC2,NPVF,TULP4,WNK2,GPR45,OSBPL5,TMEM74B,NFASC,CHRD
254	23	INSC,EPHB3,AMMECR1L,ARHGAP6,GPR142,GAS2L2,CTSO,NKD2,RASL11B,ARHGEF16,LNX1,GJD4,MRPS24,ZADH2,CAMK2N2
255	43	FAM234A,DNAJB12,PDIA5,ATP12A,KEL,TM9SF1,POTEI,KBTBD3,FAM83F
256	22	MED21,MED20,MED26,ICE1,MED6,MED7,MED9,MED10,MED11,MED13,MED18,ELL2,POLR2F,POLR2L,POLR2I,POLR2K
257	54	ILDR2,KIAA0930,SHROOM1,PDZD11,REEP4,CDC42BPG,FAM117B
258	20	MAP4K5,ISG20L2,EPS15,APOL5,PHACTR2,EFS,GLTSCR1,LRRC3,DUSP15,CKAP5
259	37	ZNF721,LTBP1,TBRG1,IRGQ,FRAT1,TXNDC11,CNTNAP5,IGSF22,ING4,ZNF510,OMA1,DNAJC18
260	3	ISL2,ANP32D,GGPS1,CCDC94,CYP4F11,CGREF1,FOXF2,DMTF1,METTL7B,IFITM2,ABHD2,RAB40A,UBE4B,H2AFV,C22orf46,PID1,CD1E,MYADM,MIIP,EPHB1,MLLT11,KRTAP12-1,ITM2C,LINC01587,KDM3A,CLK4,ALKBH1,HTN3,CRYGA,CITED4,ASH1L,ART4,LPAR3,COLGALT2,CAMK1G,CDH16,CLPS,C1orf21,LRRC29,DYDC2,ANKRD7,CPNE6,C1GALT1,TTLL3,SLN,C1QTNF2
261	29	RBM6,WBSCR22,ANP32E,ATRNL1,ZMYM6,AMY2B,MARK3,TRO,EDF1,CABP1,RRP12,NPIPA1
262	30	KLHL20,RFC5,CRCT1,CCDC106,RIF1,ANKRD24,PCDHA4,PLEKHA4,BRMS1,PSG9
263	18	FRYL,QSOX2,SMCR8,RBMXL3,NOP14,MMS19,WDR41,ARF3,FMNL3,CTU1,DUSP9,NARFL,TYW1,GEMIN8,NUP35,APOBEC3C,ELP6,ELP5,ELP3,MAK16,TOP3B
264	13	NCBP3,EVI5L,DBF4B,TRUB1,CCDC97,DNAJB7,SDR42E1,ADAP1,SNRNP35,ATAT1,HMCES,MCOLN3,TRIM41,NPM2,LRRN4CL,TAF7L,RPL39L,MPP3,ADGRG5,C4orf46,STON1,ZBTB48,OR5A1
265	12	MDN1,UTP4,ZNF318,TEX10,DCAF13,DIEXF,REXO4,MPHOSPH10,GNL2,ZBTB11,RPL29,UTP15,ZNF512,SRSF4,RRS1,RRP7A,UTP14A,TBL3,PWP2,DDX27,PHF3,WDR18,HIVEP1
266	2	FBXO18,TRIM17,STYK1,FBXO10,HIPK4,ASB2,ASB3,GRK7,GRK4,ASB17,HLA-DRB3,KCNS3,KLHL6,FBXL8,FBXL2,FBXO3,ZNF215,MYO3B,ACVR1C,KCNG1,DCLK2,SPSB3,NEK11,TADA2A,FBXL13,ZNF74,FBXL18,KLHL34,CDK11A,KLHL38,HERC4,TNK1,FBXO34,TFDP3,TRIM7,KLHL25,ISX,DYRK4,KCNA6,FBXO9,SKP1,FBXO27,AREL1,KLHL13,SH3RF2,TSSK3,RPS6KL1,GSG2,MYLK4,BBX,DET1,SRPK3,SGK3,SGK2,G2E3,PREB,CXXC1,GTF2IRD2,TRIM73,MAP4K4,LIMK2,KCTD8,C20orf194,PRKY,CDK15,ZC3H7B,FOXD4L6,CAMKV,POGK,THAP4,DMRTA1,PDK1,ZBTB49,PSKH2
267	1	NAP1L4,RBM4B,KRT76,NARS,PRPF39,MTMR9,GPATCH1,KNDC1,EIF3CL,KCTD13,PPP2R2D,KRT24,KLHL8,KLHL9,NTPCR,KCTD10,KCTD18,ENC1,NYAP1,TTC5,RPS27L,RPL9,RPL7,TEFM,LRRC42,GFPT2,GPRASP2,LAMB4,RPL7A,KBTBD2,DDX50,USP43,KBTBD8,BCDIN3D,PDPR,TIMM13,FBXL17,CTNNBL1,RPS3A,KLHL36,HNRNPCL1,RPP25L,RSL1D1,DCUN1D5,KDELC1,MRPS21,FAM103A1,BTBD8,RPL7L1,POLRMT,AGO4,BTBD2,KLHL26,KLHL21,KLHL22,RPLP2,RPLP1,RPLP0,RPL18A,KLHL28,RPS5,AKAP11,MTFR2,RPS9,CLCC1,ZBTB10,RPL8,PHAX,MRPS34,TRMT6,RPL13A,RPL4,RPS27,KLHL12,RPS25,RPS23,TOE1,KLHL18,HIST1H1D,YTHDC2,RPL10A,TMTC2,RPL10L,CMTR1,XAB2,TTC7B,RPS13,RPS12,RPS11,RPS16,AAR2,RPS18,NIFK,MRPS15,RPL30,RBMS2,C20orf196,KLHL15,KCTD2,NOP58,RPL24,RPL27,DDX18,RPL22,LDHD,RBM22,KCTD20,KCTD21,OGFR,RNMT,CBWD2,KBTBD4,GTPBP1,SNRPG,HAP1,RPL38,RPL35,RPL32,FN3KRP,PURB
268	6	OR10G3,MACROD1,ZCCHC14,WBSCR28,TMEM252,GLRX2,GSTA3,RAB2B,OVOL2,SLC35E3,TMEM174,S100A14,ANKRD39,CCDC186,LYZL4,GPR119,DNAJB3,CDK17,TRIAP1,NR2C2AP,TMEM207,URB2,OR2T35,ALDH3B1,PCP2,DPCD,PGM2,OR5T1,NANP,ST6GALNAC4,MDP1,OR8D4,OR8H2,IL36B,AAMDC,YTHDF1,SNN,NETO1,NAP1L5,CMTM1,STARD7,S100G
269	5	SERF1B,RSRP1,MKNK2,CSAG1,SRSF12,C16orf78,KIAA1841,OCEL1,MAPKAPK5,NOL4L,NSMCE4A,DAW1,YPEL3,YPEL2,ZRANB2,SRSF8,CDKL3,CDC42EP3,OR6B3,RIMS4,C11orf52,NOVA1,ZNF514,LARP1,NSRP1,SCAF11,SPAG11B,SPANXN4,FBXO15,DUS1L,POLR2E,FGF12,ARGLU1,C18orf25,C11orf87,SRPK1,ZNF444,YTHDC1,WDR55,MBNL3,DNAJC8,EMILIN1,TAAR8,DDX47,C11orf63,MRPL43,TULP2,C6orf201,ARHGAP12,RBM23,FAM76B,LINC00312
270	4	MRPL24,MRPL27,MRPL23,SLC25A18,MRPL28,MTERF4,MRPS17,MRPS14,MRPS10,DHX30,PYCR2,MRPL48,CHCHD1,MRPL16,MRPL55,UQCRC1,TRUB2,MRPS30,MTG1,MRPL54,MRPL57,MRPL50,MRPL51,MRPL58,MRM3,MRPL14,MRPL15,MRPS9,MRPL17,MRPL4,MRPS2,MRPL38,TMEM177,MRPL2,MRPL1,MRPL42,MRM1,DLST,ALDH1L2,MRPS25,NSUN4,GTPBP10,MRPL41,MRPL40,ISCA1,MRPL46,MRPL45,MRPS27,MALSU1,NOA1
