Gene	Count
NKD2	26
RASL11B	4
ARHGEF16	7
LNX1	12
GJD4	0
MRPS24	0
ZADH2	2
CAMK2N2	2
CCDC89	0
C4BPA	10
FRS3	11
FOXL1	33
TIE1	48
GLIPR2	4
DZIP3	1
TRABD	1
TNRC18	0
GSE1	2
RALB	87
PTBP2	14
SFI1	0
C1orf35	1
GOLGA2	2
ITPKB	9
SCEL	9
ATP6V1C2	0
FBXO28	2
UBE2U	0
HSD17B11	3
PCID2	2
UNC45A	6
MTFP1	1
RNF219	0
BRF2	19
TTC27	2
PDXDC2P	0
SCG2	13
PDIK1L	2
NT5DC3	0
SEC16A	4
LIN54	4
ERICH2	0
RAD17	116
CSTF1	1
CSTF2	2
KIN	805
IL17RB	26
DCLRE1A	4
NEUROD6	5
PPP2R3A	7
HOXC6	60
RFX1	27
INTS1	2
INTS10	3
INTS5	0
C7orf26	0
INTS6L	0
ZNF687	2
INIP	0
LONP2	0
CNP	163
TUBB8	0
DHRS4	3
ATAD1	0
SLC27A2	5
SYF2	4
WNK3	4
ATG4D	7
GOLGA3	5
PANX1	36
PLA2G4B	2
TNS4	11
PCGF3	0
PCGF5	0
MYF5	91
EIF3M	3
FBRS	2
RPL36AL	1
EFCAB14	0
CFAP97	0
PIP4K2B	4
HNRNPC	16
DBNL	4
EXTL3	17
NSFL1C	5
MYL1	4
HTRA4	2
RNF10	2
FAM122A	0
XAGE2	1
ZNF146	7
GAGE5	0
NAIF1	6
C1orf174	0
TSSC4	2
ZNF414	0
VGLL4	8
LGALSL	0
ANXA8L1	0
PCNP	12
NUDT14	1
SCRN2	0
NUDT18	1
AKR7A3	11
RBBP9	10
OCM2	0
CALML3	6
HAGH	5
PNMT	59
NXNL1	0
WDR70	0
YRDC	1
TSPAN13	9
ATP13A1	0
MFSD5	1
SYNGR3	2
C18orf32	0
STMN3	11
TMEM147	1
CEND1	3
ATP12A	5
KBTBD3	0
PDIA5	6
FAM83F	1
DNAJB12	2
KEL	49
TM9SF1	2
POTEI	0
FAM234A	0
BCAN	42
SSX3	9
CHMP2A	2
ZNF263	2
SOWAHC	0
MAP7	6
MIS18BP1	2
ATG14	20
FAM135A	0
TXK	8
LRRK1	3
NELFCD	0
STAP2	6
ADGRE5	0
RHOQ	4
SH2D2A	10
RAPGEF1	4
NXPH3	1
ZNF658B	0
ILDR2	0
KIAA0930	0
SHROOM1	1
PDZD11	0
NBPF15	0
CDC42BPG	0
FAM117B	0
REEP4	1
PACS2	7
NACA2	0
APOO	0
CKS1B	88
MT-CO2	9
DHRS1	1
SEMG1	3
CDK3	38
KPRP	0
CCNJ	6
TRMT11	2
FAM122B	0
SUPT6H	4
ZBTB2	4
WDR48	7
ZNF639	6
USP12	11
TARBP1	7
SHQ1	10
GPN3	0
UNC13B	3
POLR2I	0
ASB16	0
KIFC2	0
WDR61	1
TDRD1	14
LRRC3	0
OSBPL5	3
AKAP6	3
HCN2	9
ISG20L2	0
POLR1B	2
TULP4	0
EFS	3098
GCFC2	11
CDC27	58
TMEM74B	0
NFASC	5
MYO1C	3
CD300LB	0
ABL2	54
CSDC2	0
SNX12	1
NPVF	1
PHACTR2	4
CELSR3	12
IL3RA	87
CHRD	3
MAP4K1	9
MAP4K5	5
EPS15	94
PRICKLE3	0
PPFIA3	2
BRPF3	4
APOL5	0
GLTSCR1	7
DUSP15	1
GPR45	0
PCDHA7	0
ARHGAP33	1
CKAP5	23
PHPT1	4
SMARCC2	18
VPS37D	1
VRK3	3
SH2D3A	3
NT5DC2	0
DCTN2	3
ARRDC1	2
MVB12A	0
SOAT2	2
SH3YL1	2
ANXA10	27
OR10G3	0
ZCCHC14	1
PAIP2	17
LAP3	13
WBSCR28	1
TMEM252	0
GLRX2	5
NAP1L5	3
EDC3	2
RAB2B	0
OVOL2	6
CDK17	0
S100G	10
DNAJB4	22
S100A14	35
CCDC186	0
DNAJB3	1
NR2C2AP	5
ANKRD39	0
YTHDF1	3
TMEM207	4
GCM1	12
NANP	4
IL36B	0
OR5T1	0
TMEM174	2
TRIAP1	9
ALDH3B1	4
DPCD	0
RTFDC1	0
LYZL4	0
SSH2	4
PGM2	4
MACROD1	3
URB2	0
ST6GALNAC4	2
MDP1	1
SPIN1	4
OR8D4	0
OR8H2	0
SLC35E3	1
ATG4B	20
SNN	15
AAMDC	0
PCP2	0
GPR119	10
EIF4EBP2	29
NETO1	1
OR2T35	0
DOHH	36
CMTM1	4
STARD7	7
KRT38	0
PPP1R3D	0
SHTN1	0
KMT5B	0
KRT82	1
PFKFB2	13
KRT35	0
KRT34	0
MAPKAP1	24
LRFN1	0
KRTAP19-5	0
YWHAG	6
OMA1	3
TBRG1	4
CNTNAP5	1
ZNF721	1
ZNF510	2
IRGQ	0
LTBP1	29
IGSF22	0
ING4	111
TXNDC11	0
FRAT1	36
DNAJC18	0
ERMN	3
AHCTF1	1
RPL41	12
NEURL2	0
ZBTB33	15
RBM39	2
TCF7	111
BCCIP	25
USP33	14
PRPF38B	0
VEZT	3
TOM1	8
HGH1	0
BST2	66
HGS	139
CSNK1G1	1
ILKAP	9
BRINP3	2
DNAJC2	12
UBA52	6
UBFD1	0
CAPN6	6
NPEPPS	1
P2RY2	39
TKFC	0
SLC22A11	10
ARHGAP17	4
CSE1L	51
MED21	2
MED20	4
ICE1	2
