"SUID","__mclCluster","name","PRWP","score","selected","shared name"
"260","363","PSEN1","0.0",,"false","PSEN1"
"261","290","APBA1","0.0",,"false","APBA1"
"263","90","SMC4","0.0",,"false","SMC4"
"264","262","NCAPH","0.0",,"false","NCAPH"
"266","102","ACTA1","0.0",,"false","ACTA1"
"267","102","CNN1","0.0",,"false","CNN1"
"269","4","PSMC1","0.0",,"false","PSMC1"
"271","98","TCEB2","0.0",,"false","TCEB2"
"272","98","CUL5","0.0",,"false","CUL5"
"274","83","EIF2S2","0.0",,"false","EIF2S2"
"275","83","EIF2B4","0.0",,"false","EIF2B4"
"277","10","EIF3C","0.11111111111111112",,"false","EIF3C"
"279","68","ZNF76","0.0",,"false","ZNF76"
"280","68","TBP","0.0",,"false","TBP"
"282","96","TAF7","0.0",,"false","TAF7"
"283","96","TAF5","0.0",,"false","TAF5"
"285","25","STK4","0.0",,"false","STK4"
"286","25","STK3","0.0",,"false","STK3"
"288","95","SIVA1","0.25",,"false","SIVA1"
"289","95","BCL2L1","0.25","1","false","BCL2L1"
"291","19","DDX5","0.2857142857142857",,"false","DDX5"
"293","100","MNAT1","0.25",,"false","MNAT1"
"294","100","GTF2H3","0.25",,"false","GTF2H3"
"296","108","KEAP1","0.0",,"false","KEAP1"
"297","478","SQSTM1","0.0",,"false","SQSTM1"
"299","280","BBS9","0.0",,"false","BBS9"
"301",,"XIAP",,"1","false","XIAP"
"303","85","HAT1","0.0",,"false","HAT1"
"304","85","HIST1H3A","0.0",,"false","HIST1H3A"
"306","549","LAT","0.0",,"false","LAT"
"308","19","MXD1","0.2857142857142857",,"false","MXD1"
"310","354","CSNK1A1","0.0",,"false","CSNK1A1"
"311","15","MDM2","0.0",,"false","MDM2"
"313","2","RPS16","0.0",,"false","RPS16"
"314","2","RPS3","0.0",,"false","RPS3"
"316","34","H2AFX","0.0",,"false","H2AFX"
"317","34","SUPT16H","0.0",,"false","SUPT16H"
"319",,"PRKCD",,"1","false","PRKCD"
"320","119","SHC1","0.3333333333333333","1","false","SHC1"
"322","74","MAPK1","0.5","1","false","MAPK1"
"324","548","MSX2","0.0",,"false","MSX2"
"325","548","MAGED1","0.0",,"false","MAGED1"
"327","470","PSMD13","0.0",,"false","PSMD13"
"329","49","MFNG","0.2",,"false","MFNG"
"331","184","TCERG1","0.0",,"false","TCERG1"
"332","184","SF3B3","0.0",,"false","SF3B3"
"334","547","LIN9","0.0",,"false","LIN9"
"335","547","E2F4","0.0",,"false","E2F4"
"337","546","DEPTOR","0.0",,"false","DEPTOR"
"338","546","MTOR","0.0",,"false","MTOR"
"340","545","DYRK1A","0.0",,"false","DYRK1A"
"341","545","DCAF7","0.0",,"false","DCAF7"
"343","135","VBP1","0.0",,"false","VBP1"
"344","135","PFDN4","0.0",,"false","PFDN4"
"346","11","PSMB4","0.0",,"false","PSMB4"
"348","20","TRAF6","0.0",,"false","TRAF6"
"350","183","HDAC4","0.6666666666666666",,"false","HDAC4"
"351","147","UBE2I","0.3333333333333333",,"false","UBE2I"
"353","544","GRIP1","0.0",,"false","GRIP1"
"354","544","GRIA2","0.0",,"false","GRIA2"
"356",,"APC",,"1","false","APC"
"357","177","CTNNA1","0.3333333333333333",,"false","CTNNA1"
"359","14","CBL","0.14285714285714285",,"false","CBL"
"360","14","MST1R","0.14285714285714285",,"false","MST1R"
"362","195","ERBB4","1.0","1","false","ERBB4"
"363","195","WWOX","1.0","1","false","WWOX"
"365","6","MED14","0.0",,"false","MED14"
"366","6","CDK8","0.0",,"false","CDK8"
"368","435","ARPC5L","0.0",,"false","ARPC5L"
"369",,"ARPC2",,,"false","ARPC2"
"371","11","PSMB6","0.0",,"false","PSMB6"
"372","11","PSMA4","0.0",,"false","PSMA4"
"374","543","MAD1L1","0.0",,"false","MAD1L1"
"375","543","SIN3B","0.0",,"false","SIN3B"
"377","42","SERPINA5","0.0",,"false","SERPINA5"
"378","42","F2","0.0",,"false","F2"
"380","115","MCM4","0.3333333333333333",,"false","MCM4"
"381","5","CDK2","0.3",,"false","CDK2"
"383","148","THBD","0.0",,"false","THBD"
"384","148","PROC","0.0",,"false","PROC"
"386","121","SH3GL2","0.0",,"false","SH3GL2"
"387","121","AMPH","0.0",,"false","AMPH"
"389",,"COL1A2",,,"false","COL1A2"
"391","136","HSPA4","0.0",,"false","HSPA4"
"392","63","EGFR","0.5","1","false","EGFR"
"394","202","DMD","0.0",,"false","DMD"
"395","202","PGM5","0.0",,"false","PGM5"
"397","168","PELP1","0.3333333333333333","1","false","PELP1"
"398","168","SENP3","0.3333333333333333",,"false","SENP3"
"400","511","SMARCB1","0.0",,"false","SMARCB1"
"401","203","SMARCD1","0.0",,"false","SMARCD1"
"403","99","MAD2L1","0.0",,"false","MAD2L1"
"404","99","ANAPC2","0.0",,"false","ANAPC2"
"406","66","PPP6R3","0.0",,"false","PPP6R3"
"407","66","PPP6C","0.0",,"false","PPP6C"
"409","424","PIK3CA","0.0",,"false","PIK3CA"
"410",,"IRS1",,"1","false","IRS1"
"412","542","EIF4G1","0.0",,"false","EIF4G1"
"413","542","G3BP1","0.0",,"false","G3BP1"
"415","3","DDB1","0.0",,"false","DDB1"
"416","3","DCAF12","0.0",,"false","DCAF12"
"418","203","SMARCC2","0.0",,"false","SMARCC2"
"419","203","SMARCE1","0.0",,"false","SMARCE1"
"421","541","SCG5","0.0",,"false","SCG5"
"422","541","PCSK2","0.0",,"false","PCSK2"
"424","1","SKP2","0.41666666666666663","1","false","SKP2"
"426","24","STK24","0.0",,"false","STK24"
"427","24","STRN3","0.0",,"false","STRN3"
"431","379","FBXW11","0.0",,"false","FBXW11"
"432","301","CTNNB1","0.5","1","false","CTNNB1"
"434","79","MRPL36","0.25",,"false","MRPL36"
"435","79","BRCA1","0.25","1","false","BRCA1"
"437","48","CDC42","0.0",,"false","CDC42"
"438","48","PRKCI","0.0",,"false","PRKCI"
"440","540","CYFIP2","0.0",,"false","CYFIP2"
"441","540","WASF1","0.0",,"false","WASF1"
"443","83","EIF2B5","0.0",,"false","EIF2B5"
"445","56","NR0B2","0.25",,"false","NR0B2"
"447","162","MAP3K7","0.3333333333333333","1","false","MAP3K7"
"448","162","NOD2","0.3333333333333333",,"false","NOD2"
"450","13","TCEB1","0.0",,"false","TCEB1"
"451","13","FEM1B","0.0",,"false","FEM1B"
"453",,"COPB1",,,"false","COPB1"
"454","201","COPE","0.3333333333333333","1","false","COPE"
"457","170","RPLP1","0.0",,"false","RPLP1"
"458","170","RPLP0","0.0",,"false","RPLP0"
