"SUID","__APCluster","name","PRWP","score","selected","shared name"
"9682","1","HIPK1","2.0929171549380665E226",,"false","HIPK1"
"9683","97","NKX2-5","5.774729378935462E223","0.12","false","NKX2-5"
"9687","24","RASSF5","2.91576249456596E224","0.123267233986628","false","RASSF5"
"9691","1","CHTF8","2.0929171549380665E226",,"false","CHTF8"
"9703","1","SPSB2","2.0929171549380665E226",,"false","SPSB2"
"9705","528","RNH1","7.917815799752702E222",,"false","RNH1"
"9706","528","RNASE2","7.917815799752702E222","0.12","false","RNASE2"
"9709","1","RNF219","2.0929171549380665E226",,"false","RNF219"
"9712","45","PPP1R14A","7.956216094228771E223","0.12","false","PPP1R14A"
"9713","1","PRKD1","2.0929171549380665E226","0.12","false","PRKD1"
"9716","1","CHRD","2.0929171549380665E226",,"false","CHRD"
"9718","23","SLC25A11","2.6167693531570435E224",,"false","SLC25A11"
"9721","1","SSR1","2.0929171549380665E226","0.12","false","SSR1"
"9726","44","ITGA3","1.2700119905323814E224","0.36","false","ITGA3"
"9730","1","PRPH","2.0929171549380665E226","0.12","false","PRPH"
"9736","1","GBA","2.0929171549380665E226","0.12","false","GBA"
"9737","69","PSAP","6.339625706660841E223","0.360542883744161","false","PSAP"
"9739","1","GPR108","2.0929171549380665E226",,"false","GPR108"
"9742","1","BCL2L2","2.0929171549380665E226",,"false","BCL2L2"
"9749","106","SPTLC2","1.192995327030539E224","0.24","false","SPTLC2"
"9752","1","ARL3","2.0929171549380665E226",,"false","ARL3"
"9760","5","DYX1C1","3.83226726028144E224","0.2","false","DYX1C1"
"9762","1","NF1","2.0929171549380665E226","0.12","false","NF1"
"9765","157","SVEP1","3.964280966735031E223",,"false","SVEP1"
"9768","1","TIMM23","2.0929171549380665E226","0.12","false","TIMM23"
"9769","1","TIMM17A","2.0929171549380665E226",,"false","TIMM17A"
"9776","1","CARM1","2.0929171549380665E226","0.12","false","CARM1"
"9780","1","STXBP6","2.0929171549380665E226","0.12027144187208","false","STXBP6"
"9783","41","TIMM13","1.2898938138502366E224",,"false","TIMM13"
"9790","74","P3H4","6.867480093311022E223",,"false","P3H4"
"9803","1","GEMIN7","2.0929171549380665E226",,"false","GEMIN7"
"9807","527","ANKRD27","1.5835631599505404E223","0.12","false","ANKRD27"
"9808","527","VAMP7","1.5835631599505404E223","0.12","false","VAMP7"
"9810","1","MAG","2.0929171549380665E226","0.12","false","MAG"
"9816","363","ABCC9","3.266774630629652E223","0.24","false","ABCC9"
"9819","467","VPS26A","1.6009722849023438E223","0.242638473850682","false","VPS26A"
"9821","1","KRTAP4-12","2.0929171549380665E226",,"false","KRTAP4-12"
"9822","38","FAM27E3","4.0093442524455437E223",,"false","FAM27E3"
"9824","137","KIT","7.176248373757728E223","0.122724350242467","false","KIT"
"9826","1","BACE1","2.0929171549380665E226","0.122638473850682","false","BACE1"
"9833","107","BACH1","5.544262082113117E223","0.12","false","BACH1"
"9841","5","ISL1","3.83226726028144E224","0.12","false","ISL1"
"9842","1","ISL2","2.0929171549380665E226",,"false","ISL2"
"9844","133","RFC5","3.9745260025419296E223",,"false","RFC5"
"9847","1","UQCRB","2.0929171549380665E226","0.24","false","UQCRB"
"9849","526","NPY4R","9.02110494455247E222",,"false","NPY4R"
"9852","1","ACVR1B","2.0929171549380665E226","0.12","false","ACVR1B"
"9857","1","PLD1","2.0929171549380665E226","0.12","false","PLD1"
"9859","1","EXOC7","2.0929171549380665E226",,"false","EXOC7"
"9867","1","IL37","2.0929171549380665E226",,"false","IL37"
"9868","1","IL18BP","2.0929171549380665E226",,"false","IL18BP"
"9871","24","RYBP","2.91576249456596E224",,"false","RYBP"
"9875","1","KCNG2","2.0929171549380665E226",,"false","KCNG2"
