gene	rank
PID1	163
CD1E	163
MYADM	163
MIIP	163
EPHB1	163
MLLT11	163
KRTAP12-1	163
ITM2C	163
LINC01587	163
KDM3A	163
CLK4	163
ALKBH1	163
HTN3	163
CRYGA	163
CITED4	163
ASH1L	163
ART4	163
COLGALT2	163
CAMK1G	163
CLPS	163
C1orf21	163
LRRC29	163
DYDC2	163
ANKRD7	163
CPNE6	163
C1GALT1	163
TTLL3	163
SLN	163
C1QTNF2	163
RBM6	164
WBSCR22	164
ANP32E	164
ATRNL1	164
ZMYM6	164
AMY2B	164
MARK3	164
TRO	164
EDF1	164
CABP1	164
RRP12	164
NPIPA1	164
KLHL20	165
CCDC106	165
RIF1	165
ANKRD24	165
PLEKHA4	165
PSG9	165
FRYL	166
QSOX2	166
SMCR8	166
RBMXL3	166
NOP14	166
MMS19	166
WDR41	166
ARF3	166
CTU1	166
DUSP9	166
NARFL	166
TYW1	166
GEMIN8	166
NUP35	166
APOBEC3C	166
ELP6	166
ELP5	166
ELP3	166
MAK16	166
NCBP3	167
EVI5L	167
DBF4B	167
TRUB1	167
CCDC97	167
SDR42E1	167
ADAP1	167
SNRNP35	167
ATAT1	167
HMCES	167
MCOLN3	167
TRIM41	167
NPM2	167
LRRN4CL	167
TAF7L	167
MPP3	167
ADGRG5	167
C4orf46	167
STON1	167
ZBTB48	167
OR5A1	167
MDN1	168
UTP4	168
ZNF318	168
TEX10	168
DCAF13	168
DIEXF	168
REXO4	168
MPHOSPH10	168
GNL2	168
ZBTB11	168
RPL29	168
UTP15	168
ZNF512	168
SRSF4	168
RRS1	168
RRP7A	168
UTP14A	168
TBL3	168
PWP2	168
DDX27	168
PHF3	168
WDR18	168
FBXO18	169
TRIM17	169
STYK1	169
FBXO10	169
HIPK4	169
ASB2	169
ASB3	169
GRK7	169
GRK4	169
ASB17	169
HLA-DRB3	169
KCNS3	169
KLHL6	169
FBXL8	169
FBXL2	169
FBXO3	169
ZNF215	169
MYO3B	169
ACVR1C	169
KCNG1	169
DCLK2	169
SPSB3	169
NEK11	169
TADA2A	169
FBXL13	169
ZNF74	169
FBXL18	169
CDK11A	169
KLHL38	169
HERC4	169
TNK1	169
FBXO34	169
TRIM7	169
KLHL25	169
ISX	169
DYRK4	169
KCNA6	169
FBXO9	169
FBXO27	169
AREL1	169
KLHL13	169
TSSK3	169
RPS6KL1	169
GSG2	169
MYLK4	169
BBX	169
DET1	169
SRPK3	169
SGK3	169
SGK2	169
G2E3	169
GTF2IRD2	169
TRIM73	169
LIMK2	169
KCTD8	169
C20orf194	169
PRKY	169
CDK15	169
FOXD4L6	169
