195
340
343
358
387
433
518
519
526
67
183
142
155
214
236, MED15
237
246, RNF19A
248, CLTB
260, TRAT1
295
321
341
377, CDK5RAP3
383
391, XRCC5
398
402
409, BORA
417
421
447, PIAS4
454
462, CKS1B
464, ROCK1
474
485, HIST1H1A
504
505
508
509
534
553
558
559
564
74
41, ARID4A
1, KAT5, PIAS2, GCN1, EP400, ACTL6A
63
80, MYL12A, IKBKE
115, MCM3
116
144
27
33, SART1
94
37
212, HNRNPH3
223
242
258
265
279
294
301
311
312
316
342
351
352
370
378, CBLC
410, PLXNB1
416, TRAF2
430
439
448
452
457
460
489
507
539
554, RBBP7
5, NPAT, LIN54, CCNK
58, VIL1
73, MAPK8IP2
92
93, KLC1
100, GTF2H3, MNAT1
40
110, SIAH1
126, EME1
139, RBBP4
147
177
178
179, CBX4
185, MYBBP1A
186, AKAP11
69
82
84
23, NFYB
19, SUDS3, HMG20B
111, PCGF1, PCGF6
114
119
123
143, CDX2
161, XRCC6
162, ERBIN
168, SENP3, LAS1L
175, BMP8B
201, COPG1, COPZ2
14, UBASH3B, SPRY1, RAPGEF1
18, TRIM17, UBE2D2, RNF25
50
54, CBX5, SETD7
56
65, RPL24, RPL35
79, MRPL36
89, ITGB1BP2
95
101, CDK3, E2F2
45, SERPINB13
46
22, KPNA6
77, CELA1
81
17, UBE2M, FBXO11, FBXO31
49, MFNG
21, CDC27, CDC26, ANAPC10, FBXO5
10, EIF3K, EIF3L, EIF3M, EIF3C, EIF3D, EIF3F
16, SAP30
9, KLF16, ING2, SIN3A
8
2, RPS11, RPS16, RPS5, RPS9, RPS23
3, WDTC1, DCAF11, DCAF12, DCAF1, DCAF5, DCAF4, TRPC4AP
4, PSMD14, PSMD7, PSMD11, PSMD10, USP14, PSMC1, PSMC2, PSMC6
6, MED21, MED13, MED6, CDK8
7, ANKZF1, VCPIP1, UBXN4, NPLOC4
11, PSMB6, PSMB3
12, RECQL5, GTF2F2, GTF2B, POLR2A, POLR2I
13, SPSB2, FEM1B, ASB8
15, RPL23
20, RCN2, UBA52, UBE2V1, NUMBL
24, STRN4, STRN3, STK24, STRN, MOB4
25, RASSF4, RASSF6, STK3
26, DDX39B, THOC3, THOC2, THOC1, THOC5
28, GNG10, GNB2, GNG3
29, CCT4, CCT6A
30, PSMA3, PSMA1
31, TRIP6, RAPGEF6
32, AGO4, AGO1, AGO3, TNRC6A
34, SUPT16H, SSRP1
35, IARS
36, GGA2, CLTA
38, SNRPA1, SF3A2, SF3B2
39, TOP3A, FAAP24, FAAP100
42
43, POLR2H, POLR3H
44, OTUB1, ZNRF1
47, HAND1
48, PRKCI, ARHGAP32, CDC42EP5
51, PPP1R9A, SH3RF2, PPP1CA
52
53, GTF3C2, GTF3C1, GTF3C5, GTF3C4
55, IRF3, TRIM25
57, DCTN2, ACTR1A
59, PAN2, UPF1
60, SNRPD2, SNRPD1
