__mclCluster	name
28.0	SNRPA1
-1	PPARG
257.0	GCLM
257.0	GCLC
55.0	POLR1D
258.0	NOP56
258.0	NOP58
259.0	GLMN
259.0	FKBP4
260.0	GHSR
260.0	GHRL
261.0	PPIB
261.0	HSPA5
262.0	SNTB1
262.0	DTNA
263.0	HERPUD1
5.0	POLR2I
96.0	KMT2A
97.0	FLT4
264.0	ZAP70
-1	SERPINA3
-1	CELA1
4.0	UBXN1
265.0	RAPSN
265.0	MUSK
266.0	CKS2
266.0	CCNB1
177.0	KAT2A
26.0	CLTA
267.0	CNTN1
267.0	TNR
268.0	HYPK
268.0	NAA15
98.0	ECI2
269.0	ELP3
269.0	ELP2
270.0	SLC2A1
271.0	RYR1
271.0	CACNA1S
99.0	F5
272.0	AKT2
273.0	MTA2
273.0	MBD2
100.0	SMURF2
274.0	STX12
274.0	EPB42
91.0	CHTF18
91.0	RFC3
101.0	STX1A
73.0	PABPC1
73.0	PAN2
102.0	HLA-G
103.0	RHAG
11.0	CSNK1D
7.0	NPAT
275.0	NME1
275.0	NME2
12.0	GNG11
1.0	DCAF6
276.0	C3
30.0	ZNRF1
21.0	MED24
277.0	ATP6V1B1
277.0	ATP6V0A1
53.0	TFPT
104.0	MS4A2
278.0	ASF1B
278.0	IPO4
279.0	MYH9
279.0	S100A4
-1	GPS1
280.0	TBL1XR1
89.0	GATAD2A
281.0	PLA2R1
281.0	PLA2G10
-1	RPS23
282.0	GRIK4
282.0	GRIK2
283.0	SUMO3
283.0	UBA2
284.0	ZNF350
284.0	TRIM28
285.0	MED9
285.0	MED28
286.0	FANCC
286.0	ZBTB32
5.0	CTCF
287.0	USP1
287.0	WDR48
1.0	DCAF5
288.0	CSTB
14.0	RCN2
105.0	POLR3G
2.0	TUBA3C
95.0	POLE
95.0	POLE2
289.0	GJC1
290.0	MET
291.0	POMP
291.0	PSMB9
-1	COPZ1
292.0	PLG
292.0	PLAU
106.0	MED29
13.0	RNF111
22.0	ING2
293.0	ETV1
-1	SPOP
8.0	CDC25A
294.0	ACKR2
294.0	CCL2
178.0	MED15
295.0	ACPP
295.0	ERBB2
107.0	NCF2
-1	WDR5
296.0	TRADD
56.0	MRE11A
108.0	MYL12A
297.0	GTF2A2
297.0	GTF2A1L
65.0	MALT1
65.0	IKBKG
298.0	UBA3
74.0	ITGA1
74.0	COL8A1
3.0	IKZF1
109.0	ATR
299.0	PRIM1
300.0	EDA
300.0	EDA2R
301.0	THBS1
301.0	DCN
-1	RNF168
302.0	FOXK1
302.0	BAP1
303.0	STX7
303.0	VAMP7
304.0	RPAP3
304.0	PIH1D1
305.0	WAS
305.0	FNBP1
110.0	CSE1L
15.0	TOPORS
9.0	SOCS2
-1	XRCC6
20.0	CCL11
111.0	ERBIN
306.0	CASP9
-1	POLR2B
112.0	IL7R
13.0	CHFR
2.0	GRIN2B
113.0	RPA2
114.0	GABARAPL2
307.0	MSN
46.0	THRA
308.0	SGK1
308.0	SLC9A3R2
115.0	MPRIP
39.0	VIL1
309.0	TNFRSF1B
150.0	ARF6
310.0	UBE2W
3.0	PEX14
311.0	CASP6
311.0	LMNB1
86.0	AP2M1
116.0	TRAF3
117.0	LAS1L
312.0	DOC2B
312.0	UNC13B
313.0	ITGA5
313.0	ITGB3
314.0	MAPK10
314.0	ARRB1
315.0	CABP2
57.0	EIF2B1
256.0	GEMIN6
58.0	IFNGR1
86.0	AP1B1
25.0	DARS
3.0	HMG20B
1.0	DCAF11
31.0	KDM4A
98.0	PEX5
98.0	CRAT
316.0	GRK1
316.0	RHO
317.0	EXOC4
317.0	EXOC3
318.0	PSEN2
319.0	GCG
319.0	GLP1R
320.0	AKAP12
320.0	ADRB2
321.0	F9
322.0	GDF9
322.0	BMPR1A
118.0	PLRG1
323.0	TAL1
324.0	APOC2
324.0	LPL
2.0	NPHS1
102.0	CD8A
102.0	CD8B
325.0	C2
325.0	C5
326.0	COPS4
306.0	VIM
327.0	UCN
327.0	CRHR2
16.0	CDC26
59.0	ARHGAP21
328.0	CCNE1
329.0	RPLP2
119.0	KLRC2
321.0	F8
330.0	TERF2IP
116.0	TNFSF4
116.0	TNFRSF4
331.0	POLR1B
331.0	POLR1E
120.0	CTSD
92.0	RBBP5
92.0	NCOA6
