__mclCluster	name
533.0	KDM2B
533.0	SKP1
-1	EIF3F
-1	EIF3L
196.0	CSTF2
-1	BARD1
-1	EIF3E
-1	EIF3B
13.0	UBE2D2
13.0	RNF115
-1	RIPK1
-1	BIRC2
118.0	CDC5L
118.0	PRPF19
534.0	HDAC6
534.0	TUBB
535.0	OSM
535.0	OSMR
-1	PSMD8
5.0	POLR2A
5.0	GTF2H1
8.0	FBXO7
8.0	CUL1
536.0	RBBP7
536.0	MTA1
537.0	XRCC4
537.0	APLF
227.0	CDK9
-1	AFF4
33.0	LFNG
26.0	CLTC
26.0	TOM1L1
224.0	ATM
229.0	TELO2
298.0	NEDD8
125.0	VHL
293.0	RPS6KA1
-1	NFKBIA
-1	PSMB3
-1	PSMA3
538.0	VAV2
538.0	RHOG
-1	PSMD7
-1	PSMD12
54.0	YWHAG
54.0	CCNY
138.0	ALG2
138.0	ANXA11
3.0	HDAC1
18.0	EP300
383.0	YWHAE
-1	CDC25C
33.0	NOTCH1
33.0	DTX1
61.0	PLCB1
61.0	GNAQ
30.0	UBE2N
30.0	RNF103
-1	PSMB2
-1	PSMA7
539.0	TNFRSF13B
539.0	CAMLG
-1	EP400
-1	RUVBL1
-1	NCOR2
-1	NCOR1
540.0	CCR1
540.0	CCL1
426.0	PSMC5
-1	PSMD11
541.0	EPHB4
541.0	EFNB2
542.0	OPTN
542.0	TBK1
530.0	LCP2
50.0	PTPN6
290.0	PTPRJ
-1	PDGFRB
-1	CTR9
75.0	RTF1
6.0	GCN1
6.0	MYC
-1	PSMD2
230.0	PSMD6
543.0	GNB4
543.0	GNG13
55.0	POLR3H
-1	POLR2H
391.0	MCL1
-1	BAD
25.0	MARS
410.0	QARS
39.0	PLCG1
104.0	LYN
544.0	BBS2
544.0	BBS7
-1	PSMC3
-1	USP14
107.0	CYBA
107.0	CYBB
127.0	CCT4
127.0	CCT3
545.0	AIP
545.0	PTGES3
-1	CCNH
-1	ERCC3
-1	COL1A1
-1	TGFBI
546.0	RPS6KA3
546.0	HMGN1
133.0	SRSF6
133.0	SRPK1
547.0	MAFF
547.0	NFE2L2
3.0	PHF21A
38.0	HDAC2
-1	STXBP1
436.0	USO1
414.0	TRRAP
-1	SUPT3H
