"SUID","__mclCluster","name","PRWP","PRWP_single","score","selected","shared name"
"978","5","CDKN1B","0.49593361758307164","0.1442203581244124","0.123267233987","false","CDKN1B"
"7476","1","NTRK3","0.4292710741963075","0.024137933817178714",,"false","NTRK3"
"4205","51","TLX1","1.0","0.25135672880388715",,"false","TLX1"
"6558","51","PBX1","1.0","0.35909480032315616","0.272714418721","false","PBX1"
"671","16","TNFAIP3","0.7937634078577408","0.2604848239942374","0.272714418721","false","TNFAIP3"
"1323","31","PAX8","0.5535356054434302","0.04705482777721544",,"false","PAX8"
"867","6","LASP1","0.34910623572577093","0.040689628953169",,"false","LASP1"
"5499","12","FAS","0.3234230051993869","0.20543598399157093","0.272714418721","false","FAS"
"7579","4","MN1","0.41001010026011536","0.021835442584231143",,"false","MN1"
"7599","1","PRDM1","0.4292710741963075","0.024137933817178714",,"false","PRDM1"
"1052","32","HNF1A","0.18156251665752202","0.0192836752742215",,"false","HNF1A"
"5694","2","ETV6","0.20709710237018217","0.05069962003371835",,"false","ETV6"
"257","26","CDK4","0.1366336284364541","0.02208792413568635",,"false","CDK4"
"3653","31","FZR1","0.5535356054434302","0.05647804395109706",,"false","FZR1"
"2762","1","MDM4","0.4292710741963075","0.10722226724152654","0.123724241339","false","MDM4"
"5015","22","BRD3","0.48527465407620357","0.024941070573555265",,"false","BRD3"
"4555","15","ASXL1","0.32839515249218404","0.04964612206920043",,"false","ASXL1"
"1556","1","PTK6","0.4292710741963075","0.03189260801004233",,"false","PTK6"
"5058","16","NCOR2","0.7937634078577408","0.2363468901770587","0.272714418721","false","NCOR2"
"1577","16","DAXX","0.7937634078577408","0.053211431438945696",,"false","DAXX"
"3188","11","MAP2K4","0.3439353168016786","0.021767788280261397",,"false","MAP2K4"
"3251","2","ZMYM2","0.20709710237018217","0.03664442793343126",,"false","ZMYM2"
"2687","5","FANCD2","0.49593361758307164","0.039607475500670654",,"false","FANCD2"
"5120","50","RPL15","0.05313744083039099","0.006136887199605453",,"false","RPL15"
"3385","13","THRAP3","0.18119246503401257","0.023631838967581652",,"false","THRAP3"
"1858","8","CBLB","0.543645578845902","0.03600800027720112",,"false","CBLB"
"5491","29","CARD11","0.38012731717466924","0.02900616321131197",,"false","CARD11"
"7693","30","CSF3R","0.45385582581954936","0.01710240020716028",,"false","CSF3R"
"7640","21","NSD1","0.05596774156985171","0.00663431162505845",,"false","NSD1"
"5724","49","FUBP1","0.18550147895798524","0.013906626840495593",,"false","FUBP1"
"2907","20","RPN1","0.026835466809018188","0.01951083048371595",,"false","RPN1"
"4037","7","CDKN2C","0.5544596969128602","0.02195319499577571",,"false","CDKN2C"
"9031","5","CRTC3","0.49593361758307164","0.039607475500670654",,"false","CRTC3"
"5028","2","SETD2","0.20709710237018217","0.040745104719453425",,"false","SETD2"
"5115","19","TRIM24","0.3358951020769143","0.0601263426521325",,"false","TRIM24"
"1125","29","NFKB2","0.38012731717466924","0.02900616321131197",,"false","NFKB2"
"1254","3","PAFAH1B2","0.36912953124556575","0.0303396472879467",,"false","PAFAH1B2"
"2780","3","TRIP11","0.36912953124556575","0.015784594842353387",,"false","TRIP11"
"784","48","SBDS","0.0","0.0",,"false","SBDS"
"7703","48","IDH1","0.0","0.0",,"false","IDH1"
"6949","1","TPM4","0.4292710741963075","0.028076726040529684",,"false","TPM4"
"1628","28","STAG2","0.11372366840526021","0.007754674192863623",,"false","STAG2"
"5475","47","RET","0.025225857410785216","0.003992375002268468",,"false","RET"
"174","19","CDK12","0.3358951020769143","0.021044265596893402",,"false","CDK12"
"4412","1","ETV4","0.4292710741963075","0.12301047796683451","0.125720142357","false","ETV4"
"4821","11","MECOM","0.3439353168016786","0.021767788280261397",,"false","MECOM"
"3636","2","CNOT3","0.20709710237018217","0.00942321617388163",,"false","CNOT3"
"7080","46","NF1","1.0","0.25135672880388715",,"false","NF1"
"4073","46","PML","1.0","0.35909480032315616","0.272714418721","false","PML"
"9258","1","TPM3","0.4292710741963075","0.03999819842283847",,"false","TPM3"
"4171","2","RBM15","0.20709710237018217","0.00942321617388163",,"false","RBM15"
"9180","4","MUC1","0.41001010026011536","0.20497090132234416","0.272714418721","false","MUC1"
"2615","2","LONP1","0.20709710237018217","0.00942321617388163",,"false","LONP1"
"2663","45","STAT3","0.38654090440806876","0.12994356325166503","0.138246194559","false","STAT3"
"9444","15","KMT2A","0.32839515249218404","0.032543721862040145",,"false","KMT2A"
"3790","44","PDGFB","0.0","0.0",,"false","PDGFB"
"5101","44","COL2A1","0.0","0.0",,"false","COL2A1"
"9094","27","KLF4","0.09771346315596637","0.0097862178625325",,"false","KLF4"
"4674","26","MAP2K2","0.1366336284364541","0.007730772731783449",,"false","MAP2K2"
"7157","3","MLF1","0.36912953124556575","0.015784594842353387",,"false","MLF1"
"7629","43","CREB3L1","0.0","0.0",,"false","CREB3L1"
"4801","43","DDIT3","0.0","0.0",,"false","DDIT3"
"9557","6","LPP","0.34910623572577093","0.014241369923263249",,"false","LPP"
"6288","2","ZCCHC8","0.20709710237018217","0.00942321617388163",,"false","ZCCHC8"
