clusters	score	genes
581	0.303771491021	CHD4:1.0,MBD3L2:0.0,POLD3:0.0,DPEP3:0.0
885	0.303554061345	DVL1P1:0.0,POM121C:0.0,APC:1.0
177	0.302043874403	CCNF:0.0,CDKN1B:1.0,HINT1:0.0,FBXO7:0.0,GPS1:0.0,ABTB2:0.0,RBX1:0.0,CCND3:1.0,CCND2:1.0
1010	0.301329313995	GDF6:0.0,SMAD1:0.0
764	0.300213157923	CTCF:1.0,NUDT5:0.0,HSPB9:0.0
773	0.29989054028	ELF1:0.0,FOSB:0.0,MECOM:1.0
535	0.29430124717	PLXNA3:0.0,ZNF608:0.0,CBFA2T3:1.0,ATN1:0.0
757	0.29257633512	TLR1:0.0,DHX36:0.0,CBFB:1.0
768	0.292495790125	RANBP2:1.0,BICD2:0.0,NEK9:0.0
567	0.291606076299	FKBPL:0.0,MEN1:1.0,CDKN1A:0.0,EBF3:0.0
893	0.286853585286	PPP6C:1.0,AURKA:0.0,JTB:0.0
1047	0.286828561965	DHX9:0.0,NDUFAF4:0.0
545	0.285094850675	PTK2B:0.0,CYTH2:0.0,STAP1:0.0,MYD88:1.0
148	0.284465894917	ACPP:0.0,LIFR:1.0,GABRR1:0.0,MAPK1:0.0,CD19:0.0,PRKG1:0.0,CMTM3:0.0,DUSP22:0.0,WDR83:0.0,MAP2K2:1.0
886	0.283761884068	HOXD13:1.0,HEY2:0.0,HAND2:0.0
547	0.283570651694	WRAP73:0.0,MYH11:1.0,MYL12B:0.0,RD3L:0.0
143	0.283542508847	JUN:1.0,CEBPG:0.0,EPHB4:0.0,RNF187:0.0,NFE2L2:1.0,SLC4A8:0.0,ITGAX:0.0,SNRK:0.0,HHEX:0.0,CITED1:0.0
231	0.283248612259	ATM:1.0,CDC6:0.0,CDKN2C:1.0,FBXO31:0.0,CXXC5:0.0,ATMIN:0.0,PTS:0.0
867	0.28288766292	CSF3R:1.0,NCOA6:0.0,RBM14:0.0
932	0.280623211192	CNTNAP2:0.0,KCNA2:0.0,ETV1:1.0
719	0.280171729744	RHOA:1.0,AGER:0.0,GMIP:0.0
