rank	test biomarkers	test candidates	remaining biomarkers	remaining candidates
859	-	FOXM1	-	TMEM63A,DGCR8,TTC30A,EEF1D,SAFB,IKZF5,ZNF106,ANKRD12,PHF23
869	-	RGS16	-	PTH1R,RGS5,ARRB1,MTNR1A,GPSM3,DPM1,GNAI1
884	-	LMNB1	-	RPL28,PSMB10,CCNDBP1,PIAS2,THAP10,OLIG1
919	-	TK1	-	DTX3,UBE2DNL,MSTO1,RNF114,SAYSD1,STK11IP
924	-	MPPED2	-	AMOTL2,RWDD2B,DCX,NFIL3,RAD51D,IKZF1
935	-	ARMCX2	-	MYOM2,ATP2A1,UBE2J2,MYO18B,ZNF835,GPATCH2L,BOC,SEC31A,TNNT1,TNNT3,TULP3,GSE1,ARHGAP21,JMJD1C,MORF4L1,ZSCAN23,DST,BRMS1L,ZFAT,MGA,RNF167,ZNF619,MBTD1,PDE4DIP,ZNF793
938	-	SMPDL3A	-	APOD,SERTAD3,CETP,MOCOS,DGAT1,HPR,ROBO3,C1QC,APOA1,ABCA6,LECT1,FAM83C,ABCA13,FKBP2,FAM169A,CFHR1,PARVA,NAXE,APOA2
1000	-	NME3	-	PPP5C,HTR2A,GRM2
1027	-	NEK2	-	FADS2,ATXN1L,RRAGC,AFAP1L2,CHD6,AP1G2,GNAZ,HIVEP1,HSFX2,MBD6,GPATCH8,GMEB2,ST6GALNAC6,RITA1,ACO2,RBPJ
1032	-	F5	-	MMRN1
1035	-	LCN2	-	NFKBIZ
1123	-	ANPEP	-	TM4SF1
1130	-	MEOX2	-	MT-ND1,VEZF1
1166	-	EPHB6	-	HDHD2,CFD,MGST2,DTD2,CRMP1,ADGRB2,LUC7L2
1172	-	RGS4	-	CHRM3,NALCN
1176	-	C2	-	FCN1,MASP2,C5AR2,C1S,C4A,C3
1184	-	SFTPA2	-	LY96,AHSG,CD93
1195	-	TRIP13	-	FNDC3B,SCP2,ARSA
1214	-	CXCL13	-	CCL21
1285	-	EVPL	-	SLC25A17,PSORS1C2
1309	-	CENPF	-	NDE1
1325	-	RPE65	-	SLC27A1,RBP4
