15	1e-08	
16	4e-09	
37	1.66666666667e-09	
45	3.33333333333e-13	
57	2e-11	
68	1e-06	
111	1e-11	
127	2.66666666667e-08	
141	1.5e-23	
168		6e-11
183	6e-25	
188	1e-10	
225	4.28571428571e-31	
237	6.66666666667e-13	
245	7.69230769231e-11	
260	2e-16	
285	1e-09	
299		3.33333333333e-12
312	6e-07	
323	4e-21	
324	1e-09	
328	6.66666666667e-12	4.16666666667e-08
330	8.33333333333e-12	
332		7.5e-07
350	2.33333333333e-07	
355		1.57894736842e-07
379	2e-09	
393	6.66666666667e-09	
395		6.91940197694e-09
404	4.7619047619e-16	4.7619047619e-08
420		5.88235294118e-10
448	2.32142857143e-12	
461		4.44444444444e-07
479		2e-07
496	1.66666666667e-08	
537	1.53846153846e-08	
544		1.08108108108e-07
552		1.33333333333e-06
570		5.15463917526e-08
577	5.26315789474e-11	
581		6.66666666667e-08
582	1.53846153846e-09	
596		2.72727272727e-34
599		3.63636363636e-07
641		4.90196078431e-08
671	9.09090909091e-15	
711		5e-08
738		2e-09
748		1.66666666667e-07
776		1.66666666667e-16
875		1e-06
950		2.33333333333e-06
986		2e-06
1134		1.25e-07
